        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_30/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                  -6.2258653e-30
               0.0731804                  -2.9054028e-30
               0.0751062                   -1.074299e-27
                0.077032                  -9.5961318e-28
               0.0789578                   1.3584673e-25
               0.0808836                   3.2641465e-24
               0.0828094                   5.1172295e-24
               0.0847352                  -1.5858313e-23
                0.086661                   -2.785405e-22
               0.0885868                  -9.7489141e-23
               0.0905126                  -1.3927008e-23
               0.0924384                  -8.2068597e-36
               0.0943642                  -7.0860705e-20
                 0.09629                  -9.6709253e-20
               0.0982158                   -3.565314e-21
               0.1001416                   3.3513988e-19
               0.1020674                   1.1542353e-32
               0.1039932                  -4.5636076e-18
                0.105919                  -9.5835756e-18
               0.1078448                  -2.2361671e-17
               0.1097706                  -4.0159744e-17
               0.1116964                  -7.3017721e-17
               0.1136222                   1.0587568e-16
                0.115548                   1.2435464e-31
               0.1174738                   1.7446792e-30
               0.1193996                   2.7746727e-16
               0.1213254                  -5.8414105e-17
               0.1232512                  -4.0889909e-16
                0.125177                  -2.0678484e-30
               0.1271028                   6.4255591e-16
               0.1290286                   1.1682835e-15
               0.1309544                  -1.1682835e-15
               0.1328802                  -1.1682835e-15
                0.134806                   9.3462717e-16
               0.1367318                  -9.3462568e-16
               0.1386576                    -3.27119e-15
               0.1405834                  -1.0047231e-14
               0.1425092                  -2.5234907e-14
                0.144435                  -7.0564282e-14
               0.1463608                  -1.4112856e-13
               0.1482866                  -3.0375352e-13
               0.1502124                  -6.2713425e-13
               0.1521382                  -1.2570724e-12
                0.154064                  -2.3571275e-12
               0.1559898                  -4.2581572e-12
               0.1579156                  -7.3162544e-12
               0.1598414                  -1.2041725e-11
               0.1617672                  -1.8920575e-11
                0.163693                   -2.861452e-11
               0.1656188                    -4.12731e-11
               0.1675446                  -5.7034641e-11
               0.1694704                  -7.5899141e-11
               0.1713962                   -9.735069e-11
                0.173322                  -1.2091823e-10
               0.1752478                  -1.4699804e-10
               0.1771736                   -1.765771e-10
               0.1790994                  -2.1234711e-10
               0.1810252                  -2.6017008e-10
                0.182951                  -3.2671549e-10
               0.1848768                  -4.1733683e-10
               0.1868026                   -5.392421e-10
               0.1887284                  -7.0020717e-10
               0.1906542                  -9.0693147e-10
                 0.19258                   -1.162107e-09
               0.1945058                  -1.4810464e-09
               0.1964316                  -1.8717652e-09
               0.1983574                  -2.3596252e-09
               0.2002832                  -2.9817124e-09
                0.202209                  -3.7655425e-09
               0.2041348                  -4.7522688e-09
               0.2060606                  -4.7522688e-09
               0.2079864                  -6.0079284e-09
               0.2099122                  -7.5932931e-09
                0.211838                  -9.5686596e-09
               0.2137638                  -1.2042654e-08
               0.2156896                  -1.5140648e-08
               0.2176154                  -1.9022472e-08
               0.2195412                  -2.3888152e-08
                0.221467                   -2.996164e-08
               0.2233928                  -3.7524309e-08
               0.2253186                  -4.6960892e-08
               0.2272444                  -5.8755667e-08
               0.2291702                  -7.3379503e-08
                0.231096                  -9.1571252e-08
               0.2330218                  -1.1415781e-07
               0.2349476                  -1.4227233e-07
               0.2368734                  -1.7697141e-07
               0.2387992                  -2.1998538e-07
                0.240725                  -2.7353465e-07
               0.2426508                  -3.3911991e-07
               0.2445766                  -4.2040085e-07
               0.2465024                  -5.2082299e-07
               0.2484282                  -6.4467383e-07
                0.250354                  -7.9670053e-07
               0.2522798                  -9.8333442e-07
               0.2542056                  -1.2144369e-06
               0.2561314                  -1.4961335e-06
               0.2580572                  -1.8430628e-06
                0.259983                  -2.2661893e-06
               0.2619088                  -2.7870738e-06
               0.2638346                  -3.4224986e-06
