        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_26/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                  -4.5158305e-28
               0.0654772                  -3.1013125e-27
                0.067403                  -4.4381288e-27
               0.0693288                   3.9354658e-25
               0.0712546                   3.3372512e-24
               0.0731804                   2.6673527e-23
               0.0751062                   3.5818567e-23
                0.077032                  -1.4964597e-21
               0.0789578                   5.0137229e-23
               0.0808836                   7.3980465e-21
               0.0828094                  -8.0219566e-22
               0.0847352                   2.5724293e-35
                0.086661                   1.2906455e-19
               0.0885868                  -3.1032549e-18
               0.0905126                  -4.8031979e-18
               0.0924384                  -4.1072418e-19
               0.0943642                   2.2087863e-17
                 0.09629                   2.0079735e-18
               0.0982158                  -5.6223665e-17
               0.1001416                  -1.3143174e-17
               0.1020674                   6.2795251e-17
               0.1039932                  -3.5222343e-31
                0.105919                  -4.0889909e-16
               0.1078448                  -4.0889909e-16
               0.1097706                  -3.9721663e-16
               0.1116964                  -3.1543615e-16
               0.1136222                  -3.9721663e-16
                0.115548                  -7.9443326e-16
               0.1174738                  -3.7385176e-16
               0.1193996                   1.2150148e-15
               0.1213254                   1.6355964e-15
               0.1232512                  -3.2711927e-15
                0.125177                  -5.7006389e-29
               0.1271028                  -4.7246293e-29
               0.1290286                   1.6823262e-15
               0.1309544                   1.6823262e-15
               0.1328802                   3.3646525e-15
                0.134806                  -1.1215525e-14
               0.1367318                  -3.3646525e-15
               0.1386576                  -1.6262504e-14
               0.1405834                  -5.9816281e-15
               0.1425092                   -1.345861e-14
                0.144435                  -2.6169542e-14
               0.1463608                  -3.8880472e-14
               0.1482866                  -5.0843729e-14
               0.1502124                    2.691722e-14
               0.1521382                   2.3926512e-14
                0.154064                  -2.0935634e-13
               0.1559898                  -2.3627357e-13
               0.1579156                  -3.4394243e-13
               0.1598414                  -7.8957229e-13
               0.1617672                  -1.0049101e-12
                0.163693                  -1.9559857e-12
               0.1656188                  -3.7085968e-12
               0.1675446                  -5.8260853e-12
               0.1694704                  -9.1997122e-12
               0.1713962                  -1.4044816e-11
                0.173322                  -2.0899737e-11
               0.1752478                  -2.8089631e-11
               0.1771736                  -3.8354077e-11
               0.1790994                  -4.9719128e-11
               0.1810252                  -6.2735109e-11
                0.182951                  -7.4124096e-11
               0.1848768                   -8.766645e-11
               0.1868026                  -1.0699901e-10
               0.1887284                  -1.2805428e-10
               0.1906542                  -1.6183839e-10
                 0.19258                  -2.0414033e-10
               0.1945058                  -2.6146807e-10
               0.1964316                  -3.4415781e-10
               0.1983574                  -4.3546106e-10
               0.2002832                  -5.6313249e-10
                0.202209                  -7.3195738e-10
               0.2041348                  -9.2413455e-10
               0.2060606                  -9.2413455e-10
               0.2079864                  -1.1400466e-09
               0.2099122                  -1.4501333e-09
                0.211838                  -1.8605195e-09
               0.2137638                  -2.2816244e-09
               0.2156896                  -2.9278295e-09
               0.2176154                  -3.7746339e-09
               0.2195412                  -4.6934088e-09
                0.221467                  -5.9352869e-09
               0.2233928                  -7.4696409e-09
               0.2253186                  -9.3868175e-09
               0.2272444                  -1.1760321e-08
               0.2291702                  -1.4614648e-08
                0.231096                  -1.8400002e-08
               0.2330218                  -2.3196009e-08
               0.2349476                  -2.8910788e-08
               0.2368734                  -3.6028233e-08
               0.2387992                   -4.445646e-08
                0.240725                   -5.545726e-08
               0.2426508                  -7.0341414e-08
               0.2445766                   -8.631585e-08
               0.2465024                  -1.0829295e-07
               0.2484282                  -1.3338163e-07
                0.250354                  -1.6655554e-07
               0.2522798                  -2.0624663e-07
               0.2542056                  -2.5632599e-07
               0.2561314                  -3.1414754e-07
               0.2580572                  -3.8750255e-07
                0.259983                  -4.8315314e-07
