        Frequency / GHz                Z/abs,linear
----------------------------------------------------------------------
                       0                       7.0785465
            0.0054646658                       7.0342201
             0.010929332                       6.9106322
             0.016393997                       6.7355862
             0.021858663                       6.5534899
             0.027323329                       6.4200635
             0.032787995                        6.391082
              0.03825266                       6.5056414
             0.043717326                       6.7711564
             0.049181992                       7.1600082
             0.054646658                       7.6194067
             0.060111324                       8.0861376
             0.065575989                       8.4981755
             0.071040655                       8.8011812
             0.076505321                       8.9514752
             0.081969987                       8.9173853
             0.087434652                       8.6801539
             0.092899318                       8.2350964
             0.098363984                        7.593697
              0.10382865                        6.787923
              0.10929332                       5.8796427
              0.11475798                       4.9807927
              0.12022265                       4.2863122
              0.12568731                       4.0668244
              0.13115198                       4.4807996
              0.13661664                       5.3949644
              0.14208131                       6.5592334
              0.14754598                       7.7808713
              0.15301064                         8.93337
              0.15847531                       9.9296554
              0.16393997                       10.705857
              0.16940464                       11.214205
               0.1748693                       11.420298
              0.18033397                       11.302239
              0.18579864                       10.850514
               0.1912633                       10.068143
              0.19672797                       8.9710503
              0.20219263                       7.5890455
               0.2076573                        5.969336
              0.21312197                       4.1917478
              0.21858663                       2.4603203
               0.2240513                       1.7455809
              0.22951596                       3.0913484
              0.23498063                       5.0446256
              0.24044529                       7.0295151
              0.24590996                       8.8926459
              0.25137463                       10.547559
              0.25683929                       11.928222
              0.26230396                       12.981058
              0.26776862                       13.663829
              0.27323329                       13.946064
              0.27869795                       13.809783
              0.28416262                       13.250077
              0.28962729                       12.275413
              0.29509195                       10.907621
              0.30055662                       9.1815698
              0.30602128                       7.1448104
              0.31148595                       4.8584223
              0.31695062                       2.4110523
              0.32241528                      0.69406182
              0.32787995                        2.999175
              0.33334461                       5.5762656
              0.33880928                       8.0530802
              0.34427394                       10.336673
              0.34973861                       12.350531
              0.35520328                       14.027545
              0.36066794                       15.310701
              0.36613261                       16.154641
              0.37159727                       16.527182
              0.37706194                        16.41061
               0.3825266                       15.802675
              0.38799127                       14.717402
              0.39345594                        13.18598
               0.3989206                       11.258632
              0.40438527                       9.0105065
              0.40984993                       6.5644131
               0.4153146                       4.2026025
              0.42077926                       2.9524733
              0.42624393                       4.2646107
               0.4317086                       6.7693393
              0.43717326                       9.4430646
              0.44263793                       11.991641
              0.44810259                       14.275441
              0.45356726                       16.198975
              0.45903193                       17.689237
              0.46449659                       18.690999
              0.46996126                       19.166277
              0.47542592                       19.094952
              0.48089059                       18.475716
              0.48635525                       17.327276
              0.49181992                       15.690317
              0.49728459                       13.631854
              0.50274925                       11.256975
              0.50821392                       8.7447424
              0.51367858                       6.4664956
              0.51914325                       5.2705223
              0.52460791                       6.0844337
              0.53007258                       8.3342285
              0.53553725                       11.054985
