        Frequency / GHz                X/abs,linear
----------------------------------------------------------------------
                       0                       7.2503289
            0.0054646658                       7.3336102
             0.010929332                        7.568836
             0.016393997                       7.9173662
             0.021858663                       8.3282884
             0.027323329                       8.7496546
             0.032787995                       9.1355224
              0.03825266                       9.4491023
             0.043717326                       9.6636683
             0.049181992                       9.7625564
             0.054646658                       9.7389456
             0.060111324                       9.5957026
             0.065575989                       9.3453651
             0.071040655                       9.0102128
             0.076505321                       8.6222305
             0.081969987                       8.2224777
             0.087434652                       7.8589059
             0.092899318                        7.581247
             0.098363984                       7.4320989
              0.10382865                       7.4359075
              0.10929332                       7.5911136
              0.11475798                       7.8707019
              0.12022265                       8.2307821
              0.12568731                       8.6216414
              0.13115198                       8.9962929
              0.13661664                       9.3152044
              0.14208131                       9.5482274
              0.14754598                       9.6750966
              0.15301064                       9.6854031
              0.15847531                        9.578481
              0.16393997                       9.3633735
              0.16940464                       9.0588821
               0.1748693                        8.693561
              0.18033397                       8.3052723
              0.18579864                       7.9394986
               0.1912633                       7.6451544
              0.19672797                       7.4667997
              0.20219263                       7.4340838
               0.2076573                       7.5527141
              0.21312197                       7.8025323
              0.21858663                       8.1440702
               0.2240513                       8.5291655
              0.22951596                       8.9102255
              0.23498063                       9.2458789
              0.24044529                       9.5035575
              0.24590996                       9.6603377
              0.25137463                       9.7030561
              0.25683929                       9.6282407
              0.26230396                       9.4420812
              0.26776862                        9.160487
              0.27323329                       8.8091433
              0.27869795                       8.4232692
              0.28416262                       8.0464118
              0.28962729                       7.7271261
              0.29509195                       7.5122626
              0.30055662                       7.4369099
              0.30602128                       7.5142897
              0.31148595                       7.7313467
              0.31695062                       8.0531066
              0.32241528                       8.4327535
              0.32787995                       8.8216873
              0.33334461                       9.1762514
              0.33880928                       9.4610714
              0.34427394                       9.6502781
              0.34973861                       9.7277651
              0.35520328                       9.6871473
              0.36066794                       9.5317182
              0.36613261                       9.2744979
              0.37159727                       8.9383267
              0.37706194                       8.5557843
               0.3825266                       8.1683966
              0.38799127                       7.8241091
              0.39345594                       7.5716636
               0.3989206                       7.4512735
              0.40438527                       7.4838158
              0.40984993                       7.6640264
               0.4153146                        7.962292
              0.42077926                        8.333745
              0.42624393                       8.7289809
               0.4317086                        9.101983
              0.43717326                       9.4143814
              0.44263793                       9.6371616
              0.44810259                       9.7511087
              0.45356726                        9.746804
              0.45903193                       9.6245655
              0.46449659                       9.3944729
              0.46996126                       9.0764754
              0.47542592                       8.7004248
              0.48089059                       8.3056121
              0.48635525                       7.9389333
              0.49181992                       7.6503319
              0.49728459                       7.4844402
              0.50274925                       7.4695552
              0.50821392                       7.6087522
              0.51367858                        7.878824
              0.51914325                        8.237802
              0.52460791                       8.6360068
              0.53007258                       9.0252065
              0.53553725                       9.3639705
              0.54100191                       9.6200026
              0.54646658                       9.7708431
              0.55193124                       9.8039317
              0.55739591                        9.716536
              0.56286058                       9.5157486
              0.56832524                       9.2185904
              0.57378991                         8.85212
              0.57925457                       8.4532248
              0.58471924                       8.0673687
               0.5901839                       7.7450276
              0.59564857                       7.5344349
              0.60111324                       7.4708003
               0.6065779                       7.5657982
              0.61204257                       7.8035628
              0.61750723                       8.1460529
               0.6229719                       8.5439782
              0.62843656                        8.947139
              0.63390123                       9.3110323
               0.6393659                       9.5999658
              0.64483056                       9.7881065
              0.65029523                       9.8596454
              0.65575989                       9.8087221
              0.66122456                       9.6393907
              0.66668923                       9.3657047
              0.67215389                       9.0118693
              0.67761856                       8.6122235
              0.68308322                       8.2104644
              0.68854789                       7.8569803
              0.69401255                       7.6027676
              0.69947722                       7.4892936
              0.70494189                       7.5369001
              0.71040655                       7.7379394
              0.71587122                       8.0594394
              0.72133588                       8.4533252
              0.72680055                       8.8677817
              0.73226521                       9.2552583
              0.73772988                        9.576548
              0.74319455                       9.8022964
              0.74865921                       9.9133158
              0.75412388                       9.9005204
              0.75958854                       9.7648575
              0.76505321                       9.5173623
              0.77051787                       9.1793265
              0.77598254                       8.7824137
              0.78144721                       8.3682645
              0.78691187                       7.9866131
              0.79237654                       7.6903787
               0.7978412                       7.5264905
              0.80330587                       7.5237933
              0.80877054                       7.6836046
               0.8142352                       7.9792416
              0.81969987                       8.3648491
              0.82516453                       8.7874886
               0.8306292                       9.1966479
              0.83609386                       9.5494938
              0.84155853                       9.8129868
               0.8470232                       9.9644096
              0.85248786                       9.9913331
              0.85795253                       9.8915137
              0.86341719                       9.6729072
              0.86888186                       9.3538309
              0.87434652                       8.9631659
              0.87981119                       8.5402546
              0.88527586                       8.1336823
              0.89074052                       7.7974883
              0.89620519                       7.5831763
              0.90166985                       7.5276961
              0.90713452                       7.6418841
              0.91259919                       7.9065831
              0.91806385                       8.2793285
