        Frequency / GHz                Z/abs,linear
----------------------------------------------------------------------
                       0                       7.0784189
            0.0054646658                       7.0340893
             0.010929332                       6.9104927
             0.016393997                       6.7354341
             0.021858663                       6.5533245
             0.027323329                       6.4198885
             0.032787995                        6.390906
              0.03825266                       6.5054763
             0.043717326                       6.7710135
             0.049181992                       7.1598953
             0.054646658                       7.6193266
             0.060111324                       8.0860884
             0.065575989                       8.4981523
             0.071040655                       8.8011767
             0.076505321                       8.9514808
             0.081969987                       8.9173913
             0.087434652                       8.6801494
             0.092899318                       8.2350698
             0.098363984                       7.5936355
              0.10382865                       6.7878125
              0.10929332                        5.879468
              0.11475798                        4.980541
              0.12022265                       4.2859886
              0.12568731                       4.0664818
              0.13115198                       4.4805201
              0.13661664                       5.3947859
              0.14208131                       6.5591509
              0.14754598                       7.7808681
              0.15301064                         8.93343
              0.15847531                       9.9297643
              0.16393997                       10.706002
              0.16940464                       11.214373
               0.1748693                       11.420476
              0.18033397                       11.302416
              0.18579864                       10.850677
               0.1912633                       10.068279
              0.19672797                       8.9711452
              0.20219263                       7.5890839
               0.2076573                       5.9692968
              0.21312197                       4.1915939
              0.21858663                        2.459966
               0.2240513                       1.7450867
              0.22951596                       3.0911563
              0.23498063                       5.0446112
              0.24044529                       7.0296094
              0.24590996                       8.8928196
              0.25137463                       10.547794
              0.25683929                       11.928505
              0.26230396                       12.981377
              0.26776862                        13.66417
              0.27323329                       13.946417
              0.27869795                       13.810135
              0.28416262                       13.250415
              0.28962729                       12.275728
              0.29509195                       10.907902
              0.30055662                        9.181811
              0.30602128                       7.1450089
              0.31148595                       4.8585865
              0.31695062                       2.4112405
              0.32241528                      0.69472128
              0.32787995                       2.9994554
              0.33334461                       5.5765505
              0.33880928                       8.0534083
              0.34427394                        10.33705
              0.34973861                       12.350955
              0.35520328                        14.02801
              0.36066794                       15.311198
              0.36613261                       16.155158
              0.37159727                        16.52771
              0.37706194                       16.411136
               0.3825266                        15.80319
              0.38799127                       14.717898
              0.39345594                       13.186452
               0.3989206                        11.25908
              0.40438527                       9.0109445
              0.40984993                        6.564883
               0.4153146                       4.2032195
              0.42077926                       2.9533428
              0.42624393                       4.2653257
               0.4317086                        6.769933
              0.43717326                       9.4436364
              0.44263793                        11.99223
              0.44810259                       14.276059
              0.45356726                       16.199625
              0.45903193                       17.689914
              0.46449659                       18.691694
              0.46996126                       19.166981
              0.47542592                       19.095656
              0.48089059                        18.47641
              0.48635525                       17.327953
              0.49181992                       15.690976
              0.49728459                       13.632501
              0.50274925                       11.257631
              0.50821392                       8.7454555
              0.51367858                       6.4673551
              0.51914325                       5.2715604
              0.52460791                       6.0854251
              0.53007258                       8.3350948
              0.53553725                       11.055793
              0.54100191                       13.780394
              0.54646658                       16.283387
              0.55193124                       18.427168
              0.55739591                       20.115196
              0.56286058                       21.277901
              0.56832524                       21.868548
              0.57378991                       21.862473
              0.57925457                       21.257617
              0.58471924                       20.075912
               0.5901839                       18.366015
              0.59564857                       16.209348
              0.60111324                        13.73483
               0.6065779                        11.15722
              0.61204257                       8.8737022
              0.61750723                       7.6080884
               0.6229719                       8.0941686
              0.62843656                       10.094704
              0.63390123                       12.800594
               0.6393659                       15.653691
              0.64483056                        18.34855
              0.65029523                       20.700826
              0.65575989                       22.586208
              0.66122456                       23.917691
              0.66668923                       24.637485
              0.67215389                       24.714522
              0.67761856                       24.144347
              0.68308322                       22.950462
              0.68854789                       21.187504
              0.69401255                        18.94817
              0.69947722                       16.378948
              0.70494189                       13.716462
              0.71040655                       11.363596
              0.71587122                       9.9701876
              0.72133588                       10.187124
              0.72680055                       11.961204
              0.73226521                       14.626313
              0.73772988                       17.582492
              0.74319455                       20.455824
              0.74865921                       23.014207
              0.75412388                       25.102825
              0.75958854                       26.614795
              0.76505321                        27.47925
              0.77051787                       27.656982
              0.77598254                       27.139531
              0.78144721                       25.950308
              0.78691187                       24.147936
              0.79237654                       21.833525
               0.7978412                       19.166354
              0.80330587                       16.397095
              0.80877054                       13.929066
               0.8142352                       12.369087
              0.81969987                       12.333511
              0.82516453                       13.893025
               0.8306292                        16.50317
              0.83609386                       19.547918
              0.84155853                         22.5945
               0.8470232                       25.362815
              0.85248786                       27.665254
              0.85795253                       29.372791
              0.86341719                       30.399526
              0.86888186                        30.69639
              0.87434652                        30.24931
              0.87981119                       29.079973
              0.88527586                       27.249113
              0.89074052                       24.863818
              0.89620519                       22.092684
              0.90166985                       19.196007
              0.90713452                       16.576919
              0.91259919                       14.818104
              0.91806385                       14.526676
              0.92352852                       15.871173
              0.92899318                        18.41404
              0.93445785                       21.537559
              0.93992251                       24.756861
              0.94538718                       27.743221
              0.95085185                       30.273826
              0.95631651                       32.195136
              0.96178118                       33.404171
              0.96724584                       33.840221
              0.97271051                        33.48195
              0.97817517                       32.347697
              0.98363984                        30.49856
              0.98910451                       28.045519
              0.99456917                         25.1639
               1.0000338                       22.120982
               1.0054985                       19.320372
               1.0109632                       17.332523
               1.0164278                       16.770248
               1.0218925                       17.888612
               1.0273572                       20.349451
               1.0328218                       23.543055
               1.0382865                       26.937015
               1.0437512                       30.152574
               1.0492158                       32.928868
               1.0546805                       35.085179
               1.0601452                       36.499212
               1.0656098                       37.096689
               1.0710745                       36.847295
               1.0765392                       35.764374
               1.0820038                       33.907707
               1.0874685                       31.390335
               1.0929332                        28.39228
