        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                   8.1779819e-16
               0.0231096                   1.0675077e-29
               0.0250354                   5.3375384e-30
               0.0269612                   4.0889909e-16
                0.028887                               0
               0.0308128                   8.1779819e-16
               0.0327386                  -8.1779819e-16
               0.0346644                   -5.337538e-30
               0.0365902                   1.6355964e-15
                0.038516                    3.736277e-29
               0.0404418                   1.6012616e-29
               0.0423676                   1.6012616e-29
               0.0442934                  -2.6687689e-29
               0.0462192                   6.5423855e-15
                0.048145                   6.5423855e-15
               0.0500708                   4.4301569e-28
               0.0519966                   1.0141325e-28
               0.0539224                  -6.9387988e-29
               0.0558482                  -6.9387988e-29
                0.057774                  -6.9387988e-29
               0.0596998                   2.7221445e-28
               0.0616256                   5.2339084e-14
               0.0635514                   1.2970219e-27
               0.0654772                  -5.2339084e-14
                0.067403                  -6.9387976e-29
               0.0693288                   1.0467817e-13
               0.0712546                   2.0935634e-13
               0.0731804                  -2.0935634e-13
               0.0751062                  -6.9387663e-29
                0.077032                   2.0935634e-13
               0.0789578                   5.3962516e-27
               0.0808836                  -4.1871267e-13
               0.0828094                   2.6634321e-27
               0.0847352                   8.3742534e-13
                0.086661                   8.3742534e-13
               0.0885868                  -8.3742534e-13
               0.0905126                  -8.2678485e-27
               0.0924384                   1.6748507e-12
               0.0943642                   3.3497014e-12
                 0.09629                   5.7319823e-26
               0.0982158                   3.3497014e-12
               0.1001416                   5.7319823e-26
               0.1020674                   1.3594711e-26
               0.1039932                   1.3594711e-26
                0.105919                   1.0104493e-25
               0.1078448                  -6.6994028e-12
               0.1097706                  -7.3855531e-26
               0.1116964                  -1.6130576e-25
               0.1136222                     1.35947e-26
                0.115548                   1.8849516e-25
               0.1174738                   3.6339563e-25
               0.1193996                   3.6339563e-25
               0.1213254                   3.6339563e-25
               0.1232512                   3.6339563e-25
                0.125177                   5.3595222e-11
               0.1271028                   1.0719044e-10
               0.1290286                   1.7625994e-24
               0.1309544                  -1.0358079e-24
               0.1328802                   3.6339573e-25
                0.134806                   1.0719044e-10
               0.1367318                   3.6339573e-25
               0.1386576                   2.1438089e-10
               0.1405834                   3.1618032e-24
               0.1425092                  -4.2876178e-10
                0.144435                  -2.4350117e-24
               0.1463608                   4.2876178e-10
               0.1482866                   8.7586177e-24
               0.1502124                   8.7586177e-24
               0.1521382                   3.1618032e-24
                0.154064                   1.4355432e-23
               0.1559898                   3.1618036e-24
               0.1579156                   1.7150471e-09
               0.1598414                   1.7150471e-09
               0.1617672                   8.1517207e-23
                0.163693                   3.4300942e-09
               0.1656188                   1.4355432e-23
               0.1675446                  -3.0419086e-23
               0.1694704                    1.435543e-23
               0.1713962                   1.0390446e-22
                0.173322                  -6.8601884e-09
               0.1752478                   1.3720377e-08
               0.1771736                   6.8601884e-09
               0.1790994                   4.1732607e-22
               0.1810252                    5.912994e-23
                0.182951                   2.7440754e-08
               0.1848768                   4.1732607e-22
               0.1868026                  -2.7440754e-08
               0.1887284                  -2.9906621e-22
               0.1906542                   2.7440754e-08
                 0.19258                   2.7440754e-08
               0.1945058                   7.7552216e-22
               0.1964316                   4.1732605e-22
               0.1983574                   4.1732605e-22
               0.2002832                   1.1337184e-21
                0.202209                  -2.9906621e-22
               0.2041348                  -1.0154583e-21
               0.2060606                  -1.0154583e-21
               0.2079864                   1.0976301e-07
               0.2099122                   1.0976301e-07
                0.211838                   3.2828953e-21
               0.2137638                   4.1732623e-22
               0.2156896                   -2.448243e-21
               0.2176154                   -2.448243e-21
               0.2195412                   4.3905206e-07
                0.221467                   9.0140335e-21
               0.2233928                   3.2828953e-21
               0.2253186                   3.2828953e-21
               0.2272444                   3.2828953e-21
               0.2291702                   8.7810412e-07
                0.231096                   2.0476308e-20
               0.2330218                   8.7810412e-07
               0.2349476                   2.0476308e-20
               0.2368734                   9.0140327e-21
               0.2387992                   1.7562082e-06
                0.240725                   1.7562082e-06
               0.2426508                   6.6325416e-20
               0.2445766                   4.3400861e-20
               0.2465024                   1.7562082e-06
               0.2484282                   -2.448242e-21
                0.250354                   3.5124165e-06
