        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_24/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                  -3.3151525e-27
               0.0616256                  -2.0103421e-26
               0.0635514                   2.7070033e-25
               0.0654772                   4.7129572e-24
                0.067403                   4.1171806e-23
               0.0693288                   3.3903601e-23
               0.0712546                  -1.0574109e-21
               0.0731804                   -1.384348e-20
               0.0751062                  -1.4350414e-20
                0.077032                   2.3620285e-20
               0.0789578                    9.982888e-20
               0.0808836                   6.2464451e-19
               0.0828094                  -5.3622583e-19
               0.0847352                  -4.7461572e-18
                0.086661                  -9.9486667e-18
               0.0885868                   1.0952814e-18
               0.0905126                   4.0524852e-17
               0.0924384                   1.0222477e-16
               0.0943642                   3.2127758e-17
                 0.09629                  -3.2127758e-17
               0.0982158                   8.7621535e-17
               0.1001416                   1.9184339e-30
               0.1020674                   4.0889909e-16
               0.1039932                   4.4346993e-30
                0.105919                  -3.0375406e-16
               0.1078448                  -4.8678729e-30
               0.1097706                   9.3464051e-17
               0.1116964                   5.1404413e-16
               0.1136222                  -1.2150162e-15
                0.115548                  -1.0280883e-15
               0.1174738                   1.7290604e-15
               0.1193996                   1.0280883e-15
               0.1213254                  -2.4300325e-15
               0.1232512                   -4.860065e-15
                0.125177                   6.5423855e-15
               0.1271028                   1.3084771e-14
               0.1290286                    -9.72013e-15
               0.1309544                  -1.6834917e-28
               0.1328802                   2.6169542e-14
                0.134806                   -4.860065e-15
               0.1367318                  -3.1029609e-14
               0.1386576                  -3.5889674e-14
               0.1405834                   2.7664967e-14
               0.1425092                   2.3178692e-14
                0.144435                   -3.888052e-14
               0.1463608                  -8.8228754e-14
               0.1482866                  -6.5797648e-14
               0.1502124                    1.315953e-13
               0.1521382                   2.2131973e-13
                0.154064                   2.3926797e-14
               0.1559898                  -4.1871267e-13
               0.1579156                   3.1104416e-13
               0.1598414                   3.1104416e-13
               0.1617672                  -8.3742534e-13
                0.163693                  -9.6902065e-13
               0.1656188                   9.5707188e-14
               0.1675446                  -1.6748507e-12
               0.1694704                  -2.2012318e-12
               0.1713962                  -4.4024636e-12
                0.173322                  -5.4552261e-12
               0.1752478                  -8.2785463e-12
               0.1771736                  -1.3638065e-11
               0.1790994                  -1.9093289e-11
               0.1810252                  -2.7276129e-11
                0.182951                  -3.0625828e-11
               0.1848768                  -3.6463887e-11
               0.1868026                  -5.2829564e-11
               0.1887284                  -6.2017322e-11
               0.1906542                  -7.2927775e-11
                 0.19258                  -8.3838228e-11
               0.1945058                  -1.0489347e-10
               0.1964316                  -1.0910452e-10
               0.1983574                  -1.7112184e-10
               0.2002832                  -2.4653798e-10
                0.202209                  -2.8022634e-10
               0.2041348                  -3.4224368e-10
               0.2060606                  -3.4224368e-10
               0.2079864                  -4.5632492e-10
               0.2099122                  -5.6045268e-10
                0.211838                  -7.1817574e-10
               0.2137638                  -9.1877506e-10
               0.2156896                  -1.2280958e-09
               0.2176154                  -1.4363515e-09
               0.2195412                  -1.9723039e-09
                0.221467                  -2.6031959e-09
               0.2233928                  -2.8849536e-09
               0.2253186                   -3.570972e-09
               0.2272444                  -4.6183755e-09
               0.2291702                  -6.0394143e-09
                0.231096                  -7.0316917e-09
               0.2330218                  -9.2367509e-09
               0.2349476                  -1.1490812e-08
               0.2368734                  -1.5508922e-08
               0.2387992                  -1.7934486e-08
                0.240725                  -2.3079629e-08
               0.2426508                  -2.9204795e-08
               0.2445766                  -3.6603993e-08
               0.2465024                  -4.4885219e-08
               0.2484282                  -5.5812514e-08
                0.250354                  -6.9777897e-08
               0.2522798                  -8.7614382e-08
               0.2542056                  -1.1162503e-07
               0.2561314                  -1.2926552e-07
               0.2580572                  -1.5935231e-07
                0.259983                  -2.0482557e-07
