        s / mm                Z/real
----------------------------------------------------------------------
              -160.18114                  -1.0266879e-18
              -159.62899                  -2.0880817e-18
              -159.07683                  -4.1518756e-18
              -158.52468                  -8.0559761e-18
              -157.97253                  -1.5225904e-17
              -157.42037                  -2.7983268e-17
              -156.86822                  -4.9932712e-17
              -156.31607                  -8.6385151e-17
              -155.76391                  -1.4472478e-16
              -155.21176                  -2.3457363e-16
              -154.65961                  -3.6757647e-16
              -154.10745                  -5.5666074e-16
               -153.5553                  -8.1476006e-16
              -153.00315                  -1.1532417e-15
                -152.451                  -1.5806076e-15
              -151.89884                  -2.1023274e-15
              -151.34669                  -2.7227294e-15
              -150.79454                  -3.4495428e-15
              -150.24238                  -4.3008957e-15
              -149.69023                  -5.3134878e-15
              -149.13808                  -6.5497174e-15
              -148.58592                  -8.1013245e-15
              -148.03377                   -1.008807e-14
              -147.48162                   -1.265208e-14
              -146.92946                  -1.5951061e-14
              -146.37731                  -2.0155397e-14
              -145.82516                  -2.5453989e-14
              -145.27301                  -3.2071195e-14
              -144.72085                  -4.0293119e-14
               -144.1687                  -5.0497925e-14
              -143.61655                  -6.3183892e-14
              -143.06439                  -7.8991546e-14
              -142.51224                  -9.8721586e-14
              -141.96009                  -1.2335545e-13
              -141.40793                  -1.5408739e-13
              -140.85578                  -1.9237453e-13
              -140.30363                  -2.4000617e-13
              -139.75147                   -2.991892e-13
              -139.19932                   -3.726465e-13
              -138.64717                  -4.6372998e-13
              -138.09502                  -5.7655631e-13
              -137.54286                  -7.1617801e-13
              -136.99071                  -8.8880034e-13
              -136.43856                  -1.1020497e-12
               -135.8864                  -1.3652946e-12
              -135.33425                   -1.690022e-12
               -134.7821                  -2.0902812e-12
              -134.22994                  -2.5832195e-12
              -133.67779                  -3.1897407e-12
              -133.12564                  -3.9353209e-12
              -132.57348                  -4.8510049e-12
              -132.02133                  -5.9746072e-12
              -131.46918                  -7.3521453e-12
              -130.91703                  -9.0395504e-12
              -130.36487                  -1.1104719e-11
              -129.81272                  -1.3629993e-11
              -129.26057                  -1.6715153e-11
              -128.70841                  -2.0481031e-11
              -128.15626                   -2.507383e-11
              -127.60411                  -3.0670284e-11
              -127.05195                  -3.7483813e-11
               -126.4998                  -4.5771871e-11
              -125.94765                  -5.5844741e-11
              -125.39549                  -6.8076045e-11
              -124.84334                  -8.2915291e-11
              -124.29119                  -1.0090281e-10
              -123.73904                  -1.2268749e-10
              -123.18688                  -1.4904788e-10
              -122.63473                  -1.8091719e-10
              -122.08258                  -2.1941298e-10
              -121.53042                  -2.6587233e-10
              -120.97827                  -3.2189357e-10
              -120.42612                  -3.8938551e-10
              -119.87396                  -4.7062568e-10
              -119.32181                  -5.6832901e-10
              -118.76966                  -6.8572882e-10
               -118.2175                  -8.2667223e-10
              -117.66535                  -9.9573237e-10
               -117.1132                  -1.1983404e-09
              -116.56105                  -1.4409405e-09
              -116.00889                  -1.7311719e-09
              -115.45674                  -2.0780815e-09
              -114.90459                  -2.4923742e-09
              -114.35243                   -2.986704e-09
              -113.80028                  -3.5760153e-09
              -113.24813                  -4.2779409e-09
              -112.69597                  -5.1132664e-09
              -112.14382                  -6.1064711e-09
              -111.59167                  -7.2863564e-09
              -111.03951                  -8.6867778e-09
              -110.48736                  -1.0347495e-08
              -109.93521                  -1.2315155e-08
              -109.38305                  -1.4644439e-08
               -108.8309                  -1.7399379e-08
              -108.27875                   -2.065489e-08
               -107.7266                  -2.4498537e-08
              -107.17444                  -2.9032576e-08
              -106.62229                  -3.4376299e-08
              -106.07014                  -4.0668745e-08
              -105.51798                  -4.8071812e-08
              -104.96583                  -5.6773842e-08
              -104.41368                  -6.6993727e-08
              -103.86152                  -7.8985624e-08
              -103.30937                  -9.3044351e-08
              -102.75722                  -1.0951157e-07
              -102.20506                  -1.2878283e-07
              -101.65291                  -1.5131569e-07
              -101.10076                  -1.7763883e-07
              -100.54861                   -2.083626e-07
              -99.996453                  -2.4419097e-07
              -99.444299                  -2.8593503e-07
              -98.892146                  -3.3452846e-07
              -98.339993                  -3.9104492e-07
               -97.78784                  -4.5671793e-07
              -97.235687                  -5.3296335e-07
              -96.683534                  -6.2140463e-07
              -96.131381                   -7.239014e-07
              -95.579228                  -8.4258188e-07
              -95.027075                  -9.7987935e-07
              -94.474922                   -1.138573e-06
              -93.922769                  -1.3218337e-06
              -93.370616                  -1.5332765e-06
              -92.818462                  -1.7770179e-06
              -92.266309                  -2.0577415e-06
              -91.714156                  -2.3807699e-06
              -91.162003                  -2.7521468e-06
               -90.60985                   -3.178728e-06
              -90.057697                  -3.6682818e-06
              -89.505544                  -4.2296023e-06
              -88.953391                  -4.8726346e-06
              -88.401238                  -5.6086143e-06
              -87.849085                  -6.4502231e-06
              -87.296932                  -7.4117591e-06
              -86.744779                  -8.5093266e-06
              -86.192625                  -9.7610465e-06
              -85.640472                  -1.1187289e-05
              -85.088319                  -1.2810928e-05
              -84.536166                  -1.4657621e-05
              -83.984013                  -1.6756124e-05
               -83.43186                  -1.9138625e-05
              -82.879707                  -2.1841123e-05
              -82.327554                  -2.4903835e-05
              -81.775401                  -2.8371641e-05
              -81.223248                  -3.2294579e-05
              -80.671095                  -3.6728371e-05
              -80.118942                   -4.173501e-05
              -79.566788                  -4.7383392e-05
              -79.014635                  -5.3750004e-05
              -78.462482                  -6.0919667e-05
              -77.910329                  -6.8986343e-05
              -77.358176                  -7.8054016e-05
              -76.806023                  -8.8237634e-05
               -76.25387                  -9.9664129e-05
              -75.701717                  -0.00011247351
              -75.149564                  -0.00012682003
              -74.597411                  -0.00014287349
              -74.045258                  -0.00016082056
              -73.493105                  -0.00018086625
              -72.940951                  -0.00020323544
              -72.388798                  -0.00022817457
              -71.836645                  -0.00025595335
              -71.284492                  -0.00028686666
              -70.732339                  -0.00032123656
              -70.180186                   -0.0003594143
              -69.628033                  -0.00040178259
               -69.07588                  -0.00044875797
              -68.523727                  -0.00050079321
              -67.971574                  -0.00055837992
              -67.419421                  -0.00062205117
              -66.867267                  -0.00069238436
              -66.315114                  -0.00077000419
              -65.762961                  -0.00085558569
              -65.210808                   -0.0009498574
              -64.658655                   -0.0010536046
              -64.106502                   -0.0011676725
              -63.554349                     -0.00129297
              -63.002196                   -0.0014304731
              -62.450043                   -0.0015812286
               -61.89789                   -0.0017463575
              -61.345737                   -0.0019270591
              -60.793584                   -0.0021246143
               -60.24143                   -0.0023403894
              -59.689277                   -0.0025758404
              -59.137124                   -0.0028325161
              -58.584971                   -0.0031120621
              -58.032818                   -0.0034162235
              -57.480665                   -0.0037468492
              -56.928512                    -0.004105895
              -56.376359                   -0.0044954272
              -55.824206                   -0.0049176245
              -55.272053                   -0.0053747803
                -54.7199                   -0.0058693057
              -54.167747                   -0.0064037314
              -53.615593                   -0.0069807099
               -53.06344                   -0.0076030158
              -52.511287                   -0.0082735462
              -51.959134                   -0.0089953206
              -51.406981                   -0.0097714811
              -50.854828                    -0.010605291
              -50.302675                    -0.011500134
              -49.750522                    -0.012459507
              -49.198369                    -0.013487023
              -48.646216                    -0.014586402
              -48.094063                    -0.015761472
               -47.54191                     -0.01701615
              -46.989756                    -0.018354449
              -46.437603                    -0.019780459
               -45.88545                    -0.021298347
              -45.333297                    -0.022912338
              -44.781144                    -0.024626706
              -44.228991                    -0.026445761
              -43.676838                    -0.028373833
              -43.124685                    -0.030415261
              -42.572532                    -0.032574369
              -42.020379                    -0.034855454
              -41.468226                    -0.037262757
              -40.916073                     -0.03980045
              -40.363919                    -0.042472612
              -39.811766                    -0.045283205
              -39.259613                    -0.048236047
               -38.70746                     -0.05133478
              -38.155307                    -0.054582848
              -37.603154                     -0.05798347
              -37.051001                     -0.06153961
              -36.498848                    -0.065253941
              -35.946695                    -0.069128815
              -35.394542                    -0.073166231
              -34.842389                    -0.077367803
              -34.290236                    -0.081734714
              -33.738082                    -0.086267688
              -33.185929                     -0.09096697
              -32.633776                    -0.095832287
              -32.081623                     -0.10086279
               -31.52947                     -0.10605703
              -30.977317                     -0.11141292
              -30.425164                     -0.11692774
              -29.873011                     -0.12259808
              -29.320858                     -0.12841976
              -28.768705                     -0.13438786
              -28.216552                     -0.14049669
              -27.664398                     -0.14673974
              -27.112245                     -0.15310966
              -26.560092                     -0.15959824
              -26.007939                     -0.16619642
              -25.455786                     -0.17289421
              -24.903633                     -0.17968071
               -24.35148                     -0.18654415
              -23.799327                      -0.1934718
              -23.247174                     -0.20045002
              -22.695021                     -0.20746422
              -22.142868                     -0.21449893
              -21.590715                     -0.22153775
              -21.038561                     -0.22856339
              -20.486408                     -0.23555769
              -19.934255                     -0.24250164
