        s / mm                Z/real
----------------------------------------------------------------------
              -160.18114                  -1.4449417e-18
              -159.62899                  -3.1964525e-18
              -159.07683                  -5.5175006e-18
              -158.52468                   -1.029981e-17
              -157.97253                  -1.8681302e-17
              -157.42037                  -3.2928061e-17
              -156.86822                  -5.6413629e-17
              -156.31607                  -9.3956276e-17
              -155.76391                  -1.5214188e-16
              -155.21176                   -2.395558e-16
              -154.65961                  -3.6682518e-16
              -154.10745                   -5.463713e-16
               -153.5553                  -7.9180708e-16
              -153.00315                  -1.1170087e-15
                -152.451                  -1.5350606e-15
              -151.89884                   -2.057486e-15
              -151.34669                  -2.6943927e-15
              -150.79454                  -3.4562673e-15
              -150.24238                  -4.3580635e-15
              -149.69023                  -5.4257535e-15
              -149.13808                  -6.7047665e-15
              -148.58592                  -8.2687226e-15
              -148.03377                  -1.0226157e-14
              -147.48162                  -1.2722863e-14
              -146.92946                  -1.5938682e-14
              -146.37731                  -2.0079942e-14
              -145.82516                  -2.5371818e-14
              -145.27301                  -3.2057444e-14
              -144.72085                  -4.0410531e-14
               -144.1687                  -5.0765357e-14
              -143.61655                   -6.356208e-14
              -143.06439                  -7.9398214e-14
              -142.51224                  -9.9073779e-14
              -141.96009                  -1.2362051e-13
              -141.40793                  -1.5431432e-13
              -140.85578                  -1.9268434e-13
              -140.30363                  -2.4054095e-13
              -139.75147                  -3.0004505e-13
              -139.19932                  -3.7383049e-13
              -138.64717                  -4.6517288e-13
              -138.09502                  -5.7817845e-13
              -137.54286                  -7.1797293e-13
              -136.99071                  -8.9088448e-13
              -136.43856                  -1.1046418e-12
               -135.8864                  -1.3686353e-12
              -135.33425                  -1.6942855e-12
               -134.7821                  -2.0955422e-12
              -134.22994                  -2.5895059e-12
              -133.67779                  -3.1971503e-12
              -133.12564                   -3.944125e-12
              -132.57348                   -4.861669e-12
              -132.02133                  -5.9877113e-12
              -131.46918                  -7.3682816e-12
              -130.91703                  -9.0592648e-12
              -130.36487                  -1.1128562e-11
              -129.81272                   -1.365865e-11
              -129.26057                  -1.6749609e-11
              -128.70841                  -2.0522657e-11
              -128.15626                  -2.5124345e-11
