        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_40/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                  -3.0301639e-35
               0.0905126                  -2.9449403e-34
               0.0924384                  -4.3132478e-34
               0.0943642                  -1.3650887e-32
                 0.09629                   3.9668469e-30
               0.0982158                   2.1921898e-29
               0.1001416                    8.526734e-29
               0.1020674                   6.9703257e-28
               0.1039932                   7.1967133e-27
                0.105919                   5.8209171e-26
               0.1078448                   8.0120224e-25
               0.1097706                   1.3868525e-24
               0.1116964                  -3.3186854e-24
               0.1136222                   6.7935464e-23
                0.115548                   1.2181527e-22
               0.1174738                   7.9544326e-22
               0.1193996                   2.3821653e-21
               0.1213254                   1.0428221e-20
               0.1232512                   1.6925035e-20
                0.125177                  -2.8785898e-20
               0.1271028                  -4.9362468e-19
               0.1290286                  -3.4884225e-18
               0.1309544                  -1.7715049e-17
               0.1328802                  -7.7819974e-17
                0.134806                  -3.0329666e-16
               0.1367318                  -1.0664852e-15
               0.1386576                  -3.4678846e-15
               0.1405834                  -1.0424944e-14
               0.1425092                  -2.9355567e-14
                0.144435                  -7.7456155e-14
               0.1463608                  -1.9206175e-13
               0.1482866                  -4.4919946e-13
               0.1502124                  -9.9324856e-13
               0.1521382                  -2.0790236e-12
                0.154064                  -4.1244039e-12
               0.1559898                  -7.7630315e-12
               0.1579156                  -1.3873408e-11
               0.1598414                  -2.3556594e-11
               0.1617672                  -3.8022436e-11
                0.163693                  -5.8380696e-11
               0.1656188                  -8.5349852e-11
               0.1675446                  -1.1897852e-10
               0.1694704                  -1.5855028e-10
               0.1713962                  -2.0285887e-10
                0.173322                  -2.5094435e-10
               0.1752478                   -3.033184e-10
               0.1771736                   -3.633556e-10
               0.1790994                  -4.3827833e-10
               0.1810252                  -5.3931881e-10
                0.182951                  -6.8061212e-10
               0.1848768                  -8.7705077e-10
               0.1868026                  -1.1420758e-09
               0.1887284                  -1.4867212e-09
               0.1906542                      -1.921e-09
                 0.19258                  -2.4577891e-09
               0.1945058                  -3.1185365e-09
               0.1964316                  -3.9384198e-09
               0.1983574                  -4.9687738e-09
               0.2002832                  -6.2761116e-09
                0.202209                   -7.940212e-09
               0.2041348                  -1.0052051e-08
               0.2060606                  -1.0052051e-08
               0.2079864                  -1.2715995e-08
               0.2099122                  -1.6059884e-08
                0.211838                  -2.0246357e-08
               0.2137638                  -2.5487154e-08
               0.2156896                  -3.2053265e-08
               0.2176154                  -4.0285652e-08
               0.2195412                  -5.0600541e-08
                0.221467                   -6.350453e-08
               0.2233928                   -7.961664e-08
               0.2253186                  -9.9707599e-08
               0.2272444                  -1.2473714e-07
               0.2291702                   -1.558963e-07
                0.231096                  -1.9466914e-07
               0.2330218                  -2.4287158e-07
               0.2349476                  -3.0271917e-07
               0.2368734                  -3.7695625e-07
               0.2387992                  -4.6892598e-07
                0.240725                  -5.8277959e-07
               0.2426508                  -7.2357795e-07
               0.2445766                  -8.9755974e-07
               0.2465024                  -1.1123345e-06
               0.2484282                  -1.3772167e-06
                0.250354                  -1.7035314e-06
               0.2522798                  -2.1051305e-06
               0.2542056                  -2.5989102e-06
               0.2561314                  -3.2054907e-06
               0.2580572                  -3.9498454e-06
                0.259983                  -4.8626066e-06
               0.2619088                  -5.9804634e-06
               0.2638346                  -7.3483093e-06
               0.2657604                  -9.0204603e-06
               0.2676862                  -1.1062673e-05
                0.269612                  -1.3554218e-05
               0.2715378                  -1.6591082e-05
