        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_66/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                               0
               0.0905126                               0
               0.0924384                               0
               0.0943642                               0
                 0.09629                               0
               0.0982158                               0
               0.1001416                               0
               0.1020674                               0
               0.1039932                               0
                0.105919                               0
               0.1078448                               0
               0.1097706                               0
               0.1116964                               0
               0.1136222                               0
                0.115548                               0
               0.1174738                               0
               0.1193996                               0
               0.1213254                               0
               0.1232512                               0
                0.125177                               0
               0.1271028                               0
               0.1290286                               0
               0.1309544                               0
               0.1328802                               0
                0.134806                               0
               0.1367318                               0
               0.1386576                               0
               0.1405834                               0
               0.1425092                  -9.1129367e-37
                0.144435                  -2.0736937e-35
               0.1463608                  -2.9402346e-34
               0.1482866                  -1.1297963e-33
               0.1502124                  -8.1555174e-34
               0.1521382                  -1.9817413e-33
                0.154064                  -4.3159105e-33
               0.1559898                    -1.32518e-33
               0.1579156                   2.5253307e-33
               0.1598414                   2.3221832e-33
               0.1617672                   1.5967524e-32
                0.163693                   -3.048717e-31
               0.1656188                  -7.1829242e-30
               0.1675446                  -9.2175392e-29
               0.1694704                  -9.0662151e-28
               0.1713962                  -7.5637401e-27
                0.173322                  -5.5361272e-26
               0.1752478                  -3.6335742e-25
               0.1771736                  -2.1717151e-24
               0.1790994                  -1.1939397e-23
               0.1810252                  -6.0723988e-23
                0.182951                  -2.8803445e-22
               0.1848768                  -1.2800741e-21
               0.1868026                  -5.3513707e-21
               0.1887284                  -2.1116299e-20
               0.1906542                  -7.8897392e-20
                 0.19258                  -2.7991802e-19
               0.1945058                   -9.451283e-19
               0.1964316                  -3.0430105e-18
               0.1983574                   -9.360528e-18
               0.2002832                  -2.7555596e-17
                0.202209                   -7.773269e-17
               0.2041348                  -2.1039822e-16
               0.2060606                  -2.1039822e-16
               0.2079864                  -5.4711309e-16
               0.2099122                  -1.3679192e-15
                0.211838                  -3.2918233e-15
               0.2137638                   -7.629656e-15
               0.2156896                  -1.7046006e-14
               0.2176154                  -3.6729341e-14
               0.2195412                  -7.6368016e-14
                0.221467                  -1.5328505e-13
               0.2233928                   -2.971062e-13
               0.2253186                  -5.5632604e-13
               0.2272444                  -1.0065211e-12
               0.2291702                  -1.7599073e-12
                0.231096                  -2.9744015e-12
               0.2330218                   -4.859791e-12
               0.2349476                  -7.6774012e-12
               0.2368734                  -1.1729868e-11
               0.2387992                  -1.7337798e-11
                0.240725                  -2.4805182e-11
               0.2426508                  -3.4380672e-11
               0.2445766                  -4.6224462e-11
               0.2465024                  -6.0403869e-11
               0.2484282                  -7.6945776e-11
                0.250354                  -9.5946182e-11
               0.2522798                  -1.1774889e-10
               0.2542056                  -1.4318186e-10
               0.2561314                  -1.7380583e-10
               0.2580572                  -2.1208205e-10
                0.259983                  -2.6145555e-10
               0.2619088                  -3.2630704e-10
               0.2638346                  -4.1180123e-10
               0.2657604                  -5.2375121e-10
               0.2676862                  -6.6860573e-10
                0.269612                  -8.5373142e-10
               0.2715378                  -1.0881117e-09
               0.2734636                  -1.3832102e-09
               0.2753894                  -1.7540991e-09
               0.2773152                  -2.2205588e-09
                0.279241                  -2.8077087e-09
               0.2811668                  -3.5466325e-09
               0.2830926                  -4.4753143e-09
               0.2850184                  -5.6396177e-09
               0.2869442                  -7.0952191e-09
                 0.28887                  -8.9112362e-09
               0.2907958                  -1.1174668e-08
               0.2927216                  -1.3995908e-08
               0.2946474                  -1.7513386e-08
