        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_29/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                  -1.9092657e-29
               0.0712546                   -6.694881e-29
               0.0731804                  -3.9111724e-27
               0.0751062                   1.4149154e-26
                0.077032                  -5.0088506e-25
               0.0789578                   4.1318661e-24
               0.0808836                   1.9084377e-23
               0.0828094                   1.0358223e-23
               0.0847352                  -3.9866102e-23
                0.086661                  -3.8995656e-22
               0.0885868                  -8.2336589e-21
               0.0905126                  -3.2846249e-34
               0.0924384                  -1.3120374e-19
               0.0943642                   -9.982888e-20
                 0.09629                   -1.739875e-19
               0.0982158                   -6.396069e-33
               0.1001416                  -4.0616115e-18
               0.1020674                   3.7984149e-32
               0.1039932                  -6.3890483e-18
                0.105919                   8.2145007e-18
               0.1078448                   5.8414198e-17
               0.1097706                  -1.0149462e-16
               0.1116964                  -1.3581293e-16
               0.1136222                  -2.3365735e-17
                0.115548                   2.6870527e-16
               0.1174738                   4.4712393e-30
               0.1193996                  -2.9207245e-17
               0.1213254                  -5.3741054e-16
               0.1232512                  -6.7760433e-16
                0.125177                  -5.6700867e-30
               0.1271028                   8.1779819e-16
               0.1290286                   1.6355964e-15
               0.1309544                  -1.6355964e-15
               0.1328802                  -1.6355964e-15
                0.134806                   5.6077536e-16
               0.1367318                   4.2992843e-15
               0.1386576                  -1.3224592e-28
               0.1405834                   6.3554665e-15
               0.1425092                   -9.907038e-15
                0.144435                  -3.9441232e-14
               0.1463608                  -6.8040795e-14
               0.1482866                  -1.2561375e-13
               0.1502124                  -2.7739706e-13
               0.1521382                  -5.6600959e-13
                0.154064                  -1.1350101e-12
               0.1559898                  -2.1930071e-12
               0.1579156                   -3.823743e-12
               0.1598414                  -6.4765862e-12
               0.1617672                  -1.0644272e-11
                0.163693                  -1.6766448e-11
               0.1656188                  -2.5231921e-11
               0.1675446                  -3.6164804e-11
               0.1694704                  -4.9910541e-11
               0.1713962                  -6.6204445e-11
                0.173322                  -8.4538078e-11
               0.1752478                  -1.0500116e-10
               0.1771736                  -1.2704937e-10
               0.1790994                   -1.520525e-10
               0.1810252                   -1.837311e-10
                0.182951                  -2.2616461e-10
               0.1848768                  -2.8271474e-10
               0.1868026                  -3.6016465e-10
               0.1887284                  -4.6687654e-10
               0.1906542                  -6.0679828e-10
                 0.19258                  -7.8282508e-10
               0.1945058                  -1.0081164e-09
               0.1964316                   -1.278868e-09
               0.1983574                  -1.6168528e-09
               0.2002832                  -2.0451358e-09
                0.202209                   -2.581088e-09
               0.2041348                  -3.2549523e-09
               0.2060606                  -3.2549523e-09
               0.2079864                  -4.1117101e-09
               0.2099122                  -5.2004583e-09
                0.211838                  -6.5615851e-09
               0.2137638                  -8.2812264e-09
               0.2156896                  -1.0409338e-08
               0.2176154                  -1.3064599e-08
               0.2195412                  -1.6476699e-08
                0.221467                  -2.0643345e-08
               0.2233928                  -2.5858927e-08
               0.2253186                  -3.2388353e-08
               0.2272444                  -4.0524107e-08
               0.2291702                   -5.071179e-08
                0.231096                  -6.3427635e-08
               0.2330218                  -7.9140221e-08
               0.2349476                  -9.8691757e-08
               0.2368734                  -1.2276367e-07
               0.2387992                  -1.5268205e-07
                0.240725                  -1.9030895e-07
               0.2426508                  -2.3576382e-07
               0.2445766                  -2.9279522e-07
               0.2465024                  -3.6317343e-07
               0.2484282                   -4.496975e-07
                0.250354                  -5.5601816e-07
               0.2522798                  -6.8644749e-07
               0.2542056                   -8.498547e-07
               0.2561314                  -1.0479916e-06
               0.2580572                  -1.2902052e-06
                0.259983                  -1.5872024e-06
               0.2619088                  -1.9550553e-06
               0.2638346                  -2.4052306e-06
