        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_22/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                  -1.8360861e-26
                0.057774                   -2.380106e-26
               0.0596998                     1.37307e-24
               0.0616256                   1.5545523e-23
               0.0635514                   1.2521285e-22
               0.0654772                  -1.5862917e-21
                0.067403                  -5.5652534e-21
               0.0693288                  -2.3709387e-20
               0.0712546                  -7.8615375e-20
               0.0731804                   3.8291607e-19
               0.0751062                   2.3245882e-19
                0.077032                   1.4831706e-19
               0.0789578                   3.1945242e-18
               0.0808836                  -1.1956681e-17
               0.0828094                  -1.8436974e-17
               0.0847352                  -1.7159122e-17
                0.086661                    5.476331e-17
               0.0885868                   1.4749579e-16
               0.0905126                   7.5938337e-17
               0.0924384                   4.2718905e-30
               0.0943642                   4.2718905e-30
                 0.09629                   1.9081211e-30
               0.0982158                   6.6592153e-16
               0.1001416                   5.2631464e-30
               0.1020674                  -8.1779819e-16
               0.1039932                  -4.2058299e-16
                0.105919                  -6.0750669e-16
               0.1078448                   1.6355964e-15
               0.1097706                   1.2150134e-15
               0.1116964                  -2.0094438e-15
               0.1136222                  -3.2711927e-15
                0.115548                  -1.6823319e-15
               0.1174738                  -5.7169594e-30
               0.1193996                   1.3084771e-14
               0.1213254                   2.4300268e-15
               0.1232512                  -1.3084771e-14
                0.125177                  -2.6169542e-14
               0.1271028                  -6.7293278e-15
               0.1290286                  -1.9440214e-14
               0.1309544                  -1.3458656e-14
               0.1328802                  -2.3178762e-14
                0.134806                  -6.5797736e-14
               0.1367318                  -3.8880428e-14
               0.1386576                  -3.8880428e-14
               0.1405834                  -1.1813682e-13
               0.1425092                  -7.7760857e-14
                0.144435                  -7.7760857e-14
               0.1463608                  -1.5282869e-27
               0.1482866                  -5.1324049e-28
               0.1502124                  -1.5552171e-13
               0.1521382                  -3.7086019e-13
                0.154064                   3.1104343e-13
               0.1559898                   8.3742534e-13
               0.1579156                  -2.1533849e-13
               0.1598414                   8.3742534e-13
               0.1617672                   9.9885861e-27
                0.163693                   1.1550215e-26
               0.1656188                   1.2441737e-12
               0.1675446                  -3.3497014e-12
               0.1694704                  -5.6536016e-26
               0.1713962                   3.3497014e-12
                0.173322                  -2.4883474e-12
               0.1752478                  -1.0814744e-11
               0.1771736                  -6.6994028e-12
               0.1790994                  -4.9766948e-12
               0.1810252                  -1.0910458e-11
                0.182951                  -2.1820917e-11
               0.1848768                  -1.8375499e-11
               0.1868026                  -1.9906779e-11
               0.1887284                  -3.6750998e-11
               0.1906542                  -3.9813559e-11
                 0.19258                  -5.3595222e-11
               0.1945058                   -2.986017e-11
               0.1964316                  -3.9813559e-11
               0.1983574                  -6.0486054e-11
               0.2002832                  -1.2709722e-10
                0.202209                  -1.0719044e-10
               0.2041348                  -1.4700399e-10
               0.2060606                  -1.4700399e-10
               0.2079864                  -2.1438089e-10
               0.2099122                  -2.1438089e-10
                0.211838                  -2.9400798e-10
               0.2137638                  -3.7363512e-10
               0.2156896                  -4.2876178e-10
               0.2176154                  -8.5752355e-10
               0.2195412                  -1.0167778e-09
                0.221467                  -1.0167778e-09
               0.2233928                   -1.813049e-09
               0.2253186                  -1.2862853e-09
               0.2272444                  -1.7150471e-09
               0.2291702                  -2.3520639e-09
                0.231096                  -2.6705727e-09
               0.2330218                  -2.5725706e-09
               0.2349476                  -4.9246345e-09
               0.2368734                   -5.978162e-09
               0.2387992                  -5.1451412e-09
                0.240725                  -9.4082555e-09
               0.2426508                  -1.0290282e-08
               0.2445766                  -1.6268444e-08
               0.2465024                  -1.9698538e-08
               0.2484282                  -2.4794673e-08
                0.250354                  -2.5676702e-08
               0.2522798                  -3.9397076e-08
               0.2542056                    -5.13534e-08
               0.2561314                  -5.9977644e-08
               0.2580572                  -7.7226119e-08
