        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_19/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                  -2.6113406e-25
               0.0519966                   9.9558348e-25
               0.0539224                   3.3164041e-23
               0.0558482                   1.0445274e-22
                0.057774                  -1.2256248e-22
               0.0596998                   -2.584933e-21
               0.0616256                   -1.212209e-20
               0.0635514                  -1.4831855e-19
               0.0654772                  -3.1945488e-19
                0.067403                  -3.1945242e-18
               0.0693288                    1.734161e-18
               0.0712546                   4.3811026e-18
               0.0731804                   5.8414105e-18
               0.0751062                   3.3588158e-17
                0.077032                  -6.7176317e-17
               0.0789578                   6.4255708e-17
               0.0808836                  -2.3646666e-30
               0.0828094                   4.0889909e-16
               0.0847352                   -6.482198e-30
                0.086661                  -7.0097641e-17
               0.0885868                  -7.0097641e-17
               0.0905126                  -8.1779819e-16
               0.0924384                  -2.1579797e-29
               0.0943642                  -6.0246892e-30
                 0.09629                   5.1404566e-16
               0.0982158                   1.6355964e-15
               0.1001416                   8.3104494e-30
               0.1020674                  -2.9908022e-15
               0.1039932                   1.4954015e-15
                0.105919                  -2.9908022e-15
               0.1078448                  -1.4496065e-30
               0.1097706                    2.990803e-15
               0.1116964                  -2.2431245e-15
               0.1136222                  -2.6169542e-14
                0.115548                  -1.9055114e-28
               0.1174738                   2.6169542e-14
               0.1193996                   -4.486249e-15
               0.1213254                   4.7852838e-14
               0.1232512                   4.0375875e-14
                0.125177                   9.5705677e-14
               0.1271028                   2.0201039e-27
               0.1290286                  -1.7944996e-14
               0.1309544                   9.1219424e-14
               0.1328802                    5.951332e-28
                0.134806                    1.615035e-13
               0.1367318                   2.8711704e-13
               0.1386576                   1.1963136e-13
               0.1405834                  -4.1871267e-13
               0.1425092                  -7.1779984e-14
                0.144435                  -7.1779984e-14
               0.1463608                   3.8282268e-13
               0.1482866                  -8.7331531e-13
               0.1502124                  -7.6564536e-13
               0.1521382                   1.5312908e-12
                0.154064                   1.6748507e-12
               0.1559898                   3.6004644e-26
               0.1579156                  -3.3497014e-12
               0.1598414                  -2.8711994e-13
               0.1617672                  -1.7714771e-26
                0.163693                   3.6368213e-12
               0.1656188                   1.1643589e-26
               0.1675446                   -1.958872e-26
               0.1694704                   1.3398806e-11
               0.1713962                  -8.4221241e-12
                0.173322                  -1.3398806e-11
               0.1752478                   2.6797611e-11
               0.1771736                    1.837549e-11
               0.1790994                   -4.593919e-12
               0.1810252                  -1.9906726e-11
                0.182951                   3.3688496e-11
               0.1848768                   4.6704345e-11
               0.1868026                   4.7013186e-25
               0.1887284                    9.187838e-12
               0.1906542                   -4.293548e-25
                 0.19258                   9.8002606e-11
               0.1945058                  -1.8375676e-11
               0.1964316                   1.8375676e-11
               0.1983574                   4.5014602e-25
               0.2002832                  -3.6751352e-11
                0.202209                  -4.1072631e-24
               0.2041348                   3.6751352e-11
               0.2060606                   3.6751352e-11
               0.2079864                   4.2876178e-10
               0.2099122                  -7.3502704e-11
                0.211838                  -6.6151834e-10
               0.2137638                   7.3502704e-11
               0.2156896                   1.4700541e-10
               0.2176154                   1.7150471e-09
               0.2195412                   1.4210363e-09
                0.221467                   2.9401082e-10
               0.2233928                  -1.7150471e-09
               0.2253186                  -1.0780319e-09
               0.2272444                   3.4300942e-09
               0.2291702                  -2.3296281e-23
                0.231096                  -3.4300942e-09
               0.2330218                  -3.1360834e-09
               0.2349476                  -2.5480609e-09
               0.2368734                  -6.2721668e-09
               0.2387992                   1.1760433e-09
                0.240725                    -7.44821e-09
               0.2426508                  -5.0961217e-09
               0.2445766                   1.3720377e-08
               0.2465024                  -1.4308398e-08
               0.2484282                  -2.7440754e-08
                0.250354                   2.0816182e-15
               0.2522798                   2.5088667e-08
               0.2542056                  -2.7440754e-08
               0.2561314                   -2.979284e-08
               0.2580572                  -9.4083461e-09
