        s / mm                Y (7)/real
              -55.824206                   0.00020563421
              -55.272053                   0.00022571182
                -54.7199                   0.00024753983
              -54.167747                   0.00027124879
              -53.615593                   0.00029697659
               -53.06344                   0.00032486903
              -52.511287                   0.00035507977
              -51.959134                   0.00038777062
              -51.406981                   0.00042311195
              -50.854828                   0.00046128255
              -50.302675                   0.00050246953
              -49.750522                   0.00054686924
              -49.198369                   0.00059468695
              -48.646216                   0.00064613617
              -48.094063                   0.00070143953
               -47.54191                   0.00076082903
              -46.989756                    0.0008245447
              -46.437603                   0.00089283565
               -45.88545                   0.00096596013
              -45.333297                    0.0010441836
              -44.781144                    0.0011277792
              -44.228991                    0.0012170287
              -43.676838                    0.0013122214
              -43.124685                    0.0014136528
              -42.572532                    0.0015216239
              -42.020379                    0.0016364422
              -41.468226                    0.0017584205
              -40.916073                     0.001887874
              -40.363919                    0.0020251227
              -39.811766                      0.00217049
              -39.259613                    0.0023242986
               -38.70746                    0.0024868711
              -38.155307                    0.0026585309
              -37.603154                    0.0028395991
              -37.051001                    0.0030303924
              -36.498848                    0.0032312221
              -35.946695                    0.0034423954
              -35.394542                    0.0036642105
              -34.842389                    0.0038969528
              -34.290236                    0.0041409002
              -33.738082                    0.0043963177
              -33.185929                    0.0046634491
              -32.633776                    0.0049425253
              -32.081623                     0.005233763
               -31.52947                    0.0055373507
              -30.977317                    0.0058534559
              -30.425164                    0.0061822231
              -29.873011                    0.0065237619
              -29.320858                    0.0068781612
              -28.768705                     0.007245482
              -28.216552                    0.0076257391
              -27.664398                    0.0080189184
              -27.112245                    0.0084249715
              -26.560092                    0.0088438001
              -26.007939                    0.0092752712
              -25.455786                    0.0097192156
              -24.903633                     0.010175413
               -24.35148                     0.010643589
              -23.799327                     0.011123423
              -23.247174                     0.011614558
              -22.695021                     0.012116585
              -22.142868                     0.012629025
              -21.590715                     0.013151361
              -21.038561                     0.013683026
              -20.486408                     0.014223381
              -19.934255                     0.014771749
              -19.382102                     0.015327411
              -18.829949                     0.015889571
              -18.277796                     0.016457384
              -17.725643                     0.017029965
               -17.17349                      0.01760637
              -16.621337                     0.018185604
              -16.069184                     0.018766636
              -15.517031                     0.019348377
              -14.964878                     0.019929682
              -14.412724                     0.020509392
              -13.860571                     0.021086323
              -13.308418                     0.021659195
              -12.756265                     0.022226724
              -12.204112                     0.022787662
              -11.651959                     0.023340651
              -11.099806                     0.023884291
              -10.547653                     0.024417279
              -9.9954998                      0.02493826
              -9.4433467                      0.02544578
              -8.8911936                      0.02593848
              -8.3390405                     0.026415034
              -7.7868875                     0.026874013
              -7.2347344                     0.027314044
              -6.6825813                     0.027733875
              -6.1304282                     0.028132185
              -5.5782751                     0.028507618
               -5.026122                      0.02885896
              -4.4739689                     0.029185082
              -3.9218159                     0.029484827
              -3.3696628                     0.029757056
              -2.8175097                     0.030000721
              -2.2653566                     0.030214904
              -1.7132035                     0.030398766
              -1.1610504                     0.030551422
             -0.60889736                     0.030672071
            -0.056744272                     0.030760136
              0.49540881                     0.030815092
               1.0475619                     0.030836427
                1.599715                     0.030823755
               2.1518681                     0.030776792
               2.7040211                     0.030695384
               3.2561742                     0.030579502
               3.8083273                     0.030429134
               4.3604804                     0.030244409
               4.9126335                     0.030025658
               5.4647866                     0.029773236
               6.0169397                     0.029487551
               6.5690927                     0.029169197
               7.1212458                     0.028818927
               7.6733989                     0.028437551
                8.225552                     0.028025878
               8.7777051                     0.027584906
               9.3298582                     0.027115827
               9.8820112                     0.026619786
               10.434164                     0.026098026
               10.986317                     0.025551989
               11.538471                     0.024983051
               12.090624                     0.024392697
               12.642777                      0.02378263
                13.19493                     0.023154456
               13.747083                     0.022509818
               14.299236                     0.021850551
               14.851389                     0.021178398
               15.403542                     0.020495119
               15.955695                     0.019802674
               16.507848                     0.019102948
               17.060001                     0.018397731
               17.612154                     0.017688914
               18.164308                     0.016978417
               18.716461                     0.016268092
               19.268614                     0.015559734
               19.820767                     0.014855156
                20.37292                     0.014156192
               20.925073                     0.013464532
               21.477226                     0.012781784
               22.029379                     0.012109628
               22.581532                     0.011449652
               23.133685                     0.010803262
               23.685838                     0.010171837
               24.237991                    0.0095567296
               24.790145                    0.0089591866
               25.342298                    0.0083803241
               25.894451                    0.0078211564
               26.446604                    0.0072826275
               26.998757                    0.0067655553
                27.55091                    0.0062706836
               28.103063                    0.0057986615
               28.655216                    0.0053499167
               29.207369                    0.0049248663
               29.759522                     0.004523906
               30.311675                    0.0041471048
               30.863828                    0.0037945176
               31.415982                    0.0034662771
               31.968135                    0.0031620952
               32.520288                     0.002881598
               33.072441                    0.0026247136
               33.624594                    0.0023910284
               34.176747                    0.0021797592
                 34.7289                    0.0019904128
               35.281053                    0.0018224785
               35.833206                    0.0016750083
               36.385359                    0.0015470844
               36.937512                    0.0014379927
               37.489665                    0.0013467965
               38.041819                    0.0012723479
               38.593972                     0.001213626
               39.146125                    0.0011696461
               39.698278                    0.0011392525
               40.250431                    0.0011212674
               40.802584                    0.0011145892
               41.354737                    0.0011180516
                41.90689                    0.0011304342
               42.459043                    0.0011506087
               43.011196                     0.001177509
               43.563349                    0.0012099511
