        Frequency / GHz                Z (5)/abs,linear
----------------------------------------------------------------------
                       0                       17.107749
            0.0054646658                       17.139618
             0.010929332                       17.231621
             0.016393997                       17.373376
             0.021858663                       17.548946
             0.027323329                        17.73857
             0.032787995                       17.920573
              0.03825266                       18.073211
             0.043717326                       18.176272
             0.049181992                       18.212373
             0.054646658                          18.168
             0.060111324                       18.034323
             0.065575989                        17.80788
             0.071040655                        17.49117
             0.076505321                       17.093226
             0.081969987                       16.630131
             0.087434652                       16.125446
             0.092899318                       15.610342
             0.098363984                       15.123082
              0.10382865                       14.707313
              0.10929332                       14.408524
              0.11475798                       14.268403
              0.12022265                       14.317822
              0.12568731                       14.570507
              0.13115198                       15.019974
              0.13661664                       15.641007
              0.14208131                       16.394712
              0.14754598                       17.234761
              0.15301064                       18.112787
              0.15847531                       18.982069
              0.16393997                       19.799622
              0.16940464                       20.527204
               0.1748693                         21.1317
              0.18033397                       21.585228
              0.18579864                       21.865158
               0.1912633                       21.954143
              0.19672797                         21.8402
              0.20219263                       21.516893
               0.2076573                       20.983623
              0.21312197                       20.246114
              0.21858663                       19.317164
               0.2240513                       18.217841
              0.22951596                       16.979401
              0.23498063                       15.646317
              0.24044529                       14.280929
              0.24590996                       12.969823
              0.25137463                       11.830012
              0.25683929                       11.007084
              0.26230396                         10.6492
              0.26776862                       10.849722
              0.27323329                       11.596432
              0.27869795                        12.78277
              0.28416262                       14.265578
              0.28962729                       15.911186
              0.29509195                       17.611112
              0.30055662                       19.280796
              0.30602128                       20.854037
              0.31148595                       22.278059
              0.31695062                       23.510136
              0.32241528                       24.515501
              0.32787995                       25.266119
              0.33334461                       25.740018
              0.33880928                       25.920937
              0.34427394                       25.798188
              0.34973861                        25.36665
              0.35520328                       24.626854
              0.36066794                       23.585188
              0.36613261                       22.254268
              0.37159727                       20.653617
              0.37706194                       18.810974
               0.3825266                       16.764902
              0.38799127                       14.570273
              0.39345594                       12.310359
               0.3989206                       10.124348
              0.40438527                       8.2658402
              0.40984993                       7.1732816
               0.4153146                       7.3128556
              0.42077926                       8.6598726
              0.42624393                       10.750361
               0.4317086                       13.180882
              0.43717326                        15.71713
              0.44263793                        18.22376
              0.44810259                       20.613154
              0.45356726                       22.821738
              0.45903193                       24.799629
              0.46449659                       26.506032
              0.46996126                       27.907155
              0.47542592                       28.975283
              0.48089059                       29.688403
              0.48635525                       30.030084
              0.49181992                       29.989475
              0.49728459                       29.561346
              0.50274925                       28.746139
              0.50821392                       27.549995
              0.51367858                       25.984788
              0.51914325                       24.068177
              0.52460791                       21.823756
              0.53007258                       19.281493
              0.53553725                       16.478956
              0.54100191                       13.464793
              0.54646658                       10.309754
              0.55193124                       7.1492705
              0.55739591                       4.4035101
              0.56286058                        3.685263
              0.56832524                       5.8996415
              0.57378991                       9.0976922
              0.57925457                       12.479467
              0.58471924                       15.830685
               0.5901839                       19.053922
              0.59564857                        22.08386
              0.60111324                       24.868049
               0.6065779                       27.361399
              0.61204257                       29.524483
              0.61750723                        31.32308
               0.6229719                       32.728187
              0.62843656                       33.716198
              0.63390123                       34.269124
               0.6393659                         34.3748
              0.64483056                       34.027054
              0.65029523                       33.225806
              0.65575989                       31.977104
              0.66122456                       30.293087
              0.66668923                       28.191864
              0.67215389                       25.697319
              0.67761856                       22.838839
              0.68308322                       19.650962
              0.68854789                       16.172961
              0.69401255                       12.448355
              0.69947722                       8.5243688
              0.70494189                       4.4513531
              0.71040655                      0.28422072
              0.71587122                       3.9295669
              0.72133588                       8.1268744
              0.72680055                       12.254565
              0.73226521                       16.257138
              0.73772988                       20.080312
              0.74319455                        23.67173
              0.74865921                       26.981674
              0.75412388                       29.963752
              0.75958854                       32.575548
              0.76505321                       34.779231
              0.77051787                       36.542093
              0.77598254                       37.837044
              0.78144721                       38.643025
              0.78691187                       38.945349
              0.79237654                       38.735966
               0.7978412                       38.013653
              0.80330587                       36.784116
              0.80877054                       35.060036
               0.8142352                       32.861052
              0.81969987                       30.213731
              0.82516453                       27.151606
               0.8306292                       23.715466
              0.83609386                       19.954451
              0.84155853                       15.929635
               0.8470232                       11.726913
              0.85248786                       7.5169074
              0.85795253                       3.9969007
              0.86341719                       4.3757407
              0.86888186                       8.1834756
              0.87434652                       12.571455
              0.87981119                       16.989706
              0.88527586                        21.28211
              0.89074052                       25.360061
              0.89620519                       29.155195
              0.90166985                       32.608888
              0.90713452                       35.669439
              0.91259919                       38.291391
              0.91806385                       40.435561
              0.92352852                        42.06932
              0.92899318                       43.166929
              0.93445785                       43.709875
