        Frequency / GHz                X (8)/abs,linear
               1.2459438                       4.3696021
               1.2514085                       4.3699975
               1.2568731                       4.3698425
               1.2623378                       4.3691814
               1.2678025                       4.3680858
               1.2732671                       4.3666516
               1.2787318                       4.3649939
               1.2841965                       4.3632412
               1.2896611                       4.3615288
               1.2951258                       4.3599917
               1.3005905                       4.3587576
               1.3060551                       4.3579393
               1.3115198                       4.3576291
               1.3169845                       4.3578936
               1.3224491                        4.358769
               1.3279138                       4.3602598
               1.3333785                       4.3623375
               1.3388431                       4.3649425
               1.3443078                       4.3679863
               1.3497724                       4.3713566
               1.3552371                       4.3749229
               1.3607018                       4.3785433
               1.3661664                       4.3820723
               1.3716311                       4.3853679
               1.3770958                       4.3882998
               1.3825604                       4.3907557
               1.3880251                       4.3926478
               1.3934898                       4.3939174
               1.3989544                       4.3945381
               1.4044191                       4.3945177
               1.4098838                       4.3938982
               1.4153484                       4.3927535
               1.4208131                       4.3911867
               1.4262778                       4.3893242
               1.4317424                         4.38731
               1.4372071                       4.3852982
               1.4426718                       4.3834445
               1.4481364                       4.3818985
               1.4536011                       4.3807954
               1.4590658                       4.3802485
               1.4645304                       4.3803427
               1.4699951                         4.38113
               1.4754598                       4.3826258
               1.4809244                       4.3848083
               1.4863891                       4.3876186
               1.4918538                       4.3909642
               1.4973184                       4.3947235
               1.5027831                       4.3987521
               1.5082478                       4.4028902
               1.5137124                       4.4069712
               1.5191771                       4.4108307
               1.5246418                       4.4143145
               1.5301064                       4.4172874
               1.5355711                       4.4196403
               1.5410357                       4.4212955
               1.5465004                       4.4222119
               1.5519651                       4.4223868
               1.5574297                       4.4218565
               1.5628944                       4.4206952
               1.5683591                       4.4190112
               1.5738237                        4.416942
               1.5792884                        4.414647
               1.5847531                       4.4122998
               1.5902177                       4.4100793
               1.5956824                       4.4081598
               1.6011471                        4.406702
               1.6066117                        4.405844
               1.6120764                       4.4056938
               1.6175411                        4.406323
               1.6230057                       4.4077623
               1.6284704                       4.4099997
               1.6339351                       4.4129806
               1.6393997                       4.4166106
               1.6448644                       4.4207601
               1.6503291                       4.4252708
               1.6557937                       4.4299645
               1.6612584                       4.4346522
               1.6667231                        4.439144
               1.6721877                       4.4432592
               1.6776524                       4.4468355
               1.6831171                       4.4497382
               1.6885817                       4.4518668
               1.6940464                       4.4531607
               1.6995111                       4.4536027
               1.7049757                       4.4532203
               1.7104404                       4.4520846
               1.7159051                       4.4503074
               1.7213697                       4.4480356
               1.7268344                       4.4454441
               1.7322991                       4.4427272
               1.7377637                       4.4400882
               1.7432284                       4.4377293
                1.748693                       4.4358403
               1.7541577                       4.4345885
               1.7596224                       4.4341096
                1.765087                       4.4344995
               1.7705517                        4.435809
               1.7760164                       4.4380404
                1.781481                       4.4411469
               1.7869457                        4.445035
               1.7924104                       4.4495689
                1.797875                       4.4545776
               1.8033397                       4.4598637
               1.8088044                       4.4652143
                1.814269                       4.4704116
               1.8197337                       4.4752447
               1.8251984                       4.4795205
                1.830663                       4.4830739
               1.8361277                       4.4857765
               1.8415924                       4.4875438
                1.847057                       4.4883391
               1.8525217                       4.4881769
               1.8579864                       4.4871217
                1.863451                       4.4852858
               1.8689157                       4.4828242
               1.8743804                       4.4799264
                1.879845                       4.4768078
               1.8853097                       4.4736983
               1.8907744                       4.4708304
                1.896239                       4.4684272
               1.9017037                       4.4666896
               1.9071684                       4.4657862
                1.912633                       4.4658428
