        s / mm                Z (4)/real
----------------------------------------------------------------------
              -160.18114                  -1.5652033e-18
              -159.62899                  -3.0253299e-18
              -159.07683                  -5.7323003e-18
              -158.52468                   -1.063597e-17
              -157.97253                  -1.9302231e-17
              -157.42037                  -3.4219867e-17
              -156.86822                  -5.9187935e-17
              -156.31607                  -9.9751727e-17
              -155.76391                  -1.6361115e-16
              -155.21176                  -2.6087308e-16
              -154.65961                  -4.0397814e-16
              -154.10745                  -6.0713524e-16
               -153.5553                   -8.851845e-16
              -153.00315                  -1.2520113e-15
                -152.451                  -1.7189441e-15
              -151.89884                  -2.2939126e-15
              -151.34669                  -2.9823741e-15
              -150.79454                  -3.7909354e-15
              -150.24238                  -4.7340528e-15
              -149.69023                  -5.8431925e-15
              -149.13808                  -7.1766204e-15
              -148.58592                  -8.8270993e-15
              -148.03377                  -1.0924811e-14
              -147.48162                  -1.3634209e-14
              -146.92946                  -1.7146098e-14
              -146.37731                   -2.166915e-14
              -145.82516                  -2.7427029e-14
              -145.27301                  -3.4666947e-14
              -144.72085                  -4.3682521e-14
               -144.1687                  -5.4849074e-14
              -143.61655                  -6.8665249e-14
              -143.06439                   -8.579317e-14
              -142.51224                  -1.0709175e-13
              -141.96009                  -1.3364334e-13
              -141.40793                  -1.6677994e-13
              -140.85578                   -2.081193e-13
              -140.30363                   -2.596206e-13
              -139.75147                    -3.23666e-13
              -139.19932                   -4.031698e-13
              -138.64717                   -5.017147e-13
              -138.09502                  -6.2371569e-13
              -137.54286                  -7.7461531e-13
              -136.99071                  -9.6111672e-13
              -136.43856                  -1.1914629e-12
               -135.8864                  -1.4757706e-12
              -135.33425                  -1.8264296e-12
               -134.7821                  -2.2585829e-12
              -134.22994                  -2.7907109e-12
              -133.67779                  -3.4453449e-12
              -133.12564                  -4.2499428e-12
              -132.57348                  -5.2379553e-12
              -132.02133                  -6.4501129e-12
              -131.46918                  -7.9359641e-12
              -130.91703                  -9.7557149e-12
              -130.36487                  -1.1982441e-11
              -129.81272                  -1.4704757e-11
              -129.26057                  -1.8030039e-11
              -128.70841                  -2.2088287e-11
              -128.15626                  -2.7036768e-11
              -127.60411                  -3.3065556e-11
              -127.05195                  -4.0404132e-11
               -126.4998                  -4.9329283e-11
              -125.94765                  -6.0174528e-11
              -125.39549                  -7.3341387e-11
              -124.84334                  -8.9312842e-11
              -124.29119                  -1.0866935e-10
              -123.73904                  -1.3210786e-10
              -123.18688                   -1.604644e-10
              -122.63473                  -1.9474091e-10
              -122.08258                    -2.36137e-10
              -121.53042                  -2.8608773e-10
              -120.97827                  -3.4630812e-10
              -120.42612                  -4.1884604e-10
              -119.87396                  -5.0614442e-10
              -119.32181                  -6.1111481e-10
              -118.76966                  -7.3722403e-10
               -118.2175                   -8.885962e-10
              -117.66535                  -1.0701328e-09
               -117.1132                  -1.2876539e-09
              -116.56105                  -1.5480639e-09
              -116.00889                  -1.8595455e-09
              -115.45674                  -2.2317881e-09
              -114.90459                  -2.6762539e-09
              -114.35243                  -3.2064893e-09
              -113.80028                  -3.8384899e-09
              -113.24813                  -4.5911257e-09
              -112.69597                  -5.4866358e-09
              -112.14382                  -6.5512052e-09
              -111.59167                  -7.8156372e-09
              -111.03951                  -9.3161332e-09
              -110.48736                  -1.1095199e-08
              -109.93521                  -1.3202694e-08
              -109.38305                   -1.569705e-08
               -108.8309                  -1.8646683e-08
              -108.27875                  -2.2131617e-08
               -107.7266                  -2.6245371e-08
              -107.17444                   -3.109713e-08
              -106.62229                  -3.6814244e-08
              -106.07014                  -4.3545114e-08
              -105.51798                  -5.1462505e-08
              -104.96583                  -6.0767351e-08
              -104.41368                  -7.1693135e-08
              -103.86152                  -8.4510908e-08
              -103.30937                  -9.9535023e-08
              -102.75722                  -1.1712968e-07
              -102.20506                  -1.3771644e-07
              -101.65291                  -1.6178281e-07
              -101.10076                  -1.8989203e-07
              -100.54861                   -2.226942e-07
              -99.996453                  -2.6093895e-07
              -99.444299                  -3.0548974e-07
              -98.892146                  -3.5734034e-07
              -98.339993                  -4.1763338e-07
               -97.78784                  -4.8768128e-07
              -97.235687                  -5.6898991e-07
              -96.683534                  -6.6328569e-07
              -96.131381                    -7.72546e-07
              -95.579228                  -8.9903308e-07
              -95.027075                  -1.0453326e-06
              -94.474922                  -1.2143975e-06
              -93.922769                  -1.4095963e-06
              -93.370616                  -1.6347679e-06
              -92.818462                  -1.8942828e-06
              -92.266309                  -2.1931127e-06
              -91.714156                   -2.536907e-06
              -91.162003                  -2.9320781e-06
               -90.60985                  -3.3858979e-06
              -90.057697                  -3.9066045e-06
              -89.505544                  -4.5035218e-06
              -88.953391                   -5.187192e-06
              -88.401238                  -5.9695218e-06
              -87.849085                  -6.8639462e-06
              -87.296932                  -7.8856103e-06
              -86.744779                   -9.051569e-06
              -86.192625                  -1.0381006e-05
              -85.640472                  -1.1895481e-05
              -85.088319                  -1.3619198e-05
              -84.536166                  -1.5579299e-05
              -83.984013                  -1.7806198e-05
               -83.43186                  -2.0333929e-05
              -82.879707                  -2.3200543e-05
              -82.327554                  -2.6448541e-05
              -81.775401                  -3.0125338e-05
              -81.223248                  -3.4283781e-05
              -80.671095                  -3.8982711e-05
