        s / mm                X/real
              -107.38478                   4.7309975e-09
              -107.10395                   5.1667936e-09
              -106.82312                   5.6414886e-09
              -106.54228                   6.1584389e-09
              -106.26145                   6.7212788e-09
              -105.98062                   7.3339408e-09
              -105.69979                   8.0006851e-09
              -105.41896                    8.726123e-09
              -105.13813                   9.5152395e-09
              -104.85729                   1.0373428e-08
              -104.57646                   1.1306528e-08
              -104.29563                    1.232085e-08
               -104.0148                   1.3423209e-08
              -103.73397                    1.462097e-08
              -103.45314                     1.59221e-08
               -103.1723                   1.7335202e-08
              -102.89147                    1.886956e-08
              -102.61064                   2.0535199e-08
              -102.32981                   2.2342941e-08
              -102.04898                    2.430447e-08
              -101.76815                   2.6432387e-08
              -101.48731                   2.8740273e-08
              -101.20648                   3.1242774e-08
              -100.92565                   3.3955694e-08
              -100.64482                   3.6896073e-08
              -100.36399                   4.0082251e-08
              -100.08316                   4.3533981e-08
              -99.802323                   4.7272537e-08
              -99.521492                   5.1320836e-08
               -99.24066                    5.570356e-08
              -98.959828                   6.0447261e-08
              -98.678997                   6.5580476e-08
              -98.398165                   7.1133931e-08
              -98.117333                   7.7140685e-08
              -97.836501                   8.3636249e-08
               -97.55567                   9.0658793e-08
              -97.274838                   9.8249371e-08
              -96.994006                   1.0645206e-07
              -96.713175                   1.1531418e-07
              -96.432343                   1.2488656e-07
              -96.151511                   1.3522378e-07
               -95.87068                   1.4638439e-07
              -95.589848                   1.5843129e-07
              -95.309016                    1.714319e-07
              -95.028184                   1.8545844e-07
              -94.747353                   2.0058845e-07
              -94.466521                   2.1690506e-07
              -94.185689                   2.3449732e-07
              -93.904858                   2.5346061e-07
              -93.624026                    2.738971e-07
              -93.343194                   2.9591627e-07
              -93.062363                   3.1963529e-07
              -92.781531                   3.4517948e-07
              -92.500699                   3.7268299e-07
              -92.219867                   4.0228941e-07
              -91.939036                   4.3415235e-07
              -91.658204                   4.6843594e-07
              -91.377372                   5.0531547e-07
              -91.096541                   5.4497845e-07
              -90.815709                   5.8762552e-07
              -90.534877                   6.3347075e-07
              -90.254046                   6.8274235e-07
              -89.973214                   7.3568411e-07
              -89.692382                   7.9255679e-07
               -89.41155                   8.5363872e-07
              -89.130719                   9.1922599e-07
              -88.849887                   9.8963425e-07
              -88.569055                   1.0652012e-06
              -88.288224                   1.1462866e-06
              -88.007392                   1.2332725e-06
               -87.72656                   1.3265675e-06
              -87.445729                   1.4266068e-06
              -87.164897                   1.5338528e-06
              -86.884065                   1.6487983e-06
              -86.603233                   1.7719681e-06
              -86.322402                   1.9039199e-06
               -86.04157                   2.0452477e-06
              -85.760738                   2.1965834e-06
              -85.479907                   2.3585984e-06
              -85.199075                   2.5320063e-06
              -84.918243                   2.7175656e-06
              -84.637412                   2.9160824e-06
