        Frequency / GHz                Y (5)/abs,linear
----------------------------------------------------------------------
                       0                       10.968883
            0.0054646658                       10.965315
             0.010929332                       10.954785
             0.016393997                       10.937801
             0.021858663                       10.915186
             0.027323329                       10.888043
             0.032787995                       10.857705
              0.03825266                       10.825675
             0.043717326                       10.793553
             0.049181992                        10.76296
             0.054646658                       10.735455
             0.060111324                       10.712456
             0.065575989                       10.695156
             0.071040655                       10.684468
             0.076505321                       10.680961
             0.081969987                       10.684836
             0.087434652                       10.695911
             0.092899318                        10.71363
             0.098363984                       10.737093
              0.10382865                       10.765115
              0.10929332                       10.796279
              0.11475798                       10.829024
              0.12022265                       10.861719
              0.12568731                       10.892747
              0.13115198                       10.920589
              0.13661664                       10.943887
              0.14208131                       10.961516
              0.14754598                       10.972627
              0.15301064                       10.976689
              0.15847531                       10.973509
              0.16393997                       10.963245
              0.16940464                       10.946397
               0.1748693                       10.923786
              0.18033397                       10.896522
              0.18579864                        10.86595
               0.1912633                       10.833598
              0.19672797                       10.801095
              0.20219263                         10.7701
               0.2076573                       10.742213
              0.21312197                       10.718893
              0.21858663                       10.701379
               0.2240513                        10.69062
              0.22951596                        10.68722
              0.23498063                       10.691402
              0.24044529                       10.702996
              0.24590996                       10.721446
              0.25137463                        10.74584
              0.25683929                       10.774965
              0.26230396                       10.807371
              0.26776862                       10.841448
              0.27323329                       10.875513
              0.27869795                       10.907895
              0.28416262                       10.937016
              0.28962729                       10.961465
              0.29509195                       10.980067
              0.30055662                       10.991932
              0.30602128                       10.996497
              0.31148595                        10.99355
              0.31695062                       10.983243
              0.32241528                       10.966083
              0.32787995                       10.942914
              0.33334461                       10.914884
              0.33880928                       10.883389
              0.34427394                       10.850018
              0.34973861                       10.816472
              0.35520328                       10.784486
              0.36066794                       10.755738
              0.36613261                        10.73176
              0.37159727                       10.713859
              0.37706194                       10.703037
               0.3825266                       10.699934
              0.38799127                        10.70479
              0.39345594                        10.71743
               0.3989206                        10.73727
              0.40438527                       10.763354
              0.40984993                       10.794401
               0.4153146                       10.828881
              0.42077926                       10.865097
              0.42624393                       10.901271
               0.4317086                       10.935638
              0.43717326                       10.966532
              0.44263793                       10.992462
              0.44810259                       11.012189
              0.45356726                       11.024773
              0.45903193                       11.029621
              0.46449659                       11.026513
              0.46996126                       11.015614
              0.47542592                       10.997465
              0.48089059                       10.972969
              0.48635525                       10.943347
              0.49181992                       10.910091
              0.49728459                       10.874894
              0.50274925                       10.839573
              0.50821392                       10.805979
              0.51367858                       10.775903
              0.51914325                       10.750982
              0.52460791                       10.732604
              0.53007258                       10.721834
              0.53553725                       10.719345
              0.54100191                       10.725377
              0.54646658                       10.739726
              0.55193124                       10.761744
              0.55739591                       10.790384
              0.56286058                       10.824255
              0.56832524                       10.861699
              0.57378991                       10.900882
              0.57925457                        10.93989
              0.58471924                       10.976828
               0.5901839                        11.00991
              0.59564857                        11.03755
              0.60111324                       11.058429
               0.6065779                       11.071558
              0.61204257                       11.076325
              0.61750723                       11.072518
               0.6229719                        11.06034
              0.62843656                       11.040404
              0.63390123                       11.013707
               0.6393659                       10.981592
              0.64483056                        10.94569
              0.65029523                       10.907848
              0.65575989                       10.870042
              0.66122456                       10.834281
              0.66668923                       10.802502
              0.67215389                        10.77647
              0.67761856                        10.75767
              0.68308322                       10.747227
              0.68854789                       10.745837
              0.69401255                       10.753716
              0.69947722                       10.770591
              0.70494189                        10.79571
              0.71040655                       10.827885
              0.71587122                       10.865561
              0.72133588                       10.906899
              0.72680055                       10.949881
              0.73226521                       10.992414
              0.73772988                       11.032437
              0.74319455                       11.068024
              0.74865921                       11.097472
              0.75412388                       11.119383
              0.75958854                       11.132726
              0.76505321                       11.136884
              0.77051787                        11.13168
              0.77598254                       11.117393
              0.78144721                       11.094742
              0.78691187                       11.064871
              0.79237654                        11.02929
               0.7978412                       10.989823
              0.80330587                       10.948519
              0.80877054                       10.907561
               0.8142352                       10.869155
              0.81969987                       10.835417
              0.82516453                       10.808256
               0.8306292                       10.789262
              0.83609386                       10.779615
              0.84155853                       10.780006
               0.8470232                       10.790596
              0.85248786                       10.810996
              0.85795253                       10.840295
              0.86341719                       10.877107
              0.86888186                       10.919652
              0.87434652                       10.965856
              0.87981119                       11.013465
              0.88527586                       11.060167
              0.89074052                       11.103704
              0.89620519                       11.141988
              0.90166985                       11.173194
              0.90713452                        11.19585
              0.91259919                       11.208894
              0.91806385                        11.21173
              0.92352852                       11.204253
              0.92899318                       11.186857
              0.93445785                       11.160421
              0.93992251                       11.126284
              0.94538718                       11.086184
              0.95085185                        11.04219
              0.95631651                        10.99661
              0.96178118                        10.95188
              0.96724584                       10.910442
              0.97271051                       10.874619
              0.97817517                       10.846479
              0.98363984                       10.827716
              0.98910451                       10.819544
              0.99456917                        10.82262
               1.0000338                       10.836998
               1.0054985                       10.862118
               1.0109632                       10.896844
               1.0164278                       10.939523
               1.0218925                       10.988085
               1.0273572                       11.040162
               1.0328218                       11.093214
               1.0382865                       11.144667
               1.0437512                       11.192043
               1.0492158                       11.233076
               1.0546805                       11.265821
               1.0601452                        11.28874
               1.0656098                       11.300769
               1.0710745                       11.301368
               1.0765392                       11.290544
               1.0820038                       11.268859
               1.0874685                       11.237412
               1.0929332                       11.197795
               1.0983978                       11.152039
               1.1038625                        11.10252
               1.1093272                        11.05186
               1.1147918                       11.002799
               1.1202565                       10.958056
               1.1257212                       10.920183
               1.1311858                       10.891414
               1.1366505                       10.873537
               1.1421151                       10.867772
               1.1475798                       10.874691
               1.1530445                       10.894181
               1.1585091                       10.925439
               1.1639738                       10.967023
               1.1694385                       11.016939
               1.1749031                       11.072754
               1.1803678                        11.13174
               1.1858325                       11.191023
               1.1912971                       11.247732
               1.1967618                       11.299144
               1.2022265                       11.342813
               1.2076911                       11.376679
               1.2131558                       11.399162
               1.2186205                        11.40923
               1.2240851                       11.406443
               1.2295498                       11.390977
               1.2350145                       11.363623
               1.2404791                       11.325763
               1.2459438                       11.279319
               1.2514085                       11.226681
               1.2568731                       11.170602
               1.2623378                       11.114081
               1.2678025                       11.060213
               1.2732671                       11.012032
