        s / mm                Z (9)/real
----------------------------------------------------------------------
              -160.18114                  -1.5286217e-18
              -159.62899                  -2.8619323e-18
              -159.07683                  -5.2506135e-18
              -158.52468                  -9.4370479e-18
              -157.97253                  -1.6610922e-17
              -157.42037                   -2.862272e-17
              -156.86822                  -4.8260172e-17
              -156.31607                   -7.958009e-17
              -155.76391                  -1.2826688e-16
              -155.21176                  -2.0195902e-16
              -154.65961                  -3.1045057e-16
              -154.10745                  -4.6564716e-16
               -153.5553                  -6.8115525e-16
              -153.00315                  -9.7143633e-16
                -152.451                  -1.3505893e-15
              -151.89884                   -1.831046e-15
              -151.34669                  -2.4227491e-15
              -150.79454                  -3.1336444e-15
              -150.24238                  -3.9724245e-15
              -149.69023                  -4.9542343e-15
              -149.13808                  -6.1093679e-15
              -148.58592                  -7.4938858e-15
              -148.03377                  -9.1998383e-15
              -147.48162                  -1.1361944e-14
              -146.92946                  -1.4157816e-14
              -146.37731                  -1.7800679e-14
              -145.82516                  -2.2526845e-14
              -145.27301                  -2.8584134e-14
              -144.72085                  -3.6230106e-14
               -144.1687                  -4.5748594e-14
              -143.61655                  -5.7488439e-14
              -143.06439                  -7.1920541e-14
              -142.51224                  -8.9701283e-14
              -141.96009                  -1.1172652e-13
              -141.40793                  -1.3916412e-13
              -140.85578                  -1.7346468e-13
              -140.30363                  -2.1636515e-13
              -139.75147                   -2.699115e-13
              -139.19932                   -3.365269e-13
              -138.64717                   -4.191394e-13
              -138.09502                  -5.2136351e-13
              -137.54286                  -6.4771364e-13
              -136.99071                  -8.0382575e-13
              -136.43856                  -9.9667889e-13
               -135.8864                   -1.234834e-12
              -135.33425                  -1.5287289e-12
               -134.7821                  -1.8910712e-12
              -134.22994                  -2.3373577e-12
              -133.67779                  -2.8865227e-12
              -133.12564                  -3.5617072e-12
              -132.57348                  -4.3911499e-12
              -132.02133                  -5.4092302e-12
              -131.46918                  -6.6577248e-12
              -130.91703                  -8.1873555e-12
              -130.36487                  -1.0059694e-11
              -129.81272                  -1.2349479e-11
              -129.26057                  -1.5147373e-11
              -128.70841                  -1.8563236e-11
              -128.15626                  -2.2730005e-11
              -127.60411                  -2.7808345e-11
              -127.05195                  -3.3992258e-11
               -126.4998                  -4.1515827e-11
              -125.94765                  -5.0661298e-11
              -125.39549                  -6.1768689e-11
              -124.84334                  -7.5247193e-11
              -124.29119                  -9.1588738e-11
              -123.73904                  -1.1138414e-10
              -123.18688                  -1.3534235e-10
              -122.63473                  -1.6431338e-10
              -122.08258                  -1.9931545e-10
              -121.53042                  -2.4156724e-10
              -120.97827                  -2.9252586e-10
              -120.42612                  -3.5393189e-10
              -119.87396                  -4.2786253e-10
              -119.32181                  -5.1679451e-10
              -118.76966                  -6.2367817e-10
               -118.2175                  -7.5202484e-10
              -117.66535                  -9.0600971e-10
               -117.1132                  -1.0905927e-09
              -116.56105                  -1.3116602e-09
              -116.00889                   -1.576192e-09
              -115.45674                  -1.8924564e-09
              -114.90459                   -2.270239e-09
              -114.35243                  -2.7211106e-09
              -113.80028                  -3.2587402e-09
              -113.24813                  -3.8992599e-09
              -112.69597                  -4.6616916e-09
              -112.14382                  -5.5684435e-09
              -111.59167                  -6.6458878e-09
              -111.03951                  -7.9250327e-09
              -110.48736                  -9.4423039e-09
              -109.93521                  -1.1240451e-08
              -109.38305                  -1.3369598e-08
               -108.8309                  -1.5888459e-08
              -108.27875                  -1.8865747e-08
               -107.7266                  -2.2381801e-08
              -107.17444                  -2.6530462e-08
              -106.62229                  -3.1421244e-08
              -106.07014                  -3.7181824e-08
              -105.51798                  -4.3960917e-08
