        Frequency / GHz                Y (2)/abs,linear
               1.2404791                       2.6088197
               1.2459438                       2.5886382
               1.2514085                       2.5657561
               1.2568731                       2.5413255
               1.2623378                       2.5166207
               1.2678025                       2.4929798
               1.2732671                       2.4717369
               1.2787318                       2.4541438
               1.2841965                       2.4412886
               1.2896611                       2.4340174
               1.2951258                       2.4328685
               1.3005905                       2.4380274
               1.3060551                       2.4493091
               1.3115198                        2.466171
               1.3169845                       2.4877539
               1.3224491                       2.5129447
               1.3279138                        2.540453
               1.3333785                       2.5688928
               1.3388431                        2.596861
               1.3443078                       2.6230093
               1.3497724                       2.6461052
               1.3552371                       2.6650814
               1.3607018                       2.6790752
               1.3661664                       2.6874577
               1.3716311                       2.6898542
               1.3770958                       2.6861572
               1.3825604                       2.6765325
               1.3880251                       2.6614178
               1.3934898                        2.641514
               1.3989544                       2.6177676
               1.4044191                       2.5913432
               1.4098838                       2.5635838
               1.4153484                       2.5359572
               1.4208131                       2.5099878
               1.4262778                       2.4871755
               1.4317424                       2.4689031
               1.4372071                       2.4563409
               1.4426718                       2.4503574
               1.4481364                       2.4514466
               1.4536011                       2.4596843
               1.4590658                       2.4747185
               1.4645304                       2.4957967
               1.4699951                       2.5218255
               1.4754598                       2.5514515
               1.4809244                       2.5831554
               1.4863891                       2.6153464
               1.4918538                       2.6464496
               1.4973184                       2.6749826
               1.5027831                       2.6996185
               1.5082478                       2.7192353
               1.5137124                       2.7329541
               1.5191771                       2.7401664
               1.5246418                       2.7405527
               1.5301064                       2.7340941
               1.5355711                       2.7210761
               1.5410357                       2.7020858
               1.5465004                       2.6780006
               1.5519651                       2.6499672
               1.5574297                       2.6193692
               1.5628944                       2.5877796
               1.5683591                       2.5568968
               1.5738237                       2.5284635
               1.5792884                       2.5041672
               1.5847531                       2.4855308
               1.5902177                       2.4737994
               1.5956824                       2.4698378
               1.6011471                       2.4740535
               1.6066117                       2.4863565
               1.6120764                        2.506165
               1.6175411                       2.5324537
               1.6230057                       2.5638371
               1.6284704                       2.5986748
               1.6339351                       2.6351835
               1.6393997                       2.6715451
               1.6448644                        2.706002
               1.6503291                       2.7369363
               1.6557937                       2.7629337
               1.6612584                       2.7828304
               1.6667231                       2.7957497
               1.6721877                        2.801126
               1.6776524                       2.7987222
               1.6831171                       2.7886383
               1.6885817                       2.7713142
               1.6940464                       2.7475245
               1.6995111                        2.718365
               1.7049757                       2.6852276
               1.7104404                       2.6497618
               1.7159051                       2.6138177
               1.7213697                       2.5793682
               1.7268344                       2.5484098
               1.7322991                       2.5228414
               1.7377637                       2.5043309
               1.7432284                        2.494181
                1.748693                       2.4932131
               1.7541577                       2.5016871
               1.7596224                       2.5192737
                1.765087                       2.5450817
               1.7705517                       2.5777374
               1.7760164                       2.6154992
                1.781481                       2.6563899
               1.7869457                        2.698329
               1.7924104                        2.739253
                1.797875                       2.7772155
               1.8033397                       2.8104681
               1.8088044                       2.8375208
                1.814269                        2.857187
               1.8197337                       2.8686153
               1.8251984                       2.8713114
                1.830663                       2.8651521
               1.8361277                        2.850393
               1.8415924                       2.8276693
                1.847057                       2.7979888
               1.8525217                       2.7627162
               1.8579864                       2.7235432
                1.863451                       2.6824424
               1.8689157                       2.6415982
               1.8743804                       2.6033109
                1.879845                       2.5698723
               1.8853097                       2.5434162
               1.8907744                        2.525754
                1.896239                       2.5182147
               1.9017037                       2.5215152
               1.9071684                       2.5356837
                1.912633                       2.5600532
               1.9180977                       2.5933249
               1.9235624                       2.6336884
                1.929027                       2.6789757
               1.9344917                       2.7268235
               1.9399564                       2.7748246
                1.945421                       2.8206574
               1.9508857                       2.8621882
               1.9563503                       2.8975487
                1.961815                       2.9251921
               1.9672797                       2.9439329
               1.9727443                       2.9529741
                1.978209                       2.9519259
               1.9836737                       2.9408177
               1.9891383                       2.9201039
                1.994603                       2.8906639
               2.0000677                       2.8537943
               2.0055323                       2.8111903
                2.010997                       2.7649112
               2.0164617                       2.7173244
               2.0219263                       2.6710197
                2.027391                       2.6286893
               2.0328557                       2.5929694
               2.0383203                       2.5662512
                2.043785                        2.550476
               2.0492497                       2.5469459
               2.0547143                       2.5561822
                2.060179                       2.5778639
               2.0656437                       2.6108588
               2.0711083                         2.65334
                2.076573                       2.7029605
               2.0820377                       2.7570521
               2.0875023                       2.8128189
                2.092967                       2.8675046
               2.0984317                        2.918525
               2.1038963                       2.9635679
                2.109361                       3.0006634
               2.1148257                       3.0282329
               2.1202903                        3.045122
                2.125755                       3.0506232
               2.1312197                       3.0444912
               2.1366843                       3.0269531
                2.142149                       2.9987142
               2.1476137                       2.9609579
               2.1530783                       2.9153378
                2.158543                       2.8639571
               2.1640076                       2.8093286
               2.1694723                       2.7543058
                2.174937                       2.7019754
               2.1804016                       2.6555024
               2.1858663                       2.6179248
                2.191331                       2.5919088
               2.1967956                       2.5794934
               2.2022603                       2.5818649
                2.207725                       2.5992148
               2.2131896                       2.6307108
               2.2186543                       2.6745921
                2.224119                       2.7283601
               2.2295836                       2.7890213
               2.2350483                       2.8533351
                2.240513                       2.9180341
               2.2459776                       2.9799995
               2.2514423                       3.0363904
                2.256907                       3.0847336
               2.2623716                       3.1229835
               2.2678363                       3.1495612
                2.273301                       3.1633798
               2.2787656                       3.1638625
               2.2842303                       3.1509558
                2.289695                       3.1251388
               2.2951596                       3.0874306
               2.3006243                       3.0393923
                2.306089                       2.9831206
               2.3115536                       2.9212261
               2.3170183                       2.8567869
                2.322483                       2.7932631
               2.3279476                       2.7343581
               2.3334123                       2.6838134
                2.338877                       2.6451353
               2.3443416                        2.621273
               2.3498063                       2.6142945
                2.355271                       2.6251286
               2.3607356                        2.653438
               2.3662003                       2.6976598
               2.3716649                        2.755199
               2.3771296                       2.8227204
               2.3825943                       2.8964705
               2.3880589                       2.9725712
               2.3935236                       3.0472569
               2.3989883                       3.1170463
               2.4044529                       3.1788585
               2.4099176                       3.2300864
               2.4153823                       3.2686418
               2.4208469                       3.2929833
               2.4263116                       3.3021344
               2.4317763                       3.2956978
               2.4372409                        3.273867
               2.4427056                       3.2374388
               2.4481703                       3.1878238
               2.4536349                       3.1270538
               2.4590996                       3.0577794
               2.4645643                       2.9832496
               2.4700289                       2.9072579
               2.4754936                       2.8340345
               2.4809583                       2.7680614
               2.4864229                       2.7137921
               2.4918876                        2.675277
               2.4973523                       2.6557308
               2.5028169                       2.6571228
               2.5082816                        2.679895
               2.5137463                       2.7228927
               2.5192109                       2.7835284
               2.5246756                       2.8581234
               2.5301403                       2.9423266
               2.5356049                       3.0315163
               2.5410696                       3.1211278
               2.5465343                       3.2068881
               2.5519989                       3.2849687
               2.5574636                       3.3520771
               2.5629283                       3.4055078
               2.5683929                         3.44317
               2.5738576                        3.463604
               2.5793222                       3.4659932
               2.5847869                       3.4501756
               2.5902516                        3.416659
               2.5957162                       3.3666374
               2.6011809                       3.3020105
               2.6066456                       3.2254003
               2.6121102                       3.1401584
               2.6175749                       3.0503504
               2.6230396                       2.9606935
               2.6285042                       2.8764169
               2.6339689                       2.8030069
               2.6394336                       2.7458098
               2.6448982                          2.7095
               2.6503629                       2.6974884
               2.6558276                       2.7114107
               2.6612922                       2.7508573
               2.6667569                       2.8134404
               2.6722216                       2.8951674
               2.6776862                       2.9909876
               2.6831509                       3.0953537
               2.6886156                       3.2026882
               2.6940802                       3.3077151
               2.6995449                       3.4056668
               2.7050096                       3.4923987
               2.7104742                       3.5644458
               2.7159389                       3.6190468
               2.7214036                       3.6541537
               2.7268682                       3.6684382
               2.7323329                       3.6612992
               2.7377976                       3.6328768
               2.7432622                       3.5840724
               2.7487269                       3.5165766
               2.7541916                       3.4329026
               2.7596562                       3.3364213
               2.7651209                       3.2313861
               2.7705855                        3.122929
               2.7760502                       3.0169908
               2.7815149                        2.920134
               2.7869795                       2.8391752
               2.7924442                        2.780597
               2.7979089                       2.7497662
               2.8033735                       2.7501112
               2.8088382                       2.7825094
               2.8143029                       2.8451239
               2.8197675                       2.9337497
               2.8252322                        3.042518
               2.8306969                       3.1646998
               2.8361615                        3.293395
               2.8416262                       3.4220195
               2.8470909                       3.5445947
               2.8525555                       3.6558942
               2.8580202                       3.7515022
               2.8634849                       3.8278275
               2.8689495                       3.8820997
               2.8744142                       3.9123626
               2.8798789                       3.9174728
