        s / mm                X (ytest=0)/real
              -86.744779                   3.9442428e-07
              -86.192625                   4.5401787e-07
              -85.640472                    5.221705e-07
              -85.088319                   6.0004393e-07
              -84.536166                   6.8894547e-07
              -83.984013                   7.9034552e-07
               -83.43186                   9.0589786e-07
              -82.879707                   1.0374618e-06
              -82.327554                   1.1871248e-06
              -81.775401                   1.3572233e-06
              -81.223248                   1.5503714e-06
              -80.671095                      1.7695e-06
              -80.118942                   2.0178873e-06
              -79.566788                   2.2991834e-06
              -79.014635                   2.6174591e-06
              -78.462482                   2.9772639e-06
              -77.910329                   3.3836612e-06
              -77.358176                     3.84226e-06
              -76.806023                   4.3592942e-06
               -76.25387                   4.9417039e-06
              -75.701717                   5.5971715e-06
              -75.149564                   6.3341907e-06
              -74.597411                   7.1621714e-06
              -74.045258                   8.0915082e-06
              -73.493105                   9.1336475e-06
              -72.940951                    1.030123e-05
              -72.388798                   1.1608214e-05
              -71.836645                   1.3069919e-05
              -71.284492                   1.4703152e-05
              -70.732339                   1.6526448e-05
              -70.180186                   1.8560124e-05
              -69.628033                   2.0826306e-05
               -69.07588                   2.3349254e-05
              -68.523727                   2.6155654e-05
              -67.971574                   2.9274554e-05
              -67.419421                   3.2737446e-05
              -66.867267                   3.6578737e-05
              -66.315114                    4.083609e-05
              -65.762961                    4.555032e-05
              -65.210808                   5.0765535e-05
              -64.658655                   5.6529728e-05
              -64.106502                   6.2894982e-05
              -63.554349                   6.9917488e-05
              -63.002196                    7.765797e-05
              -62.450043                   8.6182142e-05
               -61.89789                   9.5560817e-05
              -61.345737                   0.00010587002
              -60.793584                   0.00011719151
               -60.24143                   0.00012961349
              -59.689277                   0.00014323052
              -59.137124                   0.00015814368
              -58.584971                   0.00017446125
              -58.032818                   0.00019229899
              -57.480665                   0.00021178014
              -56.928512                   0.00023303628
              -56.376359                   0.00025620777
              -55.824206                   0.00028144379
              -55.272053                   0.00030890255
                -54.7199                   0.00033875197
              -54.167747                   0.00037116976
              -53.615593                   0.00040634363
               -53.06344                   0.00044447155
              -52.511287                   0.00048576285
              -51.959134                   0.00053043887
              -51.406981                   0.00057873105
              -50.854828                   0.00063088227
              -50.302675                   0.00068714867
              -49.750522                   0.00074779591
              -49.198369                    0.0008131002
              -48.646216                   0.00088335387
              -48.094063                   0.00095886134
               -47.54191                    0.0010399344
              -46.989756                     0.001126899
              -46.437603                    0.0012200969
               -45.88545                    0.0013198767
              -45.333297                    0.0014265949
              -44.781144                    0.0015406244
              -44.228991                    0.0016623496
              -43.676838                    0.0017921587
              -43.124685                    0.0019304522
              -42.572532                    0.0020776452
              -42.020379                    0.0022341515
              -41.468226                    0.0024003872
              -40.916073                    0.0025767832
              -40.363919                    0.0027637763
              -39.811766                    0.0029617989
              -39.259613                    0.0031712853
               -38.70746                    0.0033926782
              -38.155307                    0.0036264193
              -37.603154                    0.0038729387
              -37.051001                    0.0041326629
              -36.498848                     0.004406017
              -35.946695                    0.0046934152
              -35.394542                    0.0049952617
              -34.842389                    0.0053119437
              -34.290236                    0.0056438273
              -33.738082                     0.005991271
              -33.185929                    0.0063546239
              -32.633776                    0.0067342038
              -32.081623                    0.0071302915
               -31.52947                    0.0075431491
              -30.977317                    0.0079730128
              -30.425164                    0.0084200663
              -29.873011                    0.0088844627
              -29.320858                    0.0093663482
              -28.768705                    0.0098658076
              -28.216552                     0.010382851
              -27.664398                     0.010917483
              -27.112245                     0.011469657
              -26.560092                      0.01203921
              -26.007939                     0.012625984
              -25.455786                     0.013229815
              -24.903633                     0.013850397
               -24.35148                     0.014487343
              -23.799327                     0.015140294
              -23.247174                     0.015808799
              -22.695021                     0.016492251
              -22.142868                     0.017190025
              -21.590715                     0.017901517
              -21.038561                     0.018626008
              -20.486408                     0.019362619
              -19.934255                      0.02011042
              -19.382102                     0.020868513
              -18.829949                     0.021635922
              -18.277796                       0.0224115
              -17.725643                     0.023194066
               -17.17349                     0.023982433
              -16.621337                     0.024775299
              -16.069184                     0.025571291
              -15.517031                     0.026369016
              -14.964878                     0.027166975
              -14.412724                     0.027963622
              -13.860571                     0.028757419
              -13.308418                     0.029546738
              -12.756265                     0.030329889
              -12.204112                     0.031105202
              -11.651959                     0.031870947
              -11.099806                     0.032625345
              -10.547653                     0.033366637
              -9.9954998                     0.034092999
              -9.4433467                     0.034802574
              -8.8911936                       0.0354936
              -8.3390405                     0.036164303
              -7.7868875                     0.036812796
