        s / mm                Y (5)/real
              -55.824206                   0.00049761179
              -55.272053                   0.00054591006
                -54.7199                    0.0005983882
              -54.167747                   0.00065535488
              -53.615593                   0.00071713636
               -53.06344                   0.00078407718
              -52.511287                   0.00085653996
              -51.959134                   0.00093490579
              -51.406981                    0.0010195761
              -50.854828                    0.0011109726
              -50.302675                    0.0012095365
              -49.750522                    0.0013157293
              -49.198369                    0.0014300328
              -48.646216                    0.0015529481
              -48.094063                    0.0016849985
               -47.54191                    0.0018267301
              -46.989756                    0.0019787063
              -46.437603                    0.0021415086
               -45.88545                    0.0023157402
              -45.333297                    0.0025020257
              -44.781144                    0.0027010078
              -44.228991                    0.0029133446
              -43.676838                    0.0031397109
              -43.124685                     0.003380799
              -42.572532                     0.003637313
              -42.020379                    0.0039099733
              -41.468226                    0.0041995164
              -40.916073                    0.0045066797
              -40.363919                    0.0048322025
              -39.811766                    0.0051768432
              -39.259613                    0.0055413687
               -38.70746                    0.0059265357
              -38.155307                    0.0063330967
              -37.603154                    0.0067618095
              -37.051001                    0.0072134244
              -36.498848                    0.0076886761
              -35.946695                    0.0081882847
              -35.394542                    0.0087129572
              -34.842389                    0.0092633863
              -34.290236                    0.0098402387
              -33.738082                     0.010444141
              -33.185929                     0.011075685
              -32.633776                     0.011735442
              -32.081623                     0.012423947
               -31.52947                     0.013141677
              -30.977317                     0.013889049
              -30.425164                     0.014666441
              -29.873011                     0.015474178
              -29.320858                     0.016312516
              -28.768705                     0.017181635
              -28.216552                     0.018081657
              -27.664398                     0.019012629
              -27.112245                     0.019974509
              -26.560092                      0.02096717
              -26.007939                     0.021990399
              -25.455786                     0.023043879
              -24.903633                     0.024127211
               -24.35148                     0.025239914
              -23.799327                     0.026381378
              -23.247174                     0.027550878
              -22.695021                     0.028747616
              -22.142868                     0.029970685
              -21.590715                     0.031219016
              -21.038561                     0.032491427
              -20.486408                     0.033786685
              -19.934255                     0.035103446
              -19.382102                     0.036440186
              -18.829949                     0.037795262
              -18.277796                     0.039166983
              -17.725643                     0.040553531
               -17.17349                     0.041952931
              -16.621337                     0.043363115
              -16.069184                     0.044781942
              -15.517031                     0.046207176
              -14.964878                     0.047636444
              -14.412724                     0.049067266
              -13.860571                     0.050497134
              -13.308418                     0.051923465
              -12.756265                     0.053343523
              -12.204112                     0.054754542
              -11.651959                     0.056153746
              -11.099806                     0.057538226
              -10.547653                     0.058905055
              -9.9954998                     0.060251368
              -9.4433467                     0.061574182
              -8.8911936                     0.062870409
              -8.3390405                     0.064137058
              -7.7868875                     0.065371186
              -7.2347344                     0.066569821
