        s / mm                Z (8)/real
              -60.793584                   -0.0021564048
               -60.24143                    -0.002375175
              -59.689277                   -0.0026138692
              -59.137124                   -0.0028740533
              -58.584971                   -0.0031573908
              -58.032818                   -0.0034656458
              -57.480665                   -0.0038006868
              -56.928512                   -0.0041644902
              -56.376359                   -0.0045591431
              -55.824206                   -0.0049868461
              -55.272053                   -0.0054499157
                -54.7199                    -0.005950787
              -54.167747                   -0.0064920154
              -53.615593                   -0.0070762782
               -53.06344                    -0.007706376
              -52.511287                   -0.0083852334
              -51.959134                   -0.0091158966
              -51.406981                   -0.0099015348
              -50.854828                     -0.01074544
              -50.302675                    -0.011651024
              -49.750522                    -0.012621814
              -49.198369                    -0.013661452
              -48.646216                    -0.014773688
              -48.094063                    -0.015962375
               -47.54191                    -0.017231464
              -46.989756                    -0.018584997
              -46.437603                    -0.020027094
               -45.88545                    -0.021561948
              -45.333297                     -0.02319381
              -44.781144                    -0.024926984
              -44.228991                      -0.0267658
              -43.676838                    -0.028714617
              -43.124685                    -0.030777798
              -42.572532                    -0.032959689
              -42.020379                    -0.035264604
              -41.468226                    -0.037696801
              -40.916073                    -0.040260471
              -40.363919                    -0.042959705
              -39.811766                    -0.045798476
              -39.259613                    -0.048780605
               -38.70746                    -0.051909739
              -38.155307                    -0.055189326
              -37.603154                    -0.058622584
              -37.051001                    -0.062212466
              -36.498848                    -0.065961638
              -35.946695                     -0.06987244
              -35.394542                    -0.073946845
              -34.842389                    -0.078186433
              -34.290236                    -0.082592366
              -33.738082                    -0.087165351
              -33.185929                     -0.09190559
              -32.633776                    -0.096812741
              -32.081623                     -0.10188591
               -31.52947                      -0.1071236
              -30.977317                     -0.11252369
              -30.425164                     -0.11808338
              -29.873011                     -0.12379913
              -29.320858                     -0.12966672
              -28.768705                     -0.13568116
              -28.216552                     -0.14183666
              -27.664398                     -0.14812661
              -27.112245                     -0.15454355
              -26.560092                     -0.16107919
              -26.007939                     -0.16772432
              -25.455786                     -0.17446884
              -24.903633                     -0.18130173
               -24.35148                      -0.1882111
              -23.799327                     -0.19518409
              -23.247174                      -0.2022069
              -22.695021                     -0.20926481
              -22.142868                     -0.21634222
              -21.590715                     -0.22342257
              -21.038561                     -0.23048841
              -20.486408                     -0.23752144
              -19.934255                      -0.2445025
              -19.382102                     -0.25141157
              -18.829949                     -0.25822789
              -18.277796                     -0.26492999
              -17.725643                     -0.27149563
               -17.17349                     -0.27790192
              -16.621337                     -0.28412539
              -16.069184                     -0.29014207
              -15.517031                     -0.29592752
              -14.964878                     -0.30145683
              -14.412724                     -0.30670484
              -13.860571                     -0.31164613
              -13.308418                      -0.3162551
              -12.756265                     -0.32050605
              -12.204112                     -0.32437338
              -11.651959                     -0.32783162
              -11.099806                     -0.33085542
              -10.547653                     -0.33341974
              -9.9954998                     -0.33550001
              -9.4433467                     -0.33707224
              -8.8911936                     -0.33811296
              -8.3390405                     -0.33859949
              -7.7868875                     -0.33851003
              -7.2347344                     -0.33782366
              -6.6825813                     -0.33652044
              -6.1304282                     -0.33458175
              -5.5782751                     -0.33199033
               -5.026122                     -0.32873013
              -4.4739689                     -0.32478648
              -3.9218159                     -0.32014646
              -3.3696628                     -0.31479879
              -2.8175097                     -0.30873383
              -2.2653566                     -0.30194385
              -1.7132035                     -0.29442312
              -1.1610504                     -0.28616785
             -0.60889736                     -0.27717614
            -0.056744272                     -0.26744828
              0.49540881                     -0.25698684
               1.0475619                     -0.24579668
                1.599715                     -0.23388467
               2.1518681                     -0.22125988
               2.7040211                      -0.2079339
               3.2561742                     -0.19392076
               3.8083273                     -0.17923657
               4.3604804                     -0.16389964
               4.9126335                     -0.14793069
               5.4647866                     -0.13135281
               6.0169397                     -0.11419133
               6.5690927                    -0.096473637
               7.1212458                     -0.07822925
               7.6733989                    -0.059489884
                8.225552                    -0.040289261
               8.7777051                    -0.020662893
               9.3298582                   -0.0006481353
               9.8820112                     0.019715768
               10.434164                     0.040387881
               10.986317                     0.061325888
               11.538471                     0.082486174
               12.090624                      0.10382362
               12.642777                      0.12529176
                13.19493                      0.14684338
               13.747083                      0.16843056
               14.299236                      0.19000432
               14.851389                      0.21151499
               15.403542                      0.23291269
               15.955695                      0.25414732
               16.507848                      0.27516845
               17.060001                      0.29592565
               17.612154                       0.3163688
               18.164308                      0.33644816
               18.716461                      0.35611432
               19.268614                      0.37531856
               19.820767                      0.39401316
                20.37292                      0.41215123
               20.925073                      0.42968687
               21.477226                      0.44657554
               22.029379                      0.46277413
               22.581532                      0.47824113
               23.133685                      0.49293667
               23.685838                      0.50682252
               24.237991                       0.5198623
               24.790145                      0.53202192
               25.342298                      0.54326936
               25.894451                      0.55357463
               26.446604                      0.56291014
               26.998757                      0.57125087
                27.55091                      0.57857412
               28.103063                       0.5848596
               28.655216                      0.59008965
               29.207369                      0.59424945
               29.759522                      0.59732676
               30.311675                      0.59931184
               30.863828                      0.60019776
               31.415982                      0.59998041
               31.968135                       0.5986584
               32.520288                      0.59623299
               33.072441                      0.59270811
               33.624594                      0.58809033
               34.176747                      0.58238897
                 34.7289                      0.57561595
               35.281053                      0.56778569
               35.833206                      0.55891513
               36.385359                       0.5490236
               36.937512                      0.53813267
               37.489665                      0.52626627
               38.041819                      0.51345079
               38.593972                      0.49971463
               39.146125                      0.48508794
               39.698278                      0.46960272
               40.250431                      0.45329319
               40.802584                      0.43619525
               41.354737                      0.41834613
                41.90689                      0.39978467
               42.459043                      0.38055118
               43.011196                      0.36068709
               43.563349                      0.34023505
               44.115502                      0.31923894
               44.667656                       0.2977433
               45.219809                      0.27579349
               45.771962                      0.25343575
               46.324115                      0.23071677
               46.876268                      0.20768369
               47.428421                      0.18438412
               47.980574                      0.16086587
               48.532727                      0.13717683
                49.08488                        0.113365
               49.637033                     0.089478292
               50.189186                     0.065564501
               50.741339                      0.04167123
               51.293493                     0.017845626
               51.845646                   -0.0058656113
               52.397799                    -0.029416135
               52.949952                    -0.052760183
               53.502105                    -0.075852745
               54.054258                    -0.098649579
               54.606411                     -0.12110721
               55.158564                     -0.14318286
               55.710717                     -0.16483471
                56.26287                     -0.18602213
               56.815023                     -0.20670547
               57.367177                     -0.22684585
                57.91933                     -0.24640568
               58.471483                     -0.26534872
               59.023636                     -0.28363987
               59.575789                     -0.30124513
               60.127942                     -0.31813182
               60.680095                     -0.33426865
               61.232248                     -0.34962574
               61.784401                     -0.36417452
               62.336554                     -0.37788773
               62.888707                     -0.39073965
                63.44086                     -0.40270621
               63.993014                     -0.41376479
               64.545167                       -0.423894
                65.09732                     -0.43307407
               65.649473                     -0.44128721
               66.201626                     -0.44851724
               66.753779                     -0.45474914
               67.305932                     -0.45996962
               67.858085                     -0.46416748
               68.410238                     -0.46733324
               68.962391                     -0.46945887
               69.514544                     -0.47053809
               70.066697                     -0.47056662
               70.618851                     -0.46954209
               71.171004                     -0.46746393
               71.723157                     -0.46433335
                72.27531                     -0.46015351
               72.827463                     -0.45492958
               73.379616                     -0.44866867
               73.931769                     -0.44137983
               74.483922                     -0.43307412
               75.036075                     -0.42376476
               75.588228                     -0.41346697
               76.140381                     -0.40219777
               76.692534                     -0.38997646
               77.244688                     -0.37682462
               77.796841                      -0.3627656
               78.348994                     -0.34782475
               78.901147                     -0.33202973
                 79.4533                     -0.31541021
               80.005453                     -0.29799784
               80.557606                     -0.27982646
               81.109759                     -0.26093178
               81.661912                     -0.24135121
               82.214065                     -0.22112438
               82.766218                     -0.20029305
               83.318371                     -0.17890053
               83.870525                     -0.15699176
               84.422678                     -0.13461357
               84.974831                     -0.11181447
               85.526984                    -0.088644483
               86.079137                    -0.065155068
                86.63129                    -0.041399049
               87.183443                    -0.017430633
               87.735596                    0.0066947636
               88.287749                     0.030920812
               88.839902                      0.05519027
               89.392055                     0.079444929
               89.944208                      0.10362593
               90.496362                      0.12767397
               91.048515                      0.15152933
               91.600668                      0.17513194
               92.152821                      0.19842164
               92.704974                      0.22133846
