        s / mm                Y/real
              -122.54969                     2.92566e-11
              -122.26886                   3.2334487e-11
              -121.98803                   3.5728276e-11
               -121.7072                   3.9469555e-11
              -121.42636                   4.3592983e-11
              -121.14553                   4.8136567e-11
               -120.8647                   5.3141991e-11
              -120.58387                   5.8654953e-11
              -120.30304                    6.472553e-11
              -120.02221                   7.1408598e-11
              -119.74137                   7.8764305e-11
              -119.46054                   8.6858567e-11
              -119.17971                   9.5763525e-11
              -118.89888                    1.055581e-10
              -118.61805                   1.1632875e-10
              -118.33722                   1.2817015e-10
              -118.05638                   1.4118581e-10
              -117.77555                   1.5548885e-10
              -117.49472                   1.7120313e-10
              -117.21389                   1.8846401e-10
              -116.93306                   2.0741932e-10
              -116.65223                   2.2823065e-10
              -116.37139                   2.5107471e-10
              -116.09056                   2.7614439e-10
              -115.80973                   3.0365025e-10
               -115.5289                   3.3382221e-10
              -115.24807                   3.6691124e-10
              -114.96724                    4.031911e-10
               -114.6864                   4.4296056e-10
              -114.40557                   4.8654545e-10
              -114.12474                   5.3430101e-10
              -113.84391                   5.8661437e-10
              -113.56308                   6.4390756e-10
              -113.28224                   7.0664068e-10
              -113.00141                   7.7531468e-10
              -112.72058                   8.5047484e-10
              -112.43975                   9.3271533e-10
              -112.15892                   1.0226831e-09
              -111.87809                   1.1210818e-09
              -111.59725                   1.2286769e-09
              -111.31642                   1.3463014e-09
              -111.03559                   1.4748615e-09
              -110.75476                   1.6153417e-09
              -110.47393                   1.7688121e-09
               -110.1931                   1.9364364e-09
              -109.91226                   2.1194787e-09
              -109.63143                   2.3193111e-09
               -109.3506                   2.5374251e-09
              -109.06977                   2.7754401e-09
              -108.78894                   3.0351124e-09
              -108.50811                   3.3183472e-09
              -108.22727                   3.6272137e-09
              -107.94644                   3.9639555e-09
              -107.66561                   4.3310045e-09
              -107.38478                   4.7309983e-09
              -107.10395                   5.1667949e-09
              -106.82312                   5.6414902e-09
              -106.54228                   6.1584408e-09
              -106.26145                   6.7212813e-09
              -105.98062                   7.3339432e-09
              -105.69979                   8.0006866e-09
              -105.41896                    8.726125e-09
              -105.13813                   9.5152428e-09
              -104.85729                   1.0373432e-08
              -104.57646                   1.1306533e-08
              -104.29563                   1.2320855e-08
               -104.0148                   1.3423213e-08
              -103.73397                   1.4620974e-08
              -103.45314                   1.5922102e-08
               -103.1723                   1.7335201e-08
              -102.89147                   1.8869558e-08
              -102.61064                   2.0535197e-08
              -102.32981                   2.2342942e-08
              -102.04898                   2.4304472e-08
              -101.76815                   2.6432386e-08
              -101.48731                   2.8740269e-08
              -101.20648                   3.1242775e-08
              -100.92565                   3.3955701e-08
              -100.64482                   3.6896079e-08
              -100.36399                   4.0082251e-08
              -100.08316                   4.3533974e-08
              -99.802323                   4.7272527e-08
              -99.521492                   5.1320825e-08
               -99.24066                   5.5703548e-08
              -98.959828                    6.044725e-08
              -98.678997                   6.5580473e-08
              -98.398165                   7.1133936e-08
              -98.117333                   7.7140691e-08
              -97.836501                   8.3636253e-08
               -97.55567                    9.065881e-08
              -97.274838                   9.8249396e-08
              -96.994006                   1.0645207e-07
              -96.713175                   1.1531417e-07
              -96.432343                   1.2488654e-07
              -96.151511                   1.3522374e-07
               -95.87068                   1.4638434e-07
              -95.589848                   1.5843122e-07
              -95.309016                   1.7143181e-07
              -95.028184                   1.8545834e-07
              -94.747353                   2.0058833e-07
              -94.466521                   2.1690491e-07
              -94.185689                   2.3449714e-07
              -93.904858                   2.5346043e-07
              -93.624026                   2.7389693e-07
              -93.343194                   2.9591608e-07
              -93.062363                   3.1963509e-07
              -92.781531                   3.4517931e-07
              -92.500699                   3.7268288e-07
              -92.219867                   4.0228935e-07
              -91.939036                   4.3415227e-07
              -91.658204                   4.6843582e-07
              -91.377372                   5.0531536e-07
              -91.096541                   5.4497843e-07
              -90.815709                   5.8762553e-07
              -90.534877                   6.3347063e-07
              -90.254046                    6.827421e-07
              -89.973214                   7.3568393e-07
              -89.692382                   7.9255668e-07
               -89.41155                   8.5363843e-07
              -89.130719                   9.1922552e-07
              -88.849887                   9.8963388e-07
              -88.569055                   1.0652009e-06
              -88.288224                   1.1462863e-06
              -88.007392                   1.2332724e-06
               -87.72656                   1.3265676e-06
              -87.445729                   1.4266069e-06
              -87.164897                   1.5338528e-06
              -86.884065                   1.6487982e-06
              -86.603233                   1.7719679e-06
              -86.322402                   1.9039197e-06
               -86.04157                   2.0452477e-06
              -85.760738                   2.1965834e-06
              -85.479907                   2.3585982e-06
              -85.199075                   2.5320063e-06
              -84.918243                   2.7175662e-06
              -84.637412                   2.9160831e-06
               -84.35658                   3.1284137e-06
              -84.075748                    3.355467e-06
              -83.794916                   3.5982073e-06
              -83.514085                   3.8576598e-06
              -83.233253                   4.1349125e-06
              -82.952421                   4.4311169e-06
               -82.67159                   4.7474939e-06
              -82.390758                   5.0853419e-06
              -82.109926                   5.4460371e-06
              -81.829095                   5.8310343e-06
              -81.548263                   6.2418735e-06
              -81.267431                   6.6801899e-06
              -80.986599                   7.1477156e-06
