        s / mm                X (7)/real
              -54.167747                    0.0034652729
              -53.615593                    0.0037935077
               -53.06344                    0.0041493055
              -52.511287                     0.004534618
              -51.959134                    0.0049514993
              -51.406981                    0.0054021087
              -50.854828                     0.005888713
              -50.302675                    0.0064136886
              -49.750522                    0.0069795212
              -49.198369                    0.0075888073
              -48.646216                    0.0082442546
              -48.094063                    0.0089486834
               -47.54191                    0.0097050248
              -46.989756                     0.010516319
              -46.437603                     0.011385714
               -45.88545                     0.012316465
              -45.333297                     0.013311931
              -44.781144                     0.014375565
              -44.228991                     0.015510918
              -43.676838                     0.016721631
              -43.124685                     0.018011431
              -42.572532                     0.019384115
              -42.020379                      0.02084355
              -41.468226                     0.022393663
              -40.916073                     0.024038431
              -40.363919                     0.025781869
              -39.811766                     0.027628016
              -39.259613                     0.029580927
               -38.70746                     0.031644654
              -38.155307                     0.033823236
              -37.603154                     0.036120681
              -37.051001                     0.038540943
              -36.498848                     0.041087913
              -35.946695                     0.043765398
              -35.394542                     0.046577091
              -34.842389                     0.049526558
              -34.290236                     0.052617218
              -33.738082                     0.055852326
              -33.185929                     0.059234934
              -32.633776                      0.06276786
              -32.081623                     0.066453688
               -31.52947                     0.070294738
              -30.977317                     0.074293036
              -30.425164                     0.078450271
              -29.873011                      0.08276778
              -29.320858                     0.087246534
              -28.768705                     0.091887118
              -28.216552                     0.096689675
              -27.664398                      0.10165388
              -27.112245                      0.10677895
              -26.560092                       0.1120636
              -26.007939                      0.11750604
              -25.455786                      0.12310388
              -24.903633                      0.12885418
               -24.35148                      0.13475344
              -23.799327                      0.14079756
              -23.247174                      0.14698177
              -22.695021                       0.1533007
              -22.142868                      0.15974833
              -21.590715                      0.16631798
              -21.038561                      0.17300231
              -20.486408                      0.17979328
              -19.934255                      0.18668223
              -19.382102                      0.19365981
              -18.829949                        0.200716
              -18.277796                      0.20784015
              -17.725643                      0.21502094
               -17.17349                      0.22224643
              -16.621337                      0.22950406
              -16.069184                      0.23678071
              -15.517031                      0.24406267
              -14.964878                       0.2513357
              -14.412724                      0.25858507
              -13.860571                       0.2657956
              -13.308418                      0.27295165
              -12.756265                      0.28003718
              -12.204112                      0.28703588
              -11.651959                      0.29393116
              -11.099806                      0.30070614
              -10.547653                      0.30734375
              -9.9954998                      0.31382688
              -9.4433467                      0.32013837
              -8.8911936                      0.32626097
              -8.3390405                      0.33217755
              -7.7868875                      0.33787118
              -7.2347344                       0.3433251
              -6.6825813                      0.34852278
              -6.1304282                      0.35344808
              -5.5782751                      0.35808536
               -5.026122                      0.36241942
