        s / mm                X (5)/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.62899                   1.5398909e-20
              -159.07683                   4.5009413e-20
              -158.52468                    1.008085e-19
              -157.97253                   2.0368594e-19
              -157.42037                   3.8894295e-19
              -156.86822                   7.1420989e-19
              -156.31607                   1.2701115e-18
              -155.76391                    2.193455e-18
              -155.21176                   3.6817844e-18
              -154.65961                   6.0068734e-18
              -154.10745                   9.5234613e-18
               -153.5553                   1.4668757e-17
              -153.00315                   2.1948913e-17
                -152.451                   3.1911998e-17
              -151.89884                   4.5113084e-17
              -151.34669                   6.2084883e-17
              -150.79454                   8.3335024e-17
              -150.24238                   1.0939441e-16
              -149.69023                   1.4093564e-16
              -149.13808                   1.7896441e-16
              -148.58592                    2.250622e-16
              -148.03377                   2.8163261e-16
              -147.48162                   3.5209289e-16
              -146.92946                   4.4096278e-16
              -146.37731                   5.5384517e-16
              -145.82516                     6.97356e-16
              -145.27301                   8.7911765e-16
              -144.72085                   1.1079592e-15
               -144.1687                   1.3944392e-15
              -143.61655                   1.7517112e-15
              -143.06439                   2.1966425e-15
              -142.51224                    2.751027e-15
              -141.96009                   3.4427239e-15
              -141.40793                   4.3066743e-15
              -140.85578                   5.3859411e-15
              -140.30363                    6.733045e-15
              -139.75147                   8.4119482e-15
              -139.19932                   1.0500953e-14
              -138.64717                   1.3096608e-14
              -138.09502                   1.6318568e-14
              -137.54286                    2.031517e-14
              -136.99071                   2.5269664e-14
              -136.43856                    3.140752e-14
               -135.8864                   3.9005227e-14
              -135.33425                   4.8401203e-14
               -134.7821                   6.0009845e-14
              -134.22994                   7.4339015e-14
              -133.67779                   9.2010986e-14
              -133.12564                   1.1378773e-13
              -132.57348                   1.4060085e-13
              -132.02133                   1.7358718e-13
              -131.46918                   2.1413268e-13
              -130.91703                   2.6392576e-13
              -130.36487                   3.2502102e-13
              -129.81272                   3.9991776e-13
              -129.26057                   4.9165487e-13
              -128.70841                   6.0392245e-13
              -128.15626                   7.4119675e-13
              -127.60411                   9.0890316e-13
              -127.05195                   1.1136098e-12
               -126.4998                   1.3632617e-12
              -125.94765                    1.667464e-12
              -125.39549                   2.0378178e-12
              -124.84334                   2.4883187e-12
              -124.29119                   3.0358352e-12
              -123.73904                   3.7006834e-12
              -123.18688                   4.5073104e-12
              -122.63473                   5.4851007e-12
              -122.08258                    6.669341e-12
              -121.53042                   8.1023831e-12
              -120.97827                   9.8350078e-12
              -120.42612                   1.1928021e-11
              -119.87396                   1.4454171e-11
              -119.32181                   1.7500453e-11
              -118.76966                   2.1170804e-11
               -118.2175                   2.5589243e-11
              -117.66535                   3.0903602e-11
               -117.1132                   3.7290004e-11
              -116.56105                   4.4958044e-11
              -116.00889                   5.4156893e-11
              -115.45674                   6.5182617e-11
              -114.90459                   7.8386642e-11
              -114.35243                   9.4185524e-11
              -113.80028                   1.1307268e-10
              -113.24813                   1.3563222e-10
              -112.69597                   1.6255481e-10
              -112.14382                   1.9465637e-10
              -111.59167                   2.3289982e-10
              -111.03951                   2.7842054e-10
              -110.48736                   3.3255646e-10
              -109.93521                   3.9688224e-10
              -109.38305                   4.7324907e-10
               -108.8309                    5.638317e-10
              -108.27875                   6.7118284e-10
               -107.7266                    7.982972e-10
              -107.17444                   9.4868279e-10
              -106.62229                   1.1264419e-09
              -106.07014                   1.3363742e-09
              -105.51798                   1.5840907e-09
              -104.96583                   1.8761334e-09
              -104.41368                   2.2201314e-09
              -103.86152                   2.6249796e-09
              -103.30937                   3.1010256e-09
              -102.75722                   3.6602988e-09
              -102.20506                   4.3167788e-09
              -101.65291                   5.0866862e-09
              -101.10076                   5.9888308e-09
              -100.54861                    7.045007e-09
              -99.996453                   8.2804285e-09
              -99.444299                   9.7242482e-09
              -98.892146                   1.1410157e-08
              -98.339993                   1.3377033e-08
               -97.78784                   1.5669678e-08
              -97.235687                   1.8339696e-08
              -96.683534                    2.144649e-08
              -96.131381                   2.5058371e-08
              -95.579228                   2.9253767e-08
              -95.027075                   3.4122647e-08
              -94.474922                   3.9768164e-08
              -93.922769                   4.6308473e-08
              -93.370616                   5.3878787e-08
              -92.818462                   6.2633615e-08
              -92.266309                   7.2749359e-08
              -91.714156                   8.4427388e-08
              -91.162003                   9.7897213e-08
               -90.60985                   1.1341993e-07
              -90.057697                    1.312927e-07
              -89.505544                   1.5185341e-07
              -88.953391                   1.7548522e-07
              -88.401238                   2.0262277e-07
              -87.849085                    2.337591e-07
              -87.296932                   2.6945217e-07
