        Frequency / GHz                X/abs,linear
----------------------------------------------------------------------
                       0                       4.6725214
            0.0054646658                       4.6705317
             0.010929332                         4.66479
             0.016393997                       4.6559549
             0.021858663                       4.6450441
             0.027323329                       4.6333225
             0.032787995                       4.6221591
              0.03825266                       4.6128675
             0.043717326                       4.6065491
             0.049181992                       4.6039583
             0.054646658                        4.605408
             0.060111324                       4.6107303
             0.065575989                       4.6192977
             0.071040655                       4.6301015
             0.076505321                        4.641876
             0.081969987                       4.6532512
             0.087434652                       4.6629134
             0.092899318                       4.6697547
             0.098363984                       4.6729966
              0.10382865                       4.6722748
              0.10929332                       4.6676782
              0.11475798                       4.6597399
              0.12022265                       4.6493794
              0.12568731                       4.6378021
              0.13115198                       4.6263638
              0.13661664                       4.6164148
              0.14208131                       4.6091395
              0.14754598                       4.6054124
              0.15301064                       4.6056895
              0.15847531                       4.6099504
              0.16393997                       4.6177013
              0.16940464                       4.6280366
               0.1748693                       4.6397509
              0.18033397                       4.6514855
              0.18579864                       4.6618892
               0.1912633                       4.6697732
              0.19672797                       4.6742447
              0.20219263                       4.6748048
               0.2076573                       4.6714022
              0.21312197                       4.6644393
              0.21858663                       4.6547289
               0.2240513                       4.6434056
              0.22951596                       4.6317999
              0.23498063                       4.6212859
              0.24044529                       4.6131199
              0.24590996                       4.6082887
              0.25137463                       4.6073874
              0.25683929                       4.6105444
              0.26230396                       4.6174053
              0.26776862                        4.627177
              0.27323329                       4.6387265
              0.27869795                       4.6507192
              0.28416262                       4.6617782
              0.28962729                       4.6706436
              0.29509195                       4.6763152
              0.30055662                       4.6781626
              0.30602128                       4.6759939
              0.31148595                       4.6700764
              0.31695062                       4.6611085
              0.32241528                       4.6501438
              0.32787995                       4.6384753
              0.33334461                       4.6274887
              0.33880928                        4.618501
              0.34427394                       4.6126025
              0.34973861                       4.6105228
              0.35520328                       4.6125395
              0.36066794                       4.6184423
              0.36613261                       4.6275597
              0.37159727                       4.6388425
              0.37706194                       4.6509928
               0.3825266                       4.6626199
              0.38799127                        4.672403
              0.39345594                       4.6792417
               0.3989206                       4.6823778
              0.40438527                       4.6814785
              0.40984993                       4.6766724
               0.4153146                       4.6685361
              0.42077926                       4.6580323
              0.42624393                       4.6464045
               0.4317086                       4.6350375
              0.43717326                       4.6252976
              0.44263793                       4.6183695
              0.44810259                       4.6151124
              0.45356726                       4.6159522
              0.45903193                       4.6208275
              0.46449659                       4.6291966
              0.46996126                       4.6401059
              0.47542592                       4.6523069
              0.48089059                        4.664408
              0.48635525                       4.6750379
              0.49181992                       4.6830039
              0.49728459                       4.6874244
              0.50274925                       4.6878262
              0.50821392                       4.6841956
              0.51367858                       4.6769806
              0.51914325                       4.6670432
              0.52460791                       4.6555656
              0.53007258                        4.643919
              0.53553725                       4.6335064
              0.54100191                       4.6255978
              0.54646658                       4.6211753
              0.55193124                       4.6208116
              0.55739591                       4.6245976
              0.56286058                       4.6321297
              0.56832524                       4.6425607
              0.57378991                       4.6547048
              0.57925457                       4.6671821
              0.58471924                       4.6785825
               0.5901839                       4.6876293
              0.59564857                       4.6933228
              0.60111324                       4.6950504
               0.6065779                       4.6926536
              0.61204257                       4.6864454
              0.61750723                       4.6771775
               0.6229719                       4.6659591
              0.62843656                       4.6541351
              0.63390123                       4.6431332
               0.6393659                       4.6342975
              0.64483056                       4.6287264
              0.65029523                       4.6271373
              0.65575989                       4.6297756
              0.66122456                       4.6363831
              0.66668923                       4.6462304
              0.67215389                        4.658207
              0.67761856                       4.6709581
              0.68308322                       4.6830467
              0.68854789                       4.6931217
              0.69401255                       4.7000707
              0.69947722                       4.7031438
              0.70494189                       4.7020354
              0.71040655                       4.6969177
              0.71587122                       4.6884228
              0.72133588                       4.6775756
              0.72680055                       4.6656816
              0.73226521                       4.6541805
              0.73772988                       4.6444794
              0.74319455                       4.6377854
              0.74865921                       4.6349566
              0.75412388                        4.636395
              0.75958854                       4.6419947
              0.76505321                        4.651154
              0.77051787                       4.6628514
              0.77598254                       4.6757706
              0.78144721                       4.6884605
              0.78691187                       4.6995051
              0.79237654                       4.7076862
               0.7978412                        4.712119
              0.80330587                       4.7123494
              0.80877054                       4.7084032
               0.8142352                       4.7007841
              0.81969987                       4.6904213
              0.82516453                       4.6785679
               0.8306292                       4.6666624
              0.83609386                       4.6561636
              0.84155853                        4.648378
               0.8470232                       4.6443006
              0.85248786                       4.6444909
              0.85795253                       4.6490006
              0.86341719                       4.6573669
              0.86888186                       4.6686699
              0.87434652                       4.6816461
              0.87981119                       4.6948432
              0.88527586                       4.7067916
              0.89074052                       4.7161744
              0.89620519                       4.7219753
              0.90166985                       4.7235905
              0.90713452                       4.7208946
              0.91259919                       4.7142545
              0.91806385                        4.704492
              0.92352852                       4.6927951
              0.92899318                       4.6805873
              0.93445785                       4.6693665
              0.93992251                       4.6605294
              0.94538718                       4.6552026
              0.95085185                       4.6541024
              0.95631651                       4.6574441
              0.96178118                       4.6649131
              0.96724584                       4.6757043
              0.97271051                       4.6886218
              0.97817517                       4.7022258
              0.98363984                       4.7150047
              0.98910451                       4.7255513
              0.99456917                       4.7327219
               1.0000338                       4.7357629
               1.0054985                        4.734393
               1.0109632                       4.7288345
               1.0164278                       4.7197902
               1.0218925                       4.7083698
               1.0273572                       4.6959681
               1.0328218                       4.6841092
               1.0382865                       4.6742693
               1.0437512                          4.6677
               1.0492158                       4.6652736
               1.0546805                        4.667373
               1.0601452                       4.6738415
               1.0656098                       4.6840018
               1.0710745                       4.6967402
               1.0765392                       4.7106443
               1.0820038                       4.7241731
               1.0874685                        4.735838
               1.0929332                       4.7443732
               1.0983978                       4.7488756
               1.1038625                       4.7489044
               1.1093272                       4.7445289
               1.1147918                       4.7363224
               1.1202565                       4.7253027
               1.1257212                       4.7128217
               1.1311858                       4.7004159
               1.1366505                       4.6896296
               1.1421151                       4.6818322
               1.1475798                       4.6780496
               1.1530445                       4.6788359
               1.1585091                        4.684201
               1.1639738                       4.6936084
               1.1694385                        4.706042
               1.1749031                        4.720132
               1.1803678                       4.7343215
               1.1858325                       4.7470511
               1.1912971                       4.7569383
               1.1967618                       4.7629322
               1.2022265                        4.764429
               1.2076911                       4.7613376
               1.2131558                       4.7540909
               1.2186205                       4.7436012
               1.2240851                       4.7311628
               1.2295498                       4.7183102
               1.2350145                       4.7066438
               1.2404791                       4.6976418
               1.2459438                       4.6924807
               1.2514085                       4.6918879
               1.2568731                       4.6960484
               1.2623378                       4.7045792
               1.2678025                       4.7165773
               1.2732671                       4.7307319
               1.2787318                       4.7454846
               1.2841965                       4.7592166
               1.2896611                       4.7704357
               1.2951258                       4.7779453
               1.3005905                        4.780976
               1.3060551                       4.7792691
               1.3115198                       4.7731064
               1.3169845                        4.763281
               1.3224491                       4.7510146
               1.3279138                       4.7378247
               1.3333785                       4.7253542
               1.3388431                       4.7151807
               1.3443078                       4.7086262
               1.3497724                       4.7065933
               1.3552371                       4.7094492
               1.3607018                       4.7169773
               1.3661664                       4.7284035
               1.3716311                       4.7424927
               1.3770958                       4.7577011
               1.3825604                       4.7723625
               1.3880251                       4.7848838
               1.3934898                       4.7939255
               1.3989544                       4.7985506
               1.4044191                       4.7983267
               1.4098838                       4.7933732
               1.4153484                       4.7843508
               1.4208131                       4.7723929
               1.4262778                       4.7589842
               1.4317424                       4.7457959
               1.4372071                       4.7344939
               1.4426718                       4.7265402
               1.4481364                       4.7230122
               1.4536011                       4.7244663
               1.4590658                       4.7308644
               1.4645304                       4.7415776
               1.4699951                       4.7554642
               1.4754598                       4.7710115
               1.4809244                       4.7865203
               1.4863891                       4.8003053
               1.4918538                       4.8108887
               1.4973184                       4.8171649
               1.5027831                       4.8185212
               1.5082478                       4.8149046
               1.5137124                       4.8068293
               1.5191771                       4.7953247
               1.5246418                        4.781826
               1.5301064                       4.7680174
               1.5355711                       4.7556409
               1.5410357                        4.746291
               1.5465004                       4.7412193
               1.5519651                       4.7411767
               1.5574297                       4.7463158
               1.5628944                       4.7561689
               1.5683591                       4.7697063
               1.5738237                       4.7854646
               1.5792884                       4.8017265
               1.5847531                       4.8167257
               1.5902177                       4.8288515
               1.5956824                       4.8368292
               1.6011471                       4.8398604
               1.6066117                       4.8377094
               1.6120764                       4.8307302
               1.6175411                       4.8198315
               1.6230057                        4.806382
               1.6284704                       4.7920624
               1.6339351                       4.7786773
               1.6393997                       4.7679448
               1.6448644                       4.7612883
               1.6503291                       4.7596581
               1.6557937                       4.7634082
               1.6612584                       4.7722491
               1.6667231                       4.7852821
               1.6721877                       4.8011124
               1.6776524                       4.8180215
               1.6831171                       4.8341745
               1.6885817                       4.8478341
               1.6940464                       4.8575578
               1.6995111                       4.8623565
