        s / mm                Z (6)/real
----------------------------------------------------------------------
              -160.18114                  -1.2406363e-18
              -159.62899                  -2.4458319e-18
              -159.07683                  -4.7227024e-18
              -158.52468                  -8.9201365e-18
              -157.97253                  -1.6458229e-17
              -157.42037                  -2.9623269e-17
              -156.86822                  -5.1944322e-17
              -156.31607                  -8.8621675e-17
              -155.76391                  -1.4693342e-16
              -155.21176                  -2.3649371e-16
              -154.65961                  -3.6919392e-16
              -154.10745                  -5.5865966e-16
               -153.5553                  -8.1914287e-16
              -153.00315                   -1.163971e-15
                -152.451                   -1.603986e-15
              -151.89884                  -2.1467483e-15
              -151.34669                  -2.7975036e-15
              -150.79454                  -3.5628048e-15
              -150.24238                  -4.4571073e-15
              -149.69023                  -5.5116114e-15
              -149.13808                  -6.7834127e-15
              -148.58592                  -8.3621911e-15
              -148.03377                  -1.0371875e-14
              -147.48162                  -1.2966334e-14
              -146.92946                  -1.6320968e-14
              -146.37731                  -2.0625016e-14
              -145.82516                  -2.6081036e-14
              -145.27301                  -3.2916964e-14
              -144.72085                  -4.1412225e-14
               -144.1687                  -5.1934035e-14
              -143.61655                  -6.4975868e-14
              -143.06439                   -8.118977e-14
              -142.51224                  -1.0140876e-13
              -141.96009                  -1.2666328e-13
              -141.40793                  -1.5820261e-13
              -140.85578                   -1.975341e-13
              -140.30363                  -2.4648908e-13
              -139.75147                  -3.0731593e-13
              -139.19932                  -3.8279424e-13
              -138.64717                  -4.7636303e-13
              -138.09502                  -5.9226344e-13
              -137.54286                  -7.3570568e-13
              -136.99071                   -9.130775e-13
              -136.43856                  -1.1322103e-12
               -135.8864                  -1.4027124e-12
              -135.33425                  -1.7363706e-12
               -134.7821                  -2.1476216e-12
              -134.22994                  -2.6541075e-12
              -133.67779                  -3.2773425e-12
              -133.12564                  -4.0435313e-12
              -132.57348                  -4.9845814e-12
              -132.02133                  -6.1393409e-12
              -131.46918                  -7.5550905e-12
              -130.91703                  -9.2893225e-12
              -130.36487                  -1.1411857e-11
              -129.81272                  -1.4007376e-11
              -129.26057                  -1.7178483e-11
              -128.70841                  -2.1049402e-11
              -128.15626                  -2.5770431e-11
              -127.60411                  -3.1523269e-11
              -127.05195                  -3.8527363e-11
               -126.4998                  -4.7047479e-11
              -125.94765                  -5.7402719e-11
              -125.39549                  -6.9977315e-11
              -124.84334                  -8.5233513e-11
              -124.29119                  -1.0372697e-10
              -123.73904                  -1.2612501e-10
              -123.18688                  -1.5322837e-10
              -122.63473                  -1.8599689e-10
              -122.08258                  -2.2558005e-10
              -121.53042                  -2.7335312e-10
              -120.97827                   -3.309601e-10
              -120.42612                  -4.0036448e-10
              -119.87396                  -4.8390905e-10
              -119.32181                  -5.8438657e-10
              -118.76966                  -7.0512327e-10
               -118.2175                  -8.5007689e-10
              -117.66535                  -1.0239521e-09
               -117.1132                  -1.2323365e-09
              -116.56105                  -1.4818601e-09
              -116.00889                  -1.7803824e-09
              -115.45674                  -2.1372118e-09
              -114.90459                  -2.5633626e-09
              -114.35243                  -3.0718552e-09
              -113.80028                  -3.6780666e-09
              -113.24813                  -4.4001408e-09
              -112.69597                  -5.2594663e-09
              -112.14382                   -6.281233e-09
              -111.59167                    -7.49508e-09
              -111.03951                  -8.9358479e-09
              -110.48736                  -1.0644453e-08
              -109.93521                  -1.2668901e-08
              -109.38305                  -1.5065468e-08
               -108.8309                  -1.7900054e-08
              -108.27875                  -2.1249764e-08
               -107.7266                  -2.5204717e-08
              -107.17444                  -2.9870161e-08
              -106.62229                   -3.536888e-08
              -106.07014                  -4.1843983e-08
              -105.51798                   -4.946211e-08
              -104.96583                  -5.8417122e-08
              -104.41368                  -6.8934334e-08
              -103.86152                  -8.1275358e-08
              -103.30937                  -9.5743669e-08
              -102.75722                  -1.1269097e-07
              -102.20506                  -1.3252444e-07
              -101.65291                  -1.5571509e-07
              -101.10076                  -1.8280713e-07
              -100.54861                  -2.1442889e-07
              -99.996453                  -2.5130509e-07
              -99.444299                  -2.9427069e-07
              -98.892146                  -3.4428683e-07
              -98.339993                  -4.0245885e-07
               -97.78784                  -4.7005669e-07
              -97.235687                  -5.4853784e-07
              -96.683534                  -6.3957364e-07
              -96.131381                  -7.4507861e-07
              -95.579228                  -8.6724376e-07
              -95.027075                  -1.0085741e-06
              -94.474922                  -1.1719307e-06
              -93.922769                  -1.3605782e-06
              -93.370616                  -1.5782381e-06
              -92.818462                  -1.8291481e-06
              -92.266309                  -2.1181301e-06
              -91.714156                   -2.450664e-06
              -91.162003                  -2.8329715e-06
               -90.60985                  -3.2721103e-06
              -90.057697                   -3.776078e-06
              -89.505544                  -4.3539273e-06
              -88.953391                  -5.0158958e-06
              -88.401238                  -5.7735501e-06
              -87.849085                  -6.6399448e-06
              -87.296932                   -7.629798e-06
              -86.744779                  -8.7596883e-06
              -86.192625                   -1.004827e-05
              -85.640472                  -1.1516508e-05
              -85.088319                  -1.3187946e-05
              -84.536166                  -1.5088994e-05
              -83.984013                  -1.7249252e-05
               -83.43186                  -1.9701852e-05
              -82.879707                  -2.2483841e-05
              -82.327554                  -2.5636606e-05
              -81.775401                  -2.9206338e-05
              -81.223248                  -3.3244531e-05
              -80.671095                  -3.7808529e-05
              -80.118942                  -4.2962125e-05
              -79.566788                  -4.8776211e-05
              -79.014635                  -5.5329492e-05
              -78.462482                  -6.2709236e-05
              -77.910329                  -7.1012112e-05
              -77.358176                  -8.0345103e-05
              -76.806023                  -9.0826465e-05
               -76.25387                  -0.00010258677
              -75.701717                  -0.00011577002
              -75.149564                   -0.0001305349
              -74.597411                  -0.00014705606
              -74.045258                  -0.00016552544
              -73.493105                  -0.00018615386
              -72.940951                  -0.00020917257
              -72.388798                  -0.00023483497
              -71.836645                  -0.00026341839
              -71.284492                  -0.00029522598
              -70.732339                  -0.00033058872
              -70.180186                  -0.00036986768
              -69.628033                  -0.00041345624
               -69.07588                  -0.00046178245
              -68.523727                   -0.0005153115
              -67.971574                  -0.00057454848
              -67.419421                   -0.0006400411
              -66.867267                  -0.00071238253
              -66.315114                  -0.00079221438
              -65.762961                  -0.00088022977
              -65.210808                  -0.00097717676
              -64.658655                   -0.0010838617
              -64.106502                   -0.0012011523
              -63.554349                   -0.0013299813
              -63.002196                   -0.0014713504
              -62.450043                   -0.0016263338
               -61.89789                   -0.0017960814
              -61.345737                   -0.0019818233
              -60.793584                   -0.0021848732
               -60.24143                   -0.0024066323
              -59.689277                   -0.0026485928
              -59.137124                   -0.0029123424
              -58.584971                   -0.0031995674
              -58.032818                   -0.0035120557
              -57.480665                   -0.0038517008
              -56.928512                   -0.0042205057
              -56.376359                   -0.0046205858
              -55.824206                    -0.005054171
              -55.272053                   -0.0055236077
                -54.7199                   -0.0060313629
              -54.167747                   -0.0065800246
              -53.615593                   -0.0071723027
               -53.06344                   -0.0078110329
              -52.511287                   -0.0084991766
              -51.959134                    -0.009239817
              -51.406981                     -0.01003616
              -50.854828                    -0.010891538
              -50.302675                      -0.0118094
              -49.750522                    -0.012793312
              -49.198369                    -0.013846954
              -48.646216                    -0.014974117
              -48.094063                    -0.016178694
               -47.54191                    -0.017464674
              -46.989756                    -0.018836136
              -46.437603                    -0.020297236
               -45.88545                    -0.021852198
