        Frequency / GHz                Z (8)/abs,linear
               1.0328218                       22.314662
               1.0382865                       26.787737
               1.0437512                       31.009736
               1.0492158                       34.899409
               1.0546805                       38.390265
               1.0601452                       41.425971
               1.0656098                       43.958734
               1.0710745                       45.948821
               1.0765392                       47.364558
               1.0820038                       48.182502
               1.0874685                       48.387679
               1.0929332                       47.973821
               1.0983978                       46.943595
               1.1038625                       45.308827
               1.1093272                       43.090786
               1.1147918                       40.320626
               1.1202565                       37.040223
               1.1257212                        33.30393
               1.1311858                       29.182423
               1.1366505                       24.771652
               1.1421151                       20.215324
               1.1475798                       15.766532
               1.1530445                       11.962551
               1.1585091                       9.9582588
               1.1639738                       10.980659
               1.1694385                       14.412745
               1.1749031                       18.909194
               1.1803678                       23.741222
               1.1858325                       28.574617
               1.1912971                       33.227414
               1.1967618                       37.579457
               1.2022265                       41.540356
               1.2076911                       45.037293
               1.2131558                       48.010084
               1.2186205                       50.409166
               1.2240851                       52.194833
               1.2295498                       53.337049
               1.2350145                       53.815506
               1.2404791                       53.619802
               1.2459438                       52.749668
               1.2514085                       51.215253
               1.2568731                       49.037504
               1.2623378                       46.248765
               1.2678025                       42.893863
               1.2732671                       39.032197
               1.2787318                       34.742022
               1.2841965                       30.129631
               1.2896611                       25.350141
               1.2951258                       20.656926
               1.3005905                       16.517877
               1.3060551                       13.810741
               1.3115198                       13.654889
               1.3169845                       16.187437
               1.3224491                       20.379284
               1.3279138                       25.298583
               1.3333785                       30.430287
               1.3388431                       35.493011
               1.3443078                       40.311954
               1.3497724                       44.763792
               1.3552371                       48.753713
               1.3607018                       52.205517
               1.3661664                       55.057213
               1.3716311                       57.259074
               1.3770958                       58.772836
               1.3825604                       59.571458
               1.3880251                       59.639157
               1.3934898                       58.971585
               1.3989544                       57.576124
               1.4044191                        55.47232
               1.4098838                       52.692575
               1.4153484                       49.283342
               1.4208131                       45.307349
               1.4262778                       40.847901
               1.4317424                       36.017578
               1.4372071                       30.976528
               1.4426718                       25.972095
               1.4481364                       21.422495
               1.4536011                       18.052139
               1.4590658                       16.865864
               1.4645304                       18.411533
               1.4699951                       22.108516
               1.4754598                       26.984302
               1.4809244                       32.350718
               1.4863891                       37.804873
               1.4918538                       43.100516
               1.4973184                       48.071045
               1.5027831                       52.593259
               1.5082478                       56.570737
               1.5137124                       59.926089
               1.5191771                       62.597299
               1.5246418                       64.536047
               1.5301064                       65.706997
               1.5355711                       66.087603
               1.5410357                       65.668178
               1.5465004                       64.452156
               1.5519651                       62.456537
               1.5574297                        59.71261
               1.5628944                       56.267191
               1.5683591                       52.184829
               1.5738237                       47.551932
               1.5792884                        42.48474
               1.5847531                       37.145235
               1.5902177                       31.773538
               1.5956824                       26.752172
               1.6011471                       22.710337
               1.6066117                        20.56004
               1.6120764                       21.071367
               1.6175411                       24.107049
               1.6230057                       28.802704
               1.6284704                        34.33433
               1.6339351                       40.161508
               1.6393997                       45.948342
               1.6448644                       51.472732
               1.6503291                       56.575389
               1.6557937                       61.134646
               1.6612584                         65.0542
               1.6667231                       68.257117
               1.6721877                        70.68291
               1.6776524                       72.286176
               1.6831171                       73.036052
               1.6885817                       72.916114
               1.6940464                       71.924557
               1.6995111                       70.074613
               1.7049757                       67.395267
               1.7104404                       63.932478
               1.7159051                         59.7513
               1.7213697                       54.939742
               1.7268344                       49.615972
               1.7322991                        43.94218
               1.7377637                       38.151645
               1.7432284                       32.600588
                1.748693                       27.854019
               1.7541577                       24.751132
               1.7596224                       24.181969
                1.765087                       26.400196
               1.7705517                       30.766589
               1.7760164                       36.382397
                1.781481                       42.561371
               1.7869457                       48.857953
               1.7924104                       54.979633
                1.797875                       60.721456
               1.8033397                       65.930299
               1.8088044                       70.486689
                1.814269                       74.295629
               1.8197337                       77.281996
               1.8251984                       79.388264
                1.830663                       80.573474
               1.8361277                       80.812881
               1.8415924                       80.098001
                1.847057                       78.436971
               1.8525217                        75.85522
               1.8579864                       72.396643
                1.863451                       68.125596
               1.8689157                       63.130454
               1.8743804                       57.530099
                1.879845                       51.486046
               1.8853097                       45.225511
               1.8907744                       39.084738
                1.896239                       33.582644
               1.9017037                       29.500293
               1.9071684                       27.789793
                1.912633                       29.032414
               1.9180977                         32.8999
               1.9235624                       38.499975
                1.929027                       45.002746
               1.9344917                       51.830872
               1.9399564                       58.602695
                1.945421                       65.055292
               1.9508857                       70.996197
               1.9563503                       76.277458
                1.961815                       80.782194
               1.9672797                       84.417679
               1.9727443                       87.111836
                1.978209                       88.811535
               1.9836737                       89.481878
               1.9891383                       89.106067
                1.994603                       87.685652
               2.0000677                       85.241148
               2.0055323                       81.813125
                2.010997                       77.464066
               2.0164617                       72.281625
               2.0219263                       66.384439
                2.027391                       59.932815
               2.0328557                       53.148661
               2.0383203                       46.352594
                2.043785                       40.028681
               2.0492497                       34.910045
               2.0547143                       31.975828
                2.060179                       32.072632
               2.0656437                       35.241912
