        s / mm                X/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.62899                   1.9038189e-20
              -159.07683                   5.4302697e-20
              -158.52468                   1.1838915e-19
              -157.97253                   2.3255752e-19
              -157.42037                   4.3174884e-19
              -156.86822                   7.7173792e-19
              -156.31607                   1.3387714e-18
              -155.76391                   2.2617618e-18
              -155.21176                   3.7264976e-18
              -154.65961                   5.9899797e-18
              -154.10745                   9.3916668e-18
               -153.5553                    1.435914e-17
              -153.00315                    2.140327e-17
                -152.451                   3.1097289e-17
              -151.89884                   4.4045753e-17
              -151.34669                   6.0854318e-17
              -150.79454                   8.2111401e-17
              -150.24238                   1.0840707e-16
              -149.69023                   1.4042092e-16
              -149.13808                   1.7909479e-16
              -148.58592                   2.2587337e-16
              -148.03377                   2.8298635e-16
              -147.48162                   3.5371919e-16
              -146.92946                   4.4257254e-16
              -146.37731                   5.5527994e-16
              -145.82516                   6.9870969e-16
              -145.27301                   8.8076622e-16
              -144.72085                    1.110464e-15
               -144.1687                   1.3983074e-15
              -143.61655                   1.7571549e-15
              -143.06439                   2.2035416e-15
              -142.51224                   2.7590944e-15
              -141.96009                   3.4518899e-15
              -141.40793                   4.3175018e-15
              -140.85578                   5.3997434e-15
              -140.30363                   6.7518381e-15
              -139.75147                   8.4379299e-15
              -139.19932                   1.0535681e-14
              -138.64717                   1.3141022e-14
              -138.09502                   1.6373556e-14
              -137.54286                   2.0382312e-14
              -136.99071                   2.5352158e-14
              -136.43856                   3.1510644e-14
               -135.8864                   3.9136353e-14
              -135.33425                   4.8569704e-14
               -134.7821                   6.0226617e-14
              -134.22994                   7.4615427e-14
              -133.67779                   9.2360126e-14
              -133.12564                   1.1422807e-13
              -132.57348                   1.4115644e-13
              -132.02133                   1.7428821e-13
              -131.46918                   2.1501718e-13
              -130.91703                   2.6503978e-13
              -130.36487                    3.264259e-13
              -129.81272                   4.0168822e-13
              -129.26057                   4.9387436e-13
              -128.70841                   6.0670061e-13
              -128.15626                   7.4468527e-13
              -127.60411                   9.1328241e-13
              -127.05195                   1.1190854e-12
               -126.4998                   1.3701012e-12
              -125.94765                   1.6760102e-12
              -125.39549                   2.0484625e-12
              -124.84334                   2.5015503e-12
              -124.29119                   3.0523115e-12
              -123.73904                   3.7212139e-12
              -123.18688                   4.5328347e-12
              -122.63473                   5.5167291e-12
              -122.08258                   6.7085211e-12
              -121.53042                   8.1508431e-12
              -120.97827                   9.8947053e-12
              -120.42612                   1.2001706e-11
              -119.87396                   1.4545349e-11
              -119.32181                   1.7612838e-11
              -118.76966                   2.1308892e-11
               -118.2175                   2.5759063e-11
              -117.66535                   3.1112535e-11
               -117.1132                   3.7546666e-11
              -116.56105                   4.5272769e-11
              -116.00889                   5.4542608e-11
              -115.45674                   6.5654704e-11
              -114.90459                   7.8963288e-11
              -114.35243                   9.4890613e-11
              -113.80028                    1.139349e-10
              -113.24813                   1.3668378e-10
              -112.69597                   1.6383637e-10
              -112.14382                   1.9621723e-10
              -111.59167                   2.3479708e-10
              -111.03951                   2.8072433e-10
              -110.48736                   3.3534962e-10
              -109.93521                   4.0026452e-10
              -109.38305                   4.7734051e-10
               -108.8309                   5.6877605e-10
              -108.27875                   6.7716256e-10
               -107.7266                   8.0552808e-10
              -107.17444                   9.5740673e-10
              -106.62229                   1.1369461e-09
              -106.07014                   1.3490133e-09
              -105.51798                   1.5992947e-09
              -104.96583                   1.8944048e-09
              -104.41368                    2.242064e-09
              -103.86152                   2.6513024e-09
              -103.30937                   3.1326053e-09
              -102.75722                   3.6981164e-09
              -102.20506                   4.3619741e-09
              -101.65291                   5.1406453e-09
              -101.10076                   6.0532084e-09
              -100.54861                   7.1217426e-09
              -99.996453                   8.3718735e-09
              -99.444299                   9.8331229e-09
              -98.892146                   1.1539513e-08
              -98.339993                   1.3530715e-08
               -97.78784                   1.5852332e-08
              -97.235687                   1.8556319e-08
              -96.683534                   2.1703014e-08
              -96.131381                   2.5362119e-08
              -95.579228                    2.961306e-08
              -95.027075                   3.4546844e-08
              -94.474922                   4.0268363e-08
              -93.922769                   4.6897997e-08
              -93.370616                   5.4572528e-08
              -92.818462                   6.3448925e-08
              -92.266309                   7.3707844e-08
              -91.714156                   8.5553818e-08
              -91.162003                    9.921925e-08
               -90.60985                   1.1496986e-07
              -90.057697                   1.3310723e-07
              -89.505544                   1.5397533e-07
              -88.953391                   1.7796514e-07
              -88.401238                   2.0551817e-07
              -87.849085                   2.3713726e-07
              -87.296932                   2.7339127e-07
