        s / mm                Z/real
----------------------------------------------------------------------
              -160.18114                  -1.6917994e-20
              -159.90031                  -3.0628726e-20
              -159.61948                  -5.4807565e-20
              -159.33864                  -9.6928653e-20
              -159.05781                  -1.6940555e-19
              -158.77698                  -2.9256676e-19
              -158.49615                  -4.9922513e-19
              -158.21532                  -8.4156487e-19
              -157.93449                  -1.4013183e-18
              -157.65365                   -2.304488e-18
              -157.37282                  -3.7421582e-18
              -157.09199                  -5.9991812e-18
              -156.81116                  -9.4926097e-18
              -156.53033                  -1.4821544e-17
              -156.24949                  -2.2829364e-17
              -155.96866                  -3.4677796e-17
              -155.68783                  -5.1929855e-17
                -155.407                  -7.6634852e-17
              -155.12617                  -1.1140339e-16
              -154.84534                    -1.59454e-16
               -154.5645                  -2.2460614e-16
              -154.28367                  -3.1118802e-16
              -154.00284                  -4.2382452e-16
              -153.72201                  -5.6707383e-16
              -153.44118                  -7.4489542e-16
              -153.16035                  -9.5995469e-16
              -152.87951                   -1.212814e-15
              -152.59868                   -1.501118e-15
              -152.31785                   -1.818936e-15
              -152.03702                  -2.1564892e-15
              -151.75619                  -2.5005208e-15
              -151.47536                  -2.8355372e-15
              -151.19452                  -3.1460598e-15
              -150.91369                  -3.4198292e-15
              -150.63286                  -3.6516232e-15
              -150.35203                  -3.8470395e-15
               -150.0712                  -4.0252979e-15
              -149.79037                  -4.2199846e-15
              -149.50953                  -4.4768042e-15
               -149.2287                  -4.8478961e-15
              -148.94787                  -5.3831152e-15
              -148.66704                  -6.1197737e-15
              -148.38621                  -7.0733453e-15
              -148.10538                  -8.2321814e-15
              -147.82454                  -9.5590142e-15
              -147.54371                  -1.1000646e-14
              -147.26288                  -1.2504852e-14
              -146.98205                  -1.4040767e-14
              -146.70122                  -1.5616745e-14
              -146.42039                  -1.7288996e-14
              -146.13955                  -1.9156073e-14
              -145.85872                  -2.1338342e-14
              -145.57789                  -2.3947268e-14
              -145.29706                   -2.705448e-14
              -145.01623                  -3.0672716e-14
               -144.7354                  -3.4758473e-14
              -144.45456                  -3.9239112e-14
              -144.17373                  -4.4057313e-14
               -143.8929                  -4.9217003e-14
              -143.61207                  -5.4811674e-14
              -143.33124                   -6.102083e-14
              -143.05041                  -6.8072651e-14
              -142.76957                    -7.61862e-14
              -142.48874                  -8.5517977e-14
              -142.20791                  -9.6138502e-14
              -141.92708                  -1.0805328e-13
              -141.64625                   -1.212623e-13
              -141.36541                  -1.3583208e-13
              -141.08458                  -1.5194578e-13
