        s / mm                Y (ytest=0)/real
              -86.744779                   3.1289618e-07
              -86.192625                   3.6010285e-07
              -85.640472                   4.1408033e-07
              -85.088319                   4.7574624e-07
              -84.536166                   5.4613417e-07
              -83.984013                   6.2640644e-07
               -83.43186                    7.178692e-07
              -82.879707                   8.2198908e-07
              -82.327554                   9.4041445e-07
              -81.775401                   1.0749944e-06
              -81.223248                   1.2277948e-06
              -80.671095                   1.4011253e-06
              -80.118942                   1.5975736e-06
              -79.566788                   1.8200296e-06
              -79.014635                   2.0717076e-06
              -78.462482                   2.3561902e-06
              -77.910329                   2.6774739e-06
              -77.358176                   3.0399918e-06
              -76.806023                   3.4486697e-06
               -76.25387                   3.9089864e-06
              -75.701717                   4.4269965e-06
              -75.149564                   5.0094067e-06
              -74.597411                   5.6636547e-06
              -74.045258                   6.3979258e-06
              -73.493105                   7.2212625e-06
              -72.940951                   8.1436751e-06
              -72.388798                   9.1761566e-06
              -71.836645                   1.0330798e-05
              -71.284492                   1.1620903e-05
              -70.732339                   1.3061033e-05
              -70.180186                   1.4667199e-05
              -69.628033                   1.6456995e-05
               -69.07588                   1.8449572e-05
              -68.523727                   2.0665854e-05
              -67.971574                   2.3128809e-05
              -67.419421                   2.5863411e-05
              -66.867267                   2.8896809e-05
              -66.315114                    3.225872e-05
              -65.762961                   3.5981344e-05
              -65.210808                   4.0099478e-05
              -64.658655                   4.4651072e-05
              -64.106502                   4.9677274e-05
              -63.554349                   5.5222462e-05
              -63.002196                    6.133475e-05
              -62.450043                   6.8065912e-05
               -61.89789                   7.5471661e-05
              -61.345737                   8.3612418e-05
              -60.793584                   9.2552941e-05
               -60.24143                   0.00010236232
              -59.689277                   0.00011311544
              -59.137124                   0.00012489266
              -58.584971                   0.00013777896
              -58.032818                   0.00015186587
              -57.480665                    0.0001672517
              -56.928512                   0.00018404001
              -56.376359                   0.00020234146
              -55.824206                    0.0002222746
              -55.272053                   0.00024396456
                -54.7199                   0.00026754369
              -54.167747                   0.00029315231
              -53.615593                   0.00032093885
               -53.06344                   0.00035106101
              -52.511287                   0.00038368491
              -51.959134                   0.00041898419
              -51.406981                   0.00045714157
              -50.854828                   0.00049834938
              -50.302675                   0.00054280956
              -49.750522                   0.00059073415
              -49.198369                   0.00064234371
              -48.646216                   0.00069786749
              -48.094063                   0.00075754605
               -47.54191                   0.00082162832
              -46.989756                   0.00089037106
              -46.437603                   0.00096404284
               -45.88545                    0.0010429199
              -45.333297                    0.0011272861
              -44.781144                    0.0012174381
              -44.228991                    0.0013136773
              -43.676838                     0.001416312
              -43.124685                    0.0015256629
              -42.572532                    0.0016420516
              -42.020379                    0.0017658029
              -41.468226                    0.0018972553
              -40.916073                      0.00203675
              -40.363919                    0.0021846247
              -39.811766                    0.0023412236
              -39.259613                    0.0025068996
               -38.70746                    0.0026819954
              -38.155307                    0.0028668455
              -37.603154                    0.0030617999
              -37.051001                    0.0032672034
              -36.498848                     0.003483373
              -35.946695                    0.0037106341
              -35.394542                    0.0039493207
              -34.842389                     0.004199733
              -34.290236                    0.0044621493
              -33.738082                    0.0047368573
              -33.185929                    0.0050241294
              -32.633776                    0.0053241995
              -32.081623                    0.0056372917
               -31.52947                    0.0059636132
              -30.977317                    0.0063033184
              -30.425164                    0.0066565572
              -29.873011                     0.007023476
              -29.320858                     0.007404145
              -28.768705                    0.0077986045
              -28.216552                    0.0082068882
              -27.664398                    0.0086289564
              -27.112245                    0.0090647458
              -26.560092                    0.0095141855
              -26.007939                    0.0099770942
              -25.455786                     0.010453253
              -24.903633                     0.010942474
               -24.35148                      0.01144445
              -23.799327                     0.011958785
              -23.247174                      0.01248512
              -22.695021                     0.013023017
              -22.142868                     0.013571931
              -21.590715                     0.014131312
              -21.038561                     0.014700542
              -20.486408                     0.015278933
              -19.934255                     0.015865779
              -19.382102                     0.016460271
              -18.829949                     0.017061539
              -18.277796                     0.017668702
              -17.725643                      0.01828079
               -17.17349                     0.018896783
              -16.621337                     0.019515639
              -16.069184                     0.020136212
              -15.517031                     0.020757328
              -14.964878                     0.021377812
              -14.412724                       0.0219964
              -13.860571                     0.022611793
              -13.308418                     0.023222666
              -12.756265                      0.02382762
              -12.204112                     0.024425289
              -11.651959                     0.025014311
              -11.099806                     0.025593181
              -10.547653                     0.026160408
              -9.9954998                     0.026714617
              -9.4433467                     0.027254339
              -8.8911936                     0.027777988
              -8.3390405                      0.02828413
              -7.7868875                      0.02877143
              -7.2347344                     0.029238388
              -6.6825813                     0.029683518
              -6.1304282                     0.030105525
              -5.5782751                     0.030503025
               -5.026122                     0.030874647
              -4.4739689                     0.031219269
              -3.9218159                     0.031535693
              -3.3696628                     0.031822642
              -2.8175097                     0.032079086
              -2.2653566                      0.03230404
              -1.7132035                     0.032496511
              -1.1610504                     0.032655727
             -0.60889736                     0.032780922
            -0.056744272                     0.032871326
              0.49540881                     0.032926464
               1.0475619                     0.032945871
                1.599715                     0.032929017
               2.1518681                     0.032875711
               2.7040211                     0.032785892
               3.2561742                     0.032659394
               3.8083273                     0.032496319
               4.3604804                     0.032296935
               4.9126335                      0.03206138
               5.4647866                     0.031790041
               6.0169397                     0.031483623
               6.5690927                      0.03114271
               7.1212458                     0.030767935
               7.6733989                     0.030360257
                8.225552                     0.029920687
               8.7777051                     0.029450241
               9.3298582                     0.028950099
               9.8820112                     0.028421504
               10.434164                     0.027865831
               10.986317                     0.027284651
               11.538471                     0.026679474
               12.090624                     0.026051806
               12.642777                     0.025403362
                13.19493                     0.024735956
               13.747083                     0.024051378
               14.299236                     0.023351471
               14.851389                     0.022638125
               15.403542                     0.021913222
               15.955695                      0.02117875
               16.507848                     0.020436788
               17.060001                     0.019689213
               17.612154                     0.018937852
               18.164308                     0.018184867
               18.716461                     0.017432336
               19.268614                     0.016681935
               19.820767                     0.015935545
                20.37292                     0.015195252
               20.925073                     0.014462737
               21.477226                     0.013739617
               22.029379                     0.013027787
               22.581532                     0.012328823
               23.133685                     0.011644068
               23.685838                     0.010975168
               24.237991                     0.010323562
               24.790145                    0.0096902657
               25.342298                    0.0090765392
               25.894451                    0.0084836361
               26.446604                    0.0079123295
               26.998757                    0.0073634315
                27.55091                    0.0068378854
               28.103063                     0.006336259
               28.655216                    0.0058589265
               29.207369                    0.0054063761
               29.759522                    0.0049789855
               30.311675                    0.0045768859
               30.863828                    0.0042000526
               31.415982                    0.0038484454
               31.968135                    0.0035220395
               32.520288                    0.0032205736
               33.072441                    0.0029435705
               33.624594                    0.0026906008
               34.176747                    0.0024611598
                 34.7289                    0.0022545806
               35.281053                    0.0020701596
               35.833206                    0.0019070963
               36.385359                    0.0017645315
               36.937512                    0.0016415853
               37.489665                    0.0015371987
               38.041819                    0.0014502877
               38.593972                    0.0013798887
               39.146125                    0.0013248795
               39.698278                    0.0012840002
               40.250431                    0.0012561411
               40.802584                    0.0012401873
               41.354737                    0.0012348536
                41.90689                    0.0012389354
               42.459043                    0.0012513465
               43.011196                    0.0012708529
               43.563349                    0.0012962231
               44.115502                    0.0013264524
               44.667656                    0.0013604507
               45.219809                    0.0013969904
               45.771962                    0.0014351142
               46.324115                    0.0014739998
               46.876268                    0.0015125954
               47.428421                    0.0015499059
               47.980574                    0.0015852926
               48.532727                    0.0016180975
                49.08488                     0.001647429
               49.637033                    0.0016726276
               50.189186                    0.0016933437
               50.741339                    0.0017090652
               51.293493                    0.0017192346
               51.845646                      0.00172358
               52.397799                    0.0017218715
               52.949952                    0.0017138299
               53.502105                    0.0016993509
               54.054258                    0.0016783988
               54.606411                    0.0016508983
               55.158564                    0.0016168981
               55.710717                    0.0015765673
                56.26287                    0.0015300756
               56.815023                    0.0014775852
               57.367177                    0.0014193357
                57.91933                    0.0013557306
               58.471483                    0.0012871563
               59.023636                    0.0012138854
               59.575789                    0.0011363363
               60.127942                    0.0010550477
               60.680095                   0.00097049222
               61.232248                   0.00088313163
               61.784401                   0.00079343083
               62.336554                   0.00070192618
               62.888707                   0.00060921515
                63.44086                   0.00051577664
               63.993014                   0.00042209373
               64.545167                   0.00032872943
                65.09732                   0.00023618786
               65.649473                   0.00014495957
               66.201626                   5.5494134e-05
               66.753779                  -3.1797799e-05
               67.305932                  -0.00011641457
               67.858085                  -0.00019791916
               68.410238                  -0.00027602891
               68.962391                  -0.00035042303
               69.514544                  -0.00042070085
               70.066697                  -0.00048655112
               70.618851                  -0.00054785177
               71.171004                  -0.00060442666
               71.723157                  -0.00065593373
                72.27531                   -0.0007022625
               72.827463                  -0.00074347979
               73.379616                  -0.00077941992
               73.931769                  -0.00080996488
               74.483922                  -0.00083523323
               75.036075                  -0.00085526641
               75.588228                  -0.00087009164
               76.140381                  -0.00087981505
               76.692534                  -0.00088451383
               77.244688                  -0.00088436884
               77.796841                  -0.00087960516
               78.348994                  -0.00087035887
               78.901147                   -0.0008568647
                 79.4533                  -0.00083938919
               80.005453                  -0.00081809011
               80.557606                  -0.00079322833
               81.109759                  -0.00076517425
               81.661912                  -0.00073419473
               82.214065                  -0.00070047464
               82.766218                  -0.00066429155
               83.318371                  -0.00062602686
               83.870525                  -0.00058594307
               84.422678                  -0.00054421827
               84.974831                  -0.00050119466
               85.526984                  -0.00045719619
               86.079137                  -0.00041237685
                86.63129                  -0.00036697713
               87.183443                  -0.00032133787
               87.735596                  -0.00027568099
               88.287749                  -0.00023009603
               88.839902                  -0.00018476248
               89.392055                  -0.00014002849
               89.944208                  -9.6039607e-05
               90.496362                  -5.2760102e-05
               91.048515                  -1.0458251e-05
               91.600668                   3.0620715e-05
               92.152821                   7.0578927e-05
               92.704974                   0.00010931138
               93.257127                   0.00014656389
                93.80928                   0.00018236431
               94.361433                   0.00021669816
               94.913586                   0.00024943553
               95.465739                   0.00028057983
               96.017892                   0.00031011812
               96.570046                   0.00033799701
               97.122199                   0.00036419826
               97.674352                   0.00038871682
               98.226505                   0.00041159489
               98.778658                     0.000432787
               99.330811                   0.00045223555
               99.882964                   0.00047006732
               100.43512                    0.0004862875
               100.98727                   0.00050074938
               101.53942                   0.00051352757
               102.09158                   0.00052473016
               102.64373                   0.00053426188
               103.19588                   0.00054206516
               103.74804                   0.00054819972
               104.30019                   0.00055270489
               104.85234                   0.00055555297
               105.40449                    0.0005566529
               105.95665                   0.00055597855
                106.5088                   0.00055362847
               107.06095                   0.00054958174
               107.61311                   0.00054367387
               108.16526                   0.00053590686
               108.71741                    0.0005263828
               109.26957                   0.00051503077
               109.82172                   0.00050176199
               110.37387                   0.00048662842
               110.92603                   0.00046962237
               111.47818                   0.00045066106
               112.03033                    0.0004297727
               112.58248                   0.00040699329
               113.13464                   0.00038227926
               113.68679                   0.00035567126
               114.23894                   0.00032725491
                114.7911                   0.00029700229
               115.34325                   0.00026489919
                115.8954                   0.00023110756
               116.44756                   0.00019577939
               116.99971                   0.00015886728
               117.55186                   0.00012040654
               118.10402                   8.0668013e-05
               118.65617                    3.980088e-05
               119.20832                  -2.1721066e-06
               119.76048                   -4.506183e-05
               120.31263                  -8.8637894e-05
               120.86478                  -0.00013274415
               121.41693                  -0.00017719219
               121.96909                  -0.00022176194
               122.52124                  -0.00026621043
               123.07339                  -0.00031028767
               123.62555                  -0.00035377857
                124.1777                  -0.00039646377
               124.72985                  -0.00043806422
               125.28201                  -0.00047824411
               125.83416                  -0.00051674681
               126.38631                  -0.00055340605
               126.93847                   -0.0005879285
               127.49062                  -0.00061997498
               128.04277                  -0.00064932665
               128.59492                  -0.00067574801
               129.14708                  -0.00069899448
               129.69923                  -0.00071883139
               130.25138                   -0.0007349742
               130.80354                  -0.00074728252
               131.35569                  -0.00075565202
               131.90784                  -0.00075980333
                  132.46                   -0.0007596032
               133.01215                  -0.00075504086
                133.5643                  -0.00074593121
               134.11646                  -0.00073217553
               134.66861                  -0.00071384396
               135.22076                  -0.00069094007
               135.77291                  -0.00066343544
               136.32507                  -0.00063133361
               136.87722                   -0.0005947694
               137.42937                   -0.0005539792
               137.98153                  -0.00050904447
               138.53368                  -0.00046006796
               139.08583                  -0.00040736714
               139.63799                  -0.00035121502
               140.19014                  -0.00029183026
               140.74229                   -0.0002295459
               141.29445                  -0.00016474747
                141.8466                  -9.7773386e-05
               142.39875                  -2.8970668e-05
                142.9509                   4.1159183e-05
               143.50306                   0.00011215605
               144.05521                   0.00018374013
               144.60736                   0.00025538658
               145.15952                    0.0003264139
               145.71167                   0.00039650163
               146.26382                   0.00046532221
               146.81598                   0.00053218104
               147.36813                   0.00059651802
               147.92028                   0.00065801939
               148.47244                   0.00071621385
               149.02459                   0.00077056867
               149.57674                   0.00082067982
               150.12889                   0.00086612708
               150.68105                   0.00090650269
                151.2332                   0.00094147401
               151.78535                   0.00097068177
               152.33751                    0.0009938216
               152.88966                    0.0010106957
               153.44181                    0.0010210431
               153.99397                    0.0010245954
               154.54612                    0.0010213013
               155.09827                     0.001011159
               155.65043                   0.00099400244
               156.20258                   0.00096980139
               156.75473                     0.000938753
               157.30688                   0.00090093406
               157.85904                   0.00085640383
               158.41119                   0.00080543827
               158.96334                   0.00074832804
                159.5155                   0.00068532951
               160.06765                   0.00061681777
                160.6198                   0.00054321599
               161.17196                   0.00046492246
               161.72411                   0.00038240661
               162.27626                   0.00029624403
               162.82842                   0.00020699692
               163.38057                   0.00011517301
               163.93272                   2.1388624e-05
               164.48487                  -7.3620575e-05
               165.03703                  -0.00016922931
               165.58918                  -0.00026487038
               166.14133                  -0.00035981473
               166.69349                  -0.00045331706
               167.24564                  -0.00054474245
               167.79779                  -0.00063342843
               168.34995                  -0.00071871211
                168.9021                  -0.00079996529
               169.45425                  -0.00087651842
               170.00641                  -0.00094776576
               170.55856                   -0.0010131742
               171.11071                   -0.0010721675
               171.66286                   -0.0011242617
               172.21502                   -0.0011690701
               172.76717                   -0.0012061334
               173.31932                   -0.0012350686
               173.87148                   -0.0012556186
               174.42363                   -0.0012674993
               174.97578                    -0.001270575
               175.52794                   -0.0012648129
               176.08009                   -0.0012499957
               176.63224                   -0.0012260837
                177.1844                   -0.0011933898
               177.73655                   -0.0011520041
                178.2887                   -0.0011019045
               178.84086                   -0.0010435158
               179.39301                  -0.00097730854
               179.94516                  -0.00090346888
               180.49731                   -0.0008224306
               181.04947                  -0.00073488357
               181.60162                  -0.00064132377
               182.15377                  -0.00054226164
               182.70593                  -0.00043844398
               183.25808                  -0.00033060601
