        Frequency / GHz                Y (8)/abs,linear
----------------------------------------------------------------------
                       0                       53.760646
            0.0054646658                       53.761846
             0.010929332                       53.765378
             0.016393997                       53.771044
             0.021858663                       53.778528
             0.027323329                       53.787412
             0.032787995                       53.797199
              0.03825266                       53.807346
             0.043717326                       53.817288
             0.049181992                       53.826477
             0.054646658                       53.834405
             0.060111324                        53.84064
             0.065575989                       53.844848
             0.071040655                       53.846809
             0.076505321                       53.846435
             0.081969987                        53.84377
             0.087434652                        53.83899
             0.092899318                       53.832396
             0.098363984                       53.824394
              0.10382865                       53.815473
              0.10929332                       53.806178
              0.11475798                       53.797082
              0.12022265                       53.788749
              0.12568731                       53.781707
              0.13115198                       53.776413
              0.13661664                       53.773231
              0.14208131                       53.772409
              0.14754598                       53.774063
              0.15301064                       53.778173
              0.15847531                       53.784581
              0.16393997                          53.793
              0.16940464                       53.803029
               0.1748693                       53.814178
              0.18033397                        53.82589
              0.18579864                        53.83758
               0.1912633                       53.848659
              0.19672797                       53.858572
              0.20219263                       53.866832
               0.2076573                        53.87304
              0.21312197                       53.876915
              0.21858663                       53.878307
               0.2240513                       53.877207
              0.22951596                       53.873747
              0.23498063                       53.868198
              0.24044529                       53.860949
              0.24590996                       53.852494
              0.25137463                       53.843398
              0.25683929                        53.83427
              0.26230396                       53.825728
              0.26776862                       53.818366
              0.27323329                       53.812718
              0.27869795                       53.809227
              0.28416262                       53.808224
              0.28962729                       53.809903
              0.29509195                       53.814311
              0.30055662                       53.821345
              0.30602128                       53.830756
              0.31148595                       53.842162
              0.31695062                       53.855066
              0.32241528                       53.868887
              0.32787995                       53.882991
              0.33334461                       53.896722
              0.33880928                       53.909443
              0.34427394                       53.920571
              0.34973861                       53.929607
              0.35520328                       53.936166
              0.36066794                       53.940001
              0.36613261                       53.941015
              0.37159727                        53.93927
              0.37706194                       53.934983
               0.3825266                       53.928518
              0.38799127                       53.920364
              0.39345594                       53.911114
               0.3989206                       53.901428
              0.40438527                          53.892
              0.40984993                       53.883521
               0.4153146                       53.876638
              0.42077926                       53.871918
              0.42624393                       53.869817
               0.4317086                       53.870652
              0.43717326                       53.874584
              0.44263793                       53.881604
              0.44810259                       53.891535
              0.45356726                       53.904038
              0.45903193                       53.918632
              0.46449659                       53.934715
              0.46996126                       53.951601
              0.47542592                       53.968554
              0.48089059                        53.98483
              0.48635525                       53.999716
              0.49181992                       54.012572
              0.49728459                       54.022863
              0.50274925                       54.030194
              0.50821392                       54.034329
              0.51367858                       54.035209
              0.51914325                       54.032951
              0.52460791                       54.027853
              0.53007258                        54.02037
              0.53553725                       54.011098
              0.54100191                       54.000739
              0.54646658                       53.990066
              0.55193124                       53.979879
              0.55739591                       53.970965
              0.56286058                       53.964053
              0.56832524                        53.95977
              0.57378991                        53.95861
              0.57925457                       53.960904
              0.58471924                       53.966798
               0.5901839                       53.976244
              0.59564857                       53.989001
              0.60111324                       54.004648
               0.6065779                       54.022599
              0.61204257                       54.042143
              0.61750723                       54.062472
               0.6229719                       54.082734
              0.62843656                       54.102069
              0.63390123                       54.119665
               0.6393659                       54.134796
              0.64483056                       54.146866
              0.65029523                       54.155441
              0.65575989                       54.160273
              0.66122456                       54.161318
              0.66668923                       54.158738
              0.67215389                       54.152897
              0.67761856                       54.144343
              0.68308322                       54.133778
              0.68854789                       54.122024
              0.69401255                       54.109983
              0.69947722                       54.098581
              0.70494189                       54.088726
              0.71040655                       54.081255
              0.71587122                       54.076886
              0.72133588                       54.076179
              0.72680055                       54.079504
              0.73226521                       54.087018
              0.73772988                       54.098653
              0.74319455                       54.114118
              0.74865921                       54.132915
              0.75412388                        54.15436
              0.75958854                        54.17762
              0.76505321                       54.201761
              0.77051787                       54.225789
              0.77598254                       54.248713
              0.78144721                       54.269591
              0.78691187                       54.287585
              0.79237654                       54.302007
               0.7978412                       54.312354
              0.80330587                       54.318342
              0.80877054                       54.319918
               0.8142352                       54.317271
              0.81969987                       54.310819
              0.82516453                       54.301193
               0.8306292                       54.289205
              0.83609386                       54.275805
              0.84155853                       54.262033
               0.8470232                       54.248965
              0.85248786                       54.237654
              0.85795253                       54.229072
              0.86341719                       54.224058
              0.86888186                       54.223269
              0.87434652                       54.227146
              0.87981119                        54.23588
              0.88527586                       54.249409
              0.89074052                       54.267409
              0.89620519                       54.289315
              0.90166985                       54.314347
              0.90713452                       54.341554
              0.91259919                       54.369856
              0.91806385                        54.39811
              0.92352852                       54.425164
              0.92899318                       54.449924
              0.93445785                       54.471409
              0.93992251                       54.488807
              0.94538718                       54.501517
              0.95085185                       54.509188
              0.95631651                       54.511733
              0.96178118                       54.509343
              0.96724584                       54.502476
              0.97271051                       54.491837
              0.97817517                       54.478343
              0.98363984                       54.463077
              0.98910451                       54.447234
              0.99456917                       54.432054
               1.0000338                       54.418759
               1.0054985                       54.408488
               1.0109632                       54.402231
               1.0164278                       54.400776
               1.0218925                       54.404666
               1.0273572                       54.414161
               1.0328218                       54.429225
               1.0382865                       54.449527
               1.0437512                       54.474448
               1.0492158                       54.503122
               1.0546805                       54.534473
               1.0601452                       54.567273
               1.0656098                       54.600211
               1.0710745                       54.631956
               1.0765392                       54.661232
               1.0820038                       54.686885
               1.0874685                       54.707945
               1.0929332                       54.723681
               1.0983978                       54.733639
               1.1038625                        54.73767
               1.1093272                       54.735941
               1.1147918                       54.728928
               1.1202565                       54.717399
               1.1257212                       54.702371
               1.1311858                       54.685061
               1.1366505                       54.666827
               1.1421151                       54.649091
               1.1475798                       54.633272
               1.1530445                       54.620701
               1.1585091                       54.612557
               1.1639738                       54.609794
               1.1694385                       54.613091
               1.1749031                       54.622812
               1.1803678                       54.638981
               1.1858325                       54.661281
               1.1912971                       54.689062
               1.1967618                       54.721379
               1.2022265                       54.757036
               1.2076911                       54.794654
               1.2131558                       54.832735
               1.2186205                       54.869749
               1.2240851                       54.904212
               1.2295498                       54.934763
               1.2350145                        54.96024
               1.2404791                       54.979743
               1.2459438                       54.992679
               1.2514085                       54.998803
               1.2568731                       54.998228
               1.2623378                       54.991425
               1.2678025                       54.979205
               1.2732671                       54.962674
               1.2787318                       54.943185
               1.2841965                       54.922264
               1.2896611                       54.901536
               1.2951258                       54.882636
               1.3005905                       54.867122
               1.3060551                       54.856394
               1.3115198                       54.851612
               1.3169845                       54.853633
               1.3224491                       54.862963
               1.3279138                       54.879721
               1.3333785                       54.903636
               1.3388431                       54.934048
               1.3443078                       54.969951
               1.3497724                       55.010037
               1.3552371                       55.052766
               1.3607018                       55.096449
               1.3661664                       55.139331
               1.3716311                       55.179693
               1.3770958                       55.215934
               1.3825604                       55.246661
               1.3880251                       55.270762
               1.3934898                        55.28747
               1.3989544                       55.296399
               1.4044191                       55.297575
               1.4098838                       55.291435
               1.4153484                       55.278808
               1.4208131                       55.260879
               1.4262778                       55.239129
               1.4317424                       55.215261
               1.4372071                       55.191112
               1.4426718                       55.168559
               1.4481364                        55.14942
               1.4536011                       55.135352
               1.4590658                       55.127764
               1.4645304                       55.127737
               1.4699951                       55.135961
               1.4754598                       55.152694
               1.4809244                       55.177744
               1.4863891                       55.210474
               1.4918538                       55.249836
