        s / mm                X (2)/real
----------------------------------------------------------------------
              -160.18114                               0
              -159.90031                  -2.7082901e-22
              -159.61948                  -7.4047864e-22
              -159.33864                   -1.540204e-21
              -159.05781                  -2.8763336e-21
              -158.77698                  -5.0644916e-21
              -158.49615                  -8.5729659e-21
              -158.21532                  -1.4072677e-20
              -157.93449                  -2.2486055e-20
              -157.65365                  -3.5018421e-20
              -157.37282                  -5.3142815e-20
              -157.09199                  -7.8493114e-20
              -156.81116                  -1.1260221e-19
              -156.53033                  -1.5640787e-19
              -156.24949                   -2.094521e-19
              -155.96866                  -2.6873453e-19
              -155.68783                  -3.2727294e-19
                -155.407                  -3.7260206e-19
              -155.12617                  -3.8572661e-19
              -154.84534                  -3.4143204e-19
               -154.5645                  -2.1128655e-19
              -154.28367                   2.8944068e-20
              -154.00284                   3.8564021e-19
              -153.72201                   8.2613159e-19
              -153.44118                   1.2500631e-18
              -153.16035                   1.4559675e-18
              -152.87951                   1.1097008e-18
              -152.59868                  -2.7432235e-19
              -152.31785                  -3.3243427e-18
              -152.03702                  -8.7582862e-18
              -151.75619                  -1.7274007e-17
              -151.47536                  -2.9380812e-17
              -151.19452                  -4.5188014e-17
              -150.91369                  -6.4191269e-17
              -150.63286                  -8.5122006e-17
              -150.35203                  -1.0593778e-16
               -150.0712                  -1.2402448e-16
              -149.79037                  -1.3664543e-16
              -149.50953                  -1.4160068e-16
               -149.2287                  -1.3796934e-16
              -148.94787                  -1.2672722e-16
              -148.66704                  -1.1099326e-16
              -148.38621                  -9.5696269e-17
              -148.10538                  -8.6594862e-17
              -147.82454                   -8.880141e-17
              -147.54371                  -1.0519316e-16
              -147.26288                  -1.3525621e-16
              -146.98205                   -1.748944e-16
              -146.70122                  -2.1749037e-16
              -146.42039                  -2.5607831e-16
              -146.13955                  -2.8600548e-16
              -145.85872                  -3.0711342e-16
              -145.57789                  -3.2446504e-16
              -145.29706                  -3.4708258e-16
              -145.01623                   -3.849232e-16
               -144.7354                  -4.4512602e-16
              -144.45456                  -5.2906256e-16
              -144.17373                  -6.3158847e-16
               -143.8929                  -7.4307778e-16
              -143.61207                  -8.5361259e-16
              -143.33124                  -9.5762591e-16
              -143.05041                  -1.0569055e-15
              -142.76957                  -1.1604542e-15
              -142.48874                  -1.2810964e-15
              -142.20791                  -1.4303028e-15
              -141.92708                  -1.6136642e-15
              -141.64625                  -1.8292591e-15
              -141.36541                  -2.0698246e-15
              -141.08458                    -2.32771e-15
              -140.80375                  -2.6002196e-15
              -140.52292                  -2.8927154e-15
              -140.24209                  -3.2178744e-15
              -139.96126                  -3.5914894e-15
              -139.68042                  -4.0269616e-15
              -139.39959                  -4.5311694e-15
              -139.11876                  -5.1036425e-15
              -138.83793                  -5.7393558e-15
               -138.5571                  -6.4337742e-15
              -138.27627                  -7.1878729e-15
              -137.99543                  -8.0110835e-15
               -137.7146                  -8.9211849e-15
              -137.43377                  -9.9413897e-15
              -137.15294                  -1.1095829e-14
              -136.87211                  -1.2405193e-14
              -136.59128                  -1.3884131e-14
              -136.31044                  -1.5541506e-14
              -136.02961                  -1.7383879e-14
              -135.74878                  -1.9421193e-14
              -135.46795                  -2.1672432e-14
              -135.18712                  -2.4168583e-14
              -134.90629                  -2.6950856e-14
              -134.62545                  -3.0064795e-14
              -134.34462                  -3.3553229e-14
              -134.06379                  -3.7451746e-14
              -133.78296                  -4.1790054e-14
              -133.50213                   -4.659919e-14
               -133.2213                  -5.1920962e-14
              -132.94046                  -5.7815179e-14
              -132.65963                  -6.4360606e-14
               -132.3788                  -7.1648899e-14
              -132.09797                  -7.9775676e-14
              -131.81714                  -8.8834341e-14
              -131.53631                  -9.8915956e-14
              -131.25547                  -1.1011459e-13
              -130.97464                  -1.2253531e-13
              -130.69381                  -1.3630173e-13
              -130.41298                  -1.5156045e-13
              -130.13215                  -1.6848104e-13
              -129.85132                  -1.8725377e-13
              -129.57048                  -2.0808859e-13
              -129.28965                  -2.3121335e-13
              -129.00882                  -2.5687066e-13
              -128.72799                  -2.8531938e-13
              -128.44716                  -3.1684127e-13
              -128.16633                  -3.5174695e-13
              -127.88549                  -3.9038317e-13
              -127.60466                  -4.3314168e-13
              -127.32383                   -4.804628e-13
                -127.043                  -5.3283547e-13
              -126.76217                  -5.9079582e-13
              -126.48133                  -6.5492754e-13
               -126.2005                  -7.2587092e-13
              -125.91967                  -8.0432939e-13
              -125.63884                  -8.9107417e-13
              -125.35801                  -9.8695631e-13
              -125.07718                  -1.0929125e-12
