        Frequency / GHz                Z/abs,linear
               1.0382865                        26.92735
               1.0437512                       30.152089
               1.0492158                       32.936942
               1.0546805                       35.100819
               1.0601452                        36.52115
               1.0656098                       37.123425
               1.0710745                       36.877115
               1.0765392                       35.795354
               1.0820038                       33.937705
               1.0874685                       31.416961
               1.0929332                       28.412852
               1.0983978                       25.197606
               1.1038625                       22.176133
               1.1093272                       19.915568
               1.1147918                       19.047658
               1.1202565                       19.914367
               1.1257212                       22.276065
               1.1311858                       25.536816
               1.1366505                       29.117219
               1.1421151                        32.58467
               1.1475798                       35.635962
               1.1530445                       38.059642
               1.1585091                       39.711238
               1.1639738                       40.500529
               1.1694385                       40.386128
               1.1749031                       39.374451
               1.1803678                       37.522068
               1.1858325                       34.942131
               1.1912971                        31.81735
               1.1967618                       28.423861
               1.2022265                       25.168428
               1.2076911                       22.618362
               1.2131558                       21.426352
               1.2186205                       22.015957
               1.2240851                       24.249056
               1.2295498                        27.55612
               1.2350145                       31.316217
               1.2404791                       35.041132
               1.2459438                       38.381713
               1.2514085                       41.092499
               1.2568731                       43.004216
               1.2623378                        44.00857
               1.2678025                       44.051307
               1.2732671                       43.130323
               1.2787318                       41.297516
               1.2841965                       38.664767
               1.2896611                       35.416222
               1.2951258                       31.830783
               1.3005905                       28.317357
               1.3060551                       25.446575
               1.3115198                       23.896127
               1.3169845                         24.1721
               1.3224491                        26.24402
               1.3279138                       29.579987
               1.3333785                       33.520815
               1.3388431                       37.518927
               1.3443078                       41.174096
               1.3497724                        44.20253
               1.3552371                       46.406792
               1.3607018                       47.657851
               1.3661664                       47.886362
               1.3716311                       47.079766
               1.3770958                       45.283534
               1.3825604                       42.606653
               1.3880251                       39.233228
               1.3934898                       35.443829
               1.3989544                       31.649457
               1.4044191                       28.425851
               1.4098838                       26.478032
               1.4153484                       26.396134
               1.4208131                       28.266108
               1.4262778                       31.607657
               1.4317424                       35.727806
               1.4372071                       40.015311
               1.4426718                       44.012733
               1.4481364                       47.392799
               1.4536011                       49.925989
               1.4590658                       51.459489
               1.4645304                       51.906387
               1.4699951                       51.241554
               1.4754598                       49.502167
               1.4809244                       46.792644
               1.4863891                        43.29557
               1.4918538                       39.292052
               1.4973184                       35.194814
               1.5027831                       31.585453
               1.5082478                        29.19721
               1.5137124                       28.705582
               1.5191771                       30.323574
               1.5246418                        33.63988
               1.5301064                       37.934305
               1.5355711                       42.527321
               1.5410357                       46.896972
               1.5465004                       50.666359
               1.5519651                       53.569272
               1.5574297                       55.425614
               1.5628944                        56.12811
               1.5683591                       55.636727
               1.5738237                       53.978331
               1.5792884                       51.250995
               1.5847531                       47.634249
               1.5902177                       43.408528
               1.5956824                       38.987609
               1.6011471                       34.958887
               1.6066117                       32.083439
               1.6120764                       31.122627
               1.6175411                        32.42817
               1.6230057                       35.679081
               1.6284704                       40.137694
               1.6339351                       45.051603
               1.6393997                       49.825714
               1.6448644                       54.026132
               1.6503291                       57.344503
               1.6557937                       59.569393
               1.6612584                       60.569989
               1.6667231                       60.288747
               1.6721877                        58.74001
               1.6776524                       56.013596
               1.6831171                       52.284346
               1.6885817                       47.830701
               1.6940464                       43.066564
               1.6995111                       38.584408
               1.7049757                       35.171644
               1.7104404                        33.67469
               1.7159051                       34.595764
               1.7213697                       37.729759
               1.7268344                       42.335765
               1.7322991                       47.584452
               1.7377637                        52.79747
               1.7432284                       57.475053
                1.748693                       61.260213
               1.7541577                       63.905436
               1.7596224                       65.252745
                1.765087                       65.224151
               1.7705517                       63.819016
               1.7760164                       61.116817
                1.781481                       57.285936
               1.7869457                       52.601369
               1.7924104                       47.475978
                1.797875                       42.506078
               1.8033397                       38.502903
               1.8088044                       36.395438
                1.814269                        36.84727
               1.8197337                       39.799018
               1.8251984                       44.526778
                1.830663                       50.121602
               1.8361277                       55.810089
               1.8415924                        61.01586
                1.847057                       65.325499
               1.8525217                       68.449838
               1.8579864                       70.199547
                1.863451                       70.472866
               1.8689157                       69.251429
               1.8743804                       66.602063
                1.879845                       62.684751
               1.8853097                       57.769437
               1.8907744                        52.26657
                1.896239                       46.774662
               1.9017037                       42.125398
               1.9071684                       39.325903
                1.912633                       39.209914
               1.9180977                       41.897511
               1.9235624                       46.709887
                1.929027                       52.658344
               1.9344917                        58.86082
               1.9399564                       64.651252
                1.945421                       69.550349
               1.9508857                       73.220684
               1.9563503                       75.436708
                1.961815                       76.069089
               1.9672797                       75.078635
               1.9727443                        72.51694
                1.978209                       68.533442
               1.9836737                       63.391253
               1.9891383                       57.496847
                1.994603                       51.448972
               2.0000677                       46.095695
               2.0055323                       42.515808
                2.010997                       41.718661
               2.0164617                        44.04046
               2.0219263                       48.885419
                2.027391                       55.189341
               2.0328557                        61.94602
               2.0383203                       68.383691
                2.043785                       73.945658
               2.0492497                       78.238319
               2.0547143                       80.994212
                2.060179                       82.052062
               2.0656437                       81.348326
               2.0711083                       78.916461
                2.076573                       74.892958
               2.0820377                       69.532116
               2.0875023                        63.23469
                2.092967                       56.597485
               2.0984317                       50.480359
               2.1038963                         46.0253
                2.109361                       44.418213
               2.1148257                       46.249313
               2.1202903                       51.055621
                2.125755                       57.708731
               2.1312197                       65.061074
               2.1366843                       72.215454
                2.142149                       78.523526
               2.1476137                        83.52595
               2.1530783                       86.906637
                2.158543                       88.467301
               2.1640076                       88.116015
               2.1694723                       85.864798
                2.174937                       81.834488
               2.1804016                       76.268355
               2.1858663                       69.559516
                2.191331                       62.300494
               2.1967956                       55.358029
               2.2022603                       49.927057
                2.207725                       47.365418
               2.2131896                        48.55387
               2.2186543                       53.225615
                2.224119                       60.210163
               2.2295836                       68.200164
               2.2350483                       76.148534
                2.240513                       83.297495
               2.2459776                       89.110296
               2.2514423                       93.214224
                2.256907                       95.368073
               2.2623716                       95.446881
               2.2678363                       93.437455
                2.273301                       89.441897
               2.2787656                       83.689959
               2.2842303                       76.565006
                2.289695                       68.652837
               2.2951596                       60.822039
               2.3006243                        54.30886
                2.306089                       50.632201
               2.3115536                       50.995091
               2.3170183                       55.404765
                2.322483                        62.68688
               2.3279476                       71.355924
               2.3334123                       80.184452
                2.338877                       88.282788
               2.3443416                       95.022349
               2.3498063                       99.964195
                2.355271                       102.81725
               2.3607356                       103.41811
               2.3662003                       101.72402
               2.3716649                       97.814835
               2.3771296                       91.903938
               2.3825943                       84.362613
               2.3880589                       75.767427
               2.3935236                       66.983845
               2.3989883                       59.276914
               2.4044529                       54.309292
               2.4099176                       53.629012
               2.4153823                       57.608929
               2.4208469                       65.132175
               2.4263116                       74.519261
               2.4317763                       84.324283
               2.4372409                       93.496906
               2.4427056                       101.29868
               2.4481703                       107.21278
               2.4536349                       110.89003
               2.4590996                       112.12228
               2.4645643                       110.83215
               2.4700289                       107.07315
               2.4754936                       101.03906
               2.4809583                       93.086488
               2.4864229                       83.780191
               2.4918876                       73.977765
               2.4973523                       64.960272
               2.5028169                       58.510851
               2.5082816                       56.531795
               2.5137463                       59.863523
               2.5192109                        67.53986
               2.5246756                       77.678796
               2.5301403                       88.568284
               2.5356049                       98.959998
               2.5410696                       107.98274
               2.5465343                       115.02753
               2.5519989                       119.67721
               2.5574636                       121.67147
               2.5629283                       120.89239
               2.5683929                       117.36237
               2.5738576                       111.25182
               2.5793222                       102.89971
               2.5847869                       92.856354
               2.5902516                       81.967078
               2.5957162                       71.516534
               2.6011809                       63.380247
               2.6066456                       59.806449
               2.6121102                       62.208301
               2.6175749                       69.905461
               2.6230396                       80.820515
               2.6285042                       92.915794
               2.6339689                       104.69579
               2.6394336                       115.12709
               2.6448982                       123.49082
               2.6503629                          129.29
               2.6558276                        132.2033
               2.6612922                       132.06529
               2.6667569                       128.86163
               2.6722216                       122.73494
               2.6776862                       114.00318
               2.6831509                       103.19943
               2.6886156                        91.15275
               2.6940802                       79.139912
               2.6995449                       69.097707
               2.7050096                       63.591629
               2.7104742                       64.704316
               2.7159389                       72.228073
               2.7214036                        83.92711
               2.7268682                       97.364787
               2.7323329                       110.73252
               2.7377976                       122.79613
               2.7432622                       132.70451
               2.7487269                       139.86642
               2.7541916                       143.88895
               2.7596562                       144.55084
               2.7651209                       141.79434
               2.7705855                       135.72897
               2.7760502                       126.64773
               2.7815149                       115.06346
               2.7869795                       101.78538
               2.7924442                       88.072359
               2.7979089                       75.890505
               2.8033735                       68.073115
               2.8088382                       67.444331
               2.8143029                        74.51374
               2.8197675                       86.977374
               2.8252322                       101.91143
               2.8306969                       117.10449
               2.8361615                        131.0701
               2.8416262                       142.79653
               2.8470909                       151.58046
               2.8525555                       156.94465
               2.8580202                       158.60202
               2.8634849                       156.44333
               2.8689495                       150.53869
               2.8744142                       141.15132
               2.8798789                       128.77046
               2.8853435                        114.1823
               2.8908082                       98.619521
               2.8962729                       84.047189
               2.9017375                       73.498788
               2.9072022                       70.568065
               2.9126669                       76.781212
               2.9181315                       89.945461
               2.9235962                       106.54932
               2.9290609                        123.8541
               2.9345255                       140.05085
               2.9399902                        153.9304
               2.9454549                       164.65522
               2.9509195                       171.64817
               2.9563842                       174.54421
               2.9618489                       173.17282
               2.9673135                       167.55685
               2.9727782                       157.92394
               2.9782428                       144.73574
               2.9837075                       128.75242
               2.9891722                       111.17417
               2.9946368                       93.938365
               3.0001015                       80.198841
               3.0055662                        74.28468
               3.0110308                       79.072187
               3.0164955                       92.800358
               3.0219602                       111.26853
               3.0274248                       131.03497
               3.0328895                       149.87028
               3.0383542                       166.31921
               3.0438188                       179.38223
               3.0492835                        188.3631
               3.0547482                       192.80385
               3.0602128                       192.46058
               3.0656775                       187.29918
               3.0711422                       177.50436
               3.0766068                       163.50527
               3.0820715                       146.03306
               3.0875362                       126.25106
               3.0930008                        106.0477
               3.0984655                       88.613646
               3.1039302                       78.905037
               3.1093948                       81.469126
               3.1148595                       95.505758
               3.1203242                       116.05405
               3.1257888                       138.71665
               3.1312535                       160.70316
               3.1367182                        180.2469
               3.1421828                       196.15084
               3.1476475                       207.57566
               3.1531122                       213.95193
               3.1585768                       214.94708
               3.1640415                        210.4577
               3.1695062                       200.61619
               3.1749708                       185.81284
               3.1804355                        166.7464
               3.1859001                       144.54061
               3.1913648                       121.02025
               3.1968295                       99.335084
               3.2022941                       84.887987
               3.2077588                       84.126911
               3.2132235                        98.02133
               3.2186881                       120.88341
               3.2241528                       146.99181
               3.2296175                       172.78707
               3.2350821                       196.10126
               3.2405468                       215.49387
               3.2460115                       229.95226
               3.2514761                       238.77192
               3.2569408                       241.51218
               3.2624055                       237.98427
               3.2678701                       228.25586
               3.2733348                       212.66995
               3.2787995                       191.88846
               3.2842641                       166.99404
               3.2897288                       139.73988
               3.2951935                       113.17164
               3.3006581                       92.906766
               3.3061228                        87.32932
               3.3115875                       100.30782
               3.3170521                       125.72319
               3.3225168                       155.98811
               3.3279815                        186.4549
               3.3334461                       214.42755
               3.3389108                       238.16172
               3.3443755                       256.43256
               3.3498401                       268.37005
               3.3553048                       273.39984
               3.3607695                       271.22654
               3.3662341                       261.83624
               3.3716988                       245.51274
               3.3771635                       222.87486
               3.3826281                       194.96311
               3.3880928                        163.4574
               3.3935574                       131.25686
               3.3990221                       103.94661
               3.4044868                       91.588508
               3.4099514                       102.34102
               3.4154161                       130.52281
               3.4208808                       165.88787
               3.4263454                        202.1892
               3.4318101                       236.01857
               3.4372748                       265.24704
               3.4427394                       288.38671
               3.4482041                       304.36174
               3.4536688                       312.42969
               3.4591334                       312.15926
               3.4645981                       303.43127
               3.4700628                       286.45314
               3.4755274                       261.79072
               3.4809921                       230.44054
               3.4864568                       194.01281
               3.4919214                       155.24081
               3.4973861                       119.46102
               3.5028508                       97.819241
               3.5083154                       104.14981
               3.5137801                       135.20463
               3.5192448                       176.96334
               3.5247094                       220.71919
               3.5301741                       262.07471
               3.5356388                        298.4064
               3.5411034                       327.89515
               3.5465681                       349.20432
               3.5520328                       361.37527
               3.5574974                       363.79896
               3.5629621                       356.21633
               3.5684268                       338.73219
               3.5738914                       311.84315
               3.5793561                       276.49695
               3.5848208                       234.24086
               3.5902854                       187.64536
               3.5957501                       141.65116
               3.6012147                       107.63612
               3.6066794                       105.91581
               3.6121441                       139.64588
               3.6176087                       189.64291
               3.6230734                       243.20292
               3.6285381                       294.50504
               3.6340027                       340.27814
               3.6394674                        378.2779
               3.6449321                       406.82859
               3.6503967                       424.68496
               3.6558614                       430.99751
               3.6613261                       425.31387
               3.6667907                       407.59421
               3.6722554                       378.23751
               3.6777201                       338.13042
               3.6831847                       288.76386
               3.6886494                       232.56686
               3.6941141                       174.02632
               3.6995787                       123.86065
               3.7050434                       108.24244
               3.7105081                       143.64467
               3.7159727                         204.646
               3.7214374                       271.59769
               3.7269021                       336.53963
               3.7323667                       395.33477
               3.7378314                       445.17837
               3.7432961                        483.9379
               3.7487607                       509.97196
               3.7542254                       522.09026
               3.7596901                       519.55901
               3.7651547                       502.12149
               3.7706194                       470.02609
               3.7760841                       424.06879
               3.7815487                       365.68281
               3.7870134                       297.18791
               3.7924781                       222.64536
               3.7979427                       151.46666
               3.8034074                       112.89845
                3.808872                       146.85189
               3.8143367                       223.28591
               3.8198014                       309.48937
                3.825266                       394.10329
               3.8307307                       471.80444
               3.8361954                       539.02108
                 3.84166                       592.97263
               3.8471247                       631.43667
               3.8525894                        652.7073
                3.858054                       655.61057
               3.8635187                       639.53634
               3.8689834                       604.47445
                3.874448                        551.0573
               3.8799127                       480.63067
               3.8853774                       395.43096
                3.890842                       299.18445
               3.8963067                       199.78135
               3.9017714                       124.87623
                3.907236                         148.625
               3.9127007                       248.24487
               3.9181654                       364.20883
                 3.92363                       479.33792
               3.9290947                       586.63511
               3.9345594                       681.41538
                3.940024                       759.90432
               3.9454887                       818.94912
               3.9509534                       855.98544
                3.956418                       869.07467
               3.9618827                       856.95902
               3.9673474                        819.1179
                3.972812                       755.82304
               3.9782767                       668.20452
               3.9837414                       558.37684
                3.989206                         429.824
               3.9946707                        289.1037
               4.0001354                       157.90217
                  4.0056                       147.71052
               4.0110647                       285.96387
               4.0165293                       453.35061
                4.021994                       621.55491
               4.0274587                       781.12282
               4.0329233                       925.58828
                4.038388                       1049.4547
               4.0438527                       1147.8635
               4.0493173                       1216.5924
                4.054782                        1252.138
               4.0602467                       1251.8187
               4.0657113                       1213.8766
                4.071176                       1137.5726
               4.0766407                       1023.2775
               4.0821053                       872.58587
                 4.08757                        688.5575
               4.0930347                       476.64374
               4.0984993                       251.28681
                4.103964                       141.94099
               4.1094287                       356.53202
               4.1148933                       631.90199
                4.120358                       913.73006
               4.1258227                       1188.7855
               4.1312873                       1447.2886
                4.136752                       1680.1542
               4.1422167                       1878.6608
               4.1476813                       2034.5087
                4.153146                        2139.974
               4.1586107                       2188.0864
               4.1640753                       2172.8095
                 4.16954                       2089.2128
               4.1750047                       1933.6336
               4.1804693                       1703.8339
                4.185934                       1399.1932
               4.1913987                       1021.1416
               4.1968633                        575.5357
                4.202328                        144.2811
               4.2077926                       566.52898
               4.2132573                       1199.2951
                4.218722                       1886.9119
               4.2241866                       2615.2035
               4.2296513                       3372.7924
                4.235116                       4148.0557
               4.2405806                       4928.8879
               4.2460453                       5702.8204
                 4.25151                       6457.2296
               4.2569746                       7179.5745
               4.2624393                       7857.6439
                4.267904                       8479.8042
               4.2733686                        9035.238
               4.2788333                       9514.1704
                4.284298                       9908.0739
               4.2897626                        10209.85
               4.2952273                       10413.982
                4.300692                       10516.655
               4.3061566                       10515.838
               4.3116213                       10411.336
                4.317086                       10204.795
               4.3225506                       9899.6711
               4.3280153                       9501.1652
                 4.33348                       9016.1153
               4.3389446                       8452.8577
               4.3444093                       7821.0555
                4.349874                        7131.501
               4.3553386                       6395.8948
               4.3608033                       5626.6082
                4.366268                       4836.4354
               4.3717326                       4038.3437
               4.3771973                       3245.2366
                4.382662                       2469.7594
               4.3881266                       1724.2605
               4.3935913                       1021.5398
                4.399056                       384.88816
               4.4045206                       292.16746
               4.4099853                       795.54863
               4.4154499                       1251.1005
               4.4209146                       1634.0136
               4.4263793                       1939.4606
               4.4318439                       2165.9316
               4.4373086                       2313.9302
               4.4427733                       2385.6629
               4.4482379                       2384.8747
               4.4537026                       2316.6999
               4.4591673                       2187.5034
               4.4646319                       2004.7068
               4.4700966                       1776.6083
               4.4755613                       1512.2096
               4.4810259                       1221.0962
               4.4864906                       913.51971
               4.4919553                       601.42382
               4.4974199                       306.71783
               4.5028846                       172.96291
               4.5083493                       383.13749
               4.5138139                       637.01789
               4.5192786                       870.09085
               4.5247433                        1070.508
               4.5302079                       1232.6188
               4.5356726                        1353.055
               4.5411373                        1430.027
               4.5466019                       1463.1182
               4.5520666                        1453.179
               4.5575313                       1402.2383
               4.5629959                       1313.4087
               4.5684606                       1190.7862
               4.5739253                       1039.3605
               4.5793899                       864.98184
               4.5848546                       674.53546
               4.5903193                       476.97352
               4.5957839                       289.11159
               4.6012486                       175.50446
               4.6067133                       257.35751
               4.6121779                       421.27164
               4.6176426                        587.0058
               4.6231072                         736.715
               4.6285719                       863.33981
               4.6340366                       962.79984
               4.6395012                       1032.5609
               4.6449659                        1071.265
               4.6504306                        1078.601
               4.6558952                       1055.2373
               4.6613599                       1002.7668
               4.6668246                       923.65599
               4.6722892                       821.20909
               4.6777539                        699.5905
               4.6832186                        564.0422
               4.6886832                       421.79818
               4.6941479                       285.99091
               4.6996126                       192.99594
               4.7050772                       213.55114
               4.7105419                       319.64637
               4.7160066                       443.92845
               4.7214712                       562.64892
               4.7269359                       666.95807
               4.7324006                       752.17714
               4.7378652                         815.412
               4.7433299                       854.91491
               4.7487946                       869.87704
               4.7542592                       860.34458
               4.7597239                       827.17319
               4.7651886                       771.99821
