        Frequency / GHz                Z (2)/abs,linear
----------------------------------------------------------------------
                       0                       17.069997
            0.0054646658                       17.100862
             0.010929332                       17.189974
             0.016393997                       17.327298
             0.021858663                       17.497422
             0.027323329                       17.681207
             0.032787995                       17.857641
              0.03825266                       18.005619
             0.043717326                       18.105504
             0.049181992                       18.140403
             0.054646658                       18.097184
             0.060111324                       17.967286
             0.065575989                       17.747388
             0.071040655                       17.439994
             0.076505321                        17.05397
             0.081969987                       16.605039
             0.087434652                        16.11615
             0.092899318                       15.617556
             0.098363984                       15.146252
              0.10382865                        14.74427
              0.10929332                       14.455265
              0.11475798                       14.319165
              0.12022265                        14.36559
              0.12568731                       14.607923
              0.13115198                       15.040369
              0.13661664                       15.639211
              0.14208131                       16.367434
              0.14754598                       17.180569
              0.15301064                       18.031854
              0.15847531                       18.875849
              0.16393997                       19.670561
              0.16940464                       20.378502
               0.1748693                       20.967139
              0.18033397                       21.409042
              0.18579864                       21.681941
               0.1912633                        21.76877
              0.19672797                       21.657771
              0.20219263                       21.342673
               0.2076573                       20.823003
              0.21312197                       20.104562
              0.21858663                        19.20018
               0.2240513                       18.130889
              0.22951596                       16.927789
              0.23498063                       15.634941
              0.24044529                       14.313703
              0.24590996                       13.048465
              0.25137463                       11.951734
              0.25683929                       11.161266
              0.26230396                       10.815341
              0.26776862                       11.001143
              0.27323329                       11.709555
              0.27869795                        12.84376
              0.28416262                       14.269953
              0.28962729                       15.860207
              0.29509195                       17.508804
              0.30055662                       19.132354
              0.30602128                       20.665139
              0.31148595                       22.054615
              0.31695062                       23.258215
              0.32241528                       24.241308
              0.32787995                       24.975995
              0.33334461                       25.440428
              0.33880928                       25.618457
              0.34427394                       25.499487
              0.34973861                       25.078468
              0.35520328                        24.35599
              0.36066794                       23.338503
              0.36613261                       22.038712
              0.37159727                       20.476305
              0.37706194                        18.67933
               0.3825266                       16.686901
              0.38799127                        14.55479
              0.39345594                       12.367423
               0.3989206                       10.264088
              0.40438527                        8.490931
              0.40984993                       7.4537112
               0.4153146                       7.5678675
              0.42077926                       8.8222929
              0.42624393                       10.808793
               0.4317086                       13.147225
              0.43717326                        15.60515
              0.44263793                        18.04494
              0.44810259                       20.377019
              0.45356726                        22.53663
              0.45903193                       24.473276
              0.46449659                        26.14589
              0.46996126                         27.5206
              0.47542592                       28.569707
              0.48089059                       29.271247
              0.48635525                       29.608841
              0.49181992                       29.571664
              0.49728459                        29.15448
              0.50274925                       28.357686
              0.50821392                       27.187354
              0.51367858                       25.655279
              0.51914325                       23.779077
              0.52460791                       21.582411
              0.53007258                       19.095586
              0.53553725                       16.357097
              0.54100191                        13.41784
              0.54646658                        10.35398
              0.55193124                       7.3141259
              0.55739591                         4.73629
              0.56286058                       4.0497053
              0.56832524                       6.0416694
              0.57378991                       9.0811907
              0.57925457                       12.354874
              0.58471924                       15.621883
               0.5901839                       18.774732
              0.59564857                       21.744197
              0.60111324                       24.476257
               0.6065779                       26.925247
              0.61204257                       29.051595
              0.61750723                       30.821136
               0.6229719                       32.204988
              0.62843656                       33.179669
              0.63390123                       33.727277
               0.6393659                       33.835674
              0.64483056                       33.498636
              0.65029523                       32.715949
              0.65575989                       31.493444
              0.66122456                        29.84295
              0.66668923                       27.782185
              0.67215389                        25.33457
              0.67761856                       22.528968
              0.68308322                       19.399371
              0.68854789                       15.984557
              0.69401255                       12.327804
              0.69947722                       8.4771157
              0.70494189                       4.4895418
              0.71040655                      0.65650553
              0.71587122                       3.8243915
              0.72133588                       7.9318283
              0.72680055                       11.985831
              0.73226521                       15.920958
              0.73772988                       19.681776
              0.74319455                       23.216105
              0.74865921                        26.47473
              0.75412388                       29.411833
              0.75958854                       31.985553
              0.76505321                        34.15855
              0.77051787                       35.898531
              0.77598254                       37.178716
              0.78144721                       37.978246
              0.78691187                       38.282517
              0.79237654                       38.083431
               0.7978412                       37.379579
              0.80330587                       36.176334
              0.80877054                       34.485879
               0.8142352                       32.327164
              0.81969987                       29.725824
              0.82516453                       26.714123
               0.8306292                       23.331036
              0.83609386                       19.622856
              0.84155853                       15.645485
               0.8470232                       11.473149
              0.85248786                       7.2409505
              0.85795253                       3.5083871
              0.86341719                       3.7963347
              0.86888186                       7.7267612
              0.87434652                        12.11901
              0.87981119                       16.503505
              0.88527586                       20.749775
              0.89074052                       24.778558
              0.89620519                       28.525903
              0.90166985                       31.935715
              0.90713452                       34.957938
              0.91259919                       37.548267
              0.91806385                       39.668351
              0.92352852                       41.286145
              0.92899318                       42.376289
              0.93445785                       42.920453
              0.93992251                       42.907641
              0.94538718                       42.334419
              0.95085185                       41.205091
              0.95631651                       39.531829
              0.96178118                       37.334787
              0.96724584                       34.642274
              0.97271051                       31.491152
              0.97817517                       27.927791
              0.98363984                         24.0105
              0.98910451                       19.815971
              0.99456917                       15.458193
               1.0000338                       11.153888
               1.0054985                       7.4936812
               1.0109632                       6.2430538
               1.0164278                       8.6616291
               1.0218925                       12.793388
               1.0273572                       17.363688
               1.0328218                       21.964401
               1.0382865                       26.420533
               1.0437512                       30.625675
               1.0492158                       34.500253
               1.0546805                       37.978828
               1.0601452                       41.005764
               1.0656098                       43.533726
               1.0710745                       45.523276
               1.0765392                       46.942893
               1.0820038                       47.769171
               1.0874685                       47.987059
               1.0929332                       47.590103
               1.0983978                        46.58067
               1.1038625                       44.970161
               1.1093272                       42.779276
               1.1147918                       40.038417
               1.1202565                        36.78845
               1.1257212                       33.082325
               1.1311858                       28.988629
               1.1366505                        24.59994
               1.1421151                        20.05395
               1.1475798                       15.592163
               1.1530445                       11.731688
               1.1585091                       9.6245656
               1.1639738                       10.580165
               1.1694385                        14.00138
               1.1749031                       18.493159
               1.1803678                       23.314696
               1.1858325                       28.133756
               1.1912971                       32.771236
               1.1967618                       37.109052
               1.2022265                       41.058214
               1.2076911                       44.546845
               1.2131558                       47.515395
               1.2186205                       49.914708
               1.2240851                       51.705307
               1.2295498                       52.857234
               1.2350145                        53.35012
               1.2404791                       53.173366
               1.2459438                       52.326378
               1.2514085                       50.818828
               1.2568731                       48.671021
               1.2623378                       45.914454
               1.2678025                       42.592824
               1.2732671                       38.763982
               1.2787318                       34.503963
               1.2841965                       29.915645
               1.2896611                       25.148531
               1.2951258                       20.446354
               1.3005905                       16.262023
               1.3060551                       13.465151
               1.3115198                       13.217477
               1.3169845                       15.708292
               1.3224491                       19.886115
               1.3279138                       24.794178
               1.3333785                       29.912395
               1.3388431                       34.960535
               1.3443078                       39.765676
               1.3497724                       44.206034
               1.3552371                       48.187921
               1.3607018                       51.635918
               1.3661664                       54.488553
               1.3716311                       56.696402
               1.3770958                       58.221326
               1.3825604                       59.036245
               1.3880251                       59.125179
               1.3934898                       58.483428
               1.3989544                       57.117859
               1.4044191                       55.047317
               1.4098838                       52.303278
               1.4153484                       48.930973
               1.4208131                       44.991485
               1.4262778                        40.56582
               1.4317424                       35.763169
               1.4372071                       30.738412
               1.4426718                       25.730449
               1.4481364                       21.144936
               1.4536011                       17.695804
               1.4590658                       16.407284
               1.4645304                       17.880151
               1.4699951                       21.543947
               1.4754598                       26.401898
               1.4809244                        31.75295
               1.4863891                       37.191904
               1.4918538                       42.473403
               1.4973184                       47.432215
               1.5027831                       51.946322
               1.5082478                       55.920191
               1.5137124                       59.277046
               1.5191771                       61.955249
               1.5246418                        63.90665
               1.5301064                       65.095899
               1.5355711                       65.500256
               1.5410357                       65.109667
               1.5465004                       63.927016
               1.5519651                       61.968549
               1.5574297                       59.264563
               1.5628944                       55.860573
               1.5683591                       51.819409
               1.5738237                       47.225123
               1.5792884                       42.190597
               1.5847531                       36.872796
               1.5902177                       31.504136
               1.5956824                       26.455853
               1.6011471                        22.34537
               1.6066117                       20.090267
               1.6120764                       20.502832
               1.6175411                       23.479268
               1.6230057                       28.143746
               1.6284704                       33.654399
               1.6339351                       39.463791
               1.6393997                       45.234995
               1.6448644                       50.746688
               1.6503291                        55.84065
               1.6557937                       60.396133
               1.6612584                       64.317518
               1.6667231                       67.528309
               1.6721877                       69.968239
               1.6776524                       71.591917
               1.6831171                       72.368292
               1.6885817                        72.28056
               1.6940464                       71.326335
               1.6995111                       69.518047
               1.7049757                       66.883631
               1.7104404                       63.467674
               1.7159051                       59.333441
               1.7213697                       54.566535
               1.7268344                       49.281784
               1.7322991                        43.63653
               1.7377637                       37.856817
               1.7432284                       32.288298
                1.748693                       27.483392
               1.7541577                       24.277984
               1.7596224                       23.590579
                1.765087                       25.719697
               1.7705517                        30.03435
               1.7760164                       35.618716
                1.781481                       41.774581
               1.7869457                       48.052435
               1.7924104                       54.159395
                1.797875                       59.891205
               1.8033397                        65.09559
               1.8088044                       69.653781
                1.814269                       73.471272
               1.8197337                       76.473197
               1.8251984                       78.602068
                1.830663                       79.816749
               1.8361277                       80.092102
               1.8415924                       79.419036
                1.847057                        77.80484
               1.8525217                       75.273835
               1.8579864                       71.868476
                1.863451                       67.651261
               1.8689157                       62.708112
               1.8743804                       57.154564
                1.879845                       51.147394
               1.8853097                       44.906884
               1.8907744                       38.759152
                1.896239                       33.209969
               1.9017037                       29.031069
               1.9071684                       27.189439
