        s / mm                Z (2)/real
----------------------------------------------------------------------
              -160.18114                  -1.6470847e-20
              -159.90031                  -2.9832434e-20
              -159.61948                  -5.3447136e-20
              -159.33864                     -9.4707e-20
              -159.05781                  -1.6596339e-19
              -158.77698                  -2.8757867e-19
              -158.49615                  -4.9265898e-19
              -158.21532                  -8.3425977e-19
              -157.93449                  -1.3961398e-18
              -157.65365                  -2.3084661e-18
              -157.37282                  -3.7702057e-18
              -157.09199                  -6.0802077e-18
              -156.81116                  -9.6790433e-18
              -156.53033                  -1.5203349e-17
              -156.24949                  -2.3553405e-17
              -155.96866                  -3.5972716e-17
              -155.68783                  -5.4134876e-17
                -155.407                  -8.0228152e-17
              -155.12617                  -1.1702159e-16
              -154.84534                  -1.6788857e-16
               -154.5645                  -2.3675658e-16
              -154.28367                  -3.2794737e-16
              -154.00284                  -4.4587175e-16
              -153.72201                  -5.9455592e-16
              -153.44118                  -7.7700235e-16
              -153.16035                  -9.9442891e-16
              -152.87951                  -1.2454882e-15
              -152.59868                  -1.5256344e-15
              -152.31785                    -1.82686e-15
              -152.03702                  -2.1380456e-15
              -151.75619                  -2.4461272e-15
              -151.47536                  -2.7381766e-15
              -151.19452                  -3.0042655e-15
              -150.91369                  -3.2407172e-15
              -150.63286                   -3.453076e-15
              -150.35203                  -3.6579213e-15
               -150.0712                  -3.8826642e-15
              -149.79037                  -4.1627717e-15
              -149.50953                  -4.5364587e-15
               -149.2287                  -5.0376955e-15
              -148.94787                  -5.6892017e-15
              -148.66704                  -6.4975759e-15
              -148.38621                  -7.4525562e-15
              -148.10538                  -8.5315016e-15
              -147.82454                  -9.7086047e-15
              -147.54371                  -1.0966501e-14
              -147.26288                  -1.2306613e-14
              -146.98205                  -1.3754395e-14
              -146.70122                  -1.5356948e-14
              -146.42039                  -1.7173189e-14
              -146.13955                  -1.9259864e-14
              -145.85872                  -2.1658942e-14
              -145.57789                  -2.4391993e-14
              -145.29706                  -2.7464641e-14
              -145.01623                  -3.0879935e-14
               -144.7354                  -3.4655047e-14
              -144.45456                  -3.8833491e-14
              -144.17373                   -4.348676e-14
               -143.8929                  -4.8704219e-14
              -143.61207                  -5.4576408e-14
              -143.33124                   -6.118135e-14
              -143.05041                  -6.8582784e-14
              -142.76957                  -7.6843382e-14
              -142.48874                  -8.6047604e-14
              -142.20791                  -9.6321868e-14
              -141.92708                  -1.0783943e-13
              -141.64625                  -1.2080481e-13
              -141.36541                  -1.3542417e-13
              -141.08458                  -1.5187769e-13
              -140.80375                  -1.7031186e-13
              -140.52292                  -1.9086046e-13
              -140.24209                  -2.1368757e-13
              -139.96126                  -2.3903211e-13
              -139.68042                  -2.6723071e-13
              -139.39959                  -2.9870663e-13
              -139.11876                  -3.3393077e-13
              -138.83793                  -3.7337831e-13
               -138.5571                  -4.1750843e-13
              -138.27627                  -4.6678074e-13
              -137.99543                  -5.2170153e-13
               -137.7146                  -5.8287535e-13
              -137.43377                  -6.5103385e-13
              -137.15294                  -7.2702843e-13
              -136.87211                  -8.1179811e-13
              -136.59128                  -9.0633861e-13
              -136.31044                  -1.0116973e-12
              -136.02961                  -1.1290038e-12
              -135.74878                  -1.2595213e-12
              -135.46795                  -1.4046925e-12
              -135.18712                  -1.5661631e-12
              -134.90629                  -1.7457789e-12
              -134.62545                  -1.9455765e-12
              -134.34462                  -2.1677913e-12
              -134.06379                  -2.4148852e-12
              -133.78296                  -2.6895888e-12
              -133.50213                  -2.9949383e-12
               -133.2213                  -3.3342937e-12
              -132.94046                  -3.7113469e-12
              -132.65963                  -4.1301413e-12
               -132.3788                   -4.595118e-12
              -132.09797                  -5.1111958e-12
              -131.81714                  -5.6838608e-12
              -131.53631                  -6.3192364e-12
              -131.25547                  -7.0241229e-12
              -130.97464                  -7.8060095e-12
              -130.69381                  -8.6730975e-12
              -130.41298                  -9.6343747e-12
              -130.13215                   -1.069973e-11
              -129.85132                  -1.1880096e-11
              -129.57048                  -1.3187605e-11
              -129.28965                  -1.4635701e-11
              -129.00882                  -1.6239224e-11
              -128.72799                    -1.80145e-11
              -128.44716                  -1.9979455e-11
              -128.16633                  -2.2153795e-11
              -127.88549                  -2.4559226e-11
              -127.60466                  -2.7219695e-11
              -127.32383                  -3.0161622e-11
                -127.043                  -3.3414138e-11
              -126.76217                  -3.7009299e-11
              -126.48133                  -4.0982303e-11
               -126.2005                  -4.5371798e-11
              -125.91967                  -5.0220227e-11
              -125.63884                  -5.5574248e-11
              -125.35801                  -6.1485209e-11
              -125.07718                  -6.8009583e-11
              -124.79634                  -7.5209429e-11
              -124.51551                  -8.3152949e-11
              -124.23468                  -9.1915029e-11
              -123.95385                   -1.015778e-10
              -123.67302                  -1.1223136e-10
              -123.39219                   -1.239746e-10
              -123.11135                  -1.3691609e-10
              -122.83052                   -1.511749e-10
              -122.54969                  -1.6688155e-10
              -122.26886                  -1.8417914e-10
