        Time / ns                Current (xtest=5)/real
----------------------------------------------------------------------
                       0                               0
            0.0018417845                               0
            0.0036835689                               0
            0.0055253534                               0
            0.0073671378                               0
            0.0092089223                               0
             0.011050707                               0
             0.012892491                               0
             0.014734276                               0
             0.016576059                               0
             0.018417845                               0
             0.020259628                               0
             0.022101413                               0
             0.023943197                   1.8377669e-14
             0.025784982                   4.0341316e-14
             0.027626766                   3.3336476e-14
             0.029468551                    3.148148e-14
             0.031310335                   3.9281095e-14
             0.033152118                   4.6687663e-14
             0.034993906                   6.0629256e-14
             0.036835689                   6.7950203e-14
             0.038677473                   8.7142289e-14
             0.040519256                   1.1614002e-13
             0.042361043                   1.5086879e-13
             0.044202827                   1.8680541e-13
              0.04604461                   2.3026004e-13
             0.047886394                   2.9657616e-13
             0.049728181                   3.6859575e-13
             0.051569965                   4.6741018e-13
             0.053411748                   5.9114432e-13
             0.055253532                    7.354043e-13
             0.057095319                   9.1473508e-13
             0.058937103                   1.1405109e-12
             0.060778886                   1.4275901e-12
              0.06262067                   1.8010687e-12
             0.064462453                   2.2556529e-12
             0.066304237                   2.8183157e-12
             0.068146028                    3.517071e-12
             0.069987811                   4.3765304e-12
             0.071829595                   5.4616442e-12
             0.073671378                   6.8007718e-12
             0.075513162                   8.4628112e-12
             0.077354945                    1.051354e-11
             0.079196729                   1.3057623e-11
             0.081038512                    1.619707e-11
             0.082880303                    2.007838e-11
             0.084722087                   2.4867624e-11
              0.08656387                   3.0773235e-11
             0.088405654                   3.8054629e-11
             0.090247437                   4.7015291e-11
             0.092089221                   5.8040399e-11
             0.093931004                   7.1578021e-11
             0.095772788                   8.8202327e-11
             0.097614579                   1.0858562e-10
             0.099456362                   1.3356809e-10
              0.10129815                   1.6415241e-10
              0.10313993                   2.0157069e-10
              0.10498171                   2.4730062e-10
               0.1068235                   3.0313738e-10
              0.10866528                   3.7126388e-10
              0.11050706                   4.5430232e-10
              0.11234885                   5.5542326e-10
              0.11419064                   6.7847139e-10
              0.11603242                   8.2806528e-10
              0.11787421                   1.0097639e-09
              0.11971599                   1.2302735e-09
              0.12155777                   1.4976262e-09
              0.12339956                   1.8214917e-09
              0.12524134                   2.2134661e-09
              0.12708312                   2.6874651e-09
              0.12892491                   3.2601419e-09
              0.13076669                   3.9514227e-09
              0.13260847                   4.7851185e-09
              0.13445026                   5.7896843e-09
              0.13629206                   6.9990631e-09
              0.13813384                   8.4537355e-09
              0.13997562                   1.0201881e-08
              0.14181741                    1.230084e-08
              0.14365919                   1.4818772e-08
              0.14550097                   1.7836623e-08
              0.14734276                   2.1450425e-08
              0.14918454                   2.5774009e-08
              0.15102632                   3.0942207e-08
              0.15286811                     3.71145e-08
              0.15470989                   4.4479393e-08
              0.15655167                   5.3259498e-08
              0.15839346                   6.3717444e-08
              0.16023524                   7.6162728e-08
              0.16207702                    9.095983e-08
              0.16391881                   1.0853748e-07
              0.16576061                   1.2939958e-07
              0.16760239                   1.5413774e-07
              0.16944417                   1.8344591e-07
              0.17128596                   2.1813739e-07
              0.17312774                   2.5916427e-07
              0.17496952                   3.0764022e-07
              0.17681131                   3.6486659e-07
              0.17865309                   4.3236253e-07
              0.18049487                   5.1189983e-07
              0.18233666                   6.0554288e-07
              0.18417844                   7.1569463e-07
              0.18602023                   8.4514966e-07
              0.18786201                   9.9715453e-07
              0.18970379                   1.1754773e-06
              0.19154558                   1.3844875e-06
              0.19338736                   1.6292465e-06
              0.19522916                   1.9156118e-06
              0.19707094                   2.2503561e-06
              0.19891272                   2.6413011e-06
              0.20075451                   3.0974734e-06
              0.20259629                   3.6292779e-06
              0.20443808                   4.2486977e-06
              0.20627986                   4.9695195e-06
              0.20812164                   5.8075902e-06
              0.20996343                   6.7811052e-06
              0.21180521                   7.9109386e-06
              0.21364699                   9.2210093e-06
              0.21548878                   1.0738706e-05
              0.21733056                   1.2495348e-05
              0.21917234                   1.4526727e-05
              0.22101413                   1.6873693e-05
              0.22285591                   1.9582831e-05
              0.22469771                   2.2707211e-05
              0.22653949                   2.6307229e-05
              0.22838128                   3.0451547e-05
              0.23022306                   3.5218156e-05
              0.23206484                   4.0695541e-05
              0.23390663                   4.6984002e-05
              0.23574841                   5.4197113e-05
              0.23759019                   6.2463354e-05
              0.23943198                   7.1927898e-05
              0.24127376                   8.2754661e-05
