        Distance / mm                Charge distribution (distance) (xtest=5)/real
              -100.21342                    1.307899e-14
              -99.892739                   1.4330623e-14
              -99.572056                   1.5697436e-14
              -99.251373                   1.7189575e-14
               -98.93069                   1.8818039e-14
              -98.610007                   2.0594742e-14
              -98.289324                   2.2532592e-14
              -97.968641                   2.4645562e-14
              -97.647958                   2.6948779e-14
              -97.327275                   2.9458609e-14
              -97.006592                   3.2192757e-14
              -96.685909                   3.5170367e-14
              -96.365226                   3.8412131e-14
              -96.044543                   4.1940412e-14
              -95.723861                   4.5779365e-14
              -95.403178                   4.9955076e-14
              -95.082495                   5.4495705e-14
              -94.761812                   5.9431639e-14
              -94.441129                   6.4795661e-14
              -94.120446                   7.0623125e-14
              -93.799763                   7.6952144e-14
               -93.47908                   8.3823791e-14
              -93.158397                   9.1282318e-14
              -92.837714                   9.9375381e-14
              -92.517031                   1.0815429e-13
              -92.196348                   1.1767426e-13
              -91.875665                   1.2799469e-13
              -91.554982                   1.3917949e-13
              -91.234299                   1.5129735e-13
              -90.913616                    1.644221e-13
              -90.592933                   1.7863306e-13
               -90.27225                   1.9401543e-13
              -89.951567                   2.1066068e-13
              -89.630884                     2.28667e-13
              -89.310202                   2.4813972e-13
              -88.989519                   2.6919182e-13
              -88.668836                   2.9194445e-13
              -88.348153                   3.1652744e-13
               -88.02747                   3.4307992e-13
              -87.706787                   3.7175089e-13
              -87.386104                    4.026999e-13
              -87.065421                   4.3609772e-13
              -86.744738                   4.7212706e-13
              -86.424055                   5.1098335e-13
              -86.103372                   5.5287557e-13
              -85.782689                   5.9802706e-13
              -85.462006                   6.4667646e-13
              -85.141323                   6.9907868e-13
               -84.82064                   7.5550587e-13
              -84.499957                   8.1624855e-13
              -84.179274                   8.8161665e-13
              -83.858591                   9.5194077e-13
              -83.537908                   1.0275734e-12
              -83.217225                   1.1088903e-12
              -82.896543                   1.1962917e-12
               -82.57586                    1.290204e-12
              -82.255177                   1.3910811e-12
              -81.934494                   1.4994062e-12
              -81.613811                   1.6156934e-12
              -81.293128                   1.7404894e-12
              -80.972445                   1.8743755e-12
              -80.651762                   2.0179696e-12
              -80.331079                   2.1719279e-12
              -80.010396                   2.3369476e-12
              -79.689713                   2.5137688e-12
               -79.36903                    2.703177e-12
              -79.048347                   2.9060054e-12
              -78.727664                   3.1231377e-12
              -78.406981                   3.3555108e-12
              -78.086298                   3.6041174e-12
              -77.765615                   3.8700093e-12
              -77.444932                   4.1543001e-12
              -77.124249                   4.4581688e-12
              -76.803566                    4.782863e-12
              -76.482884                   5.1297023e-12
              -76.162201                    5.500082e-12
              -75.841518                   5.8954771e-12
              -75.520835                   6.3174459e-12
              -75.200152                   6.7676344e-12
              -74.879469                   7.2477806e-12
              -74.558786                   7.7597185e-12
              -74.238103                   8.3053834e-12
               -73.91742                   8.8868161e-12
              -73.596737                   9.5061679e-12
              -73.276054                   1.0165706e-11
              -72.955371                   1.0867819e-11
              -72.634688                   1.1615023e-11
              -72.314005                   1.2409963e-11
              -71.993322                   1.3255427e-11
              -71.672639                   1.4154343e-11
              -71.351956                   1.5109793e-11
              -71.031273                   1.6125013e-11
               -70.71059                   1.7203406e-11
              -70.389907                   1.8348543e-11
              -70.069225                   1.9564174e-11
              -69.748542                   2.0854234e-11
              -69.427859                   2.2222849e-11
              -69.107176                   2.3674348e-11
              -68.786493                   2.5213266e-11
               -68.46581                   2.6844354e-11
              -68.145127                    2.857259e-11
              -67.824444                   3.0403182e-11
              -67.503761                   3.2341582e-11
              -67.183078                   3.4393491e-11
              -66.862395                   3.6564872e-11
              -66.541712                   3.8861953e-11
              -66.221029                   4.1291246e-11
              -65.900346                   4.3859546e-11
              -65.579663                   4.6573949e-11
               -65.25898                   4.9441858e-11
              -64.938297                   5.2470993e-11
              -64.617614                   5.5669404e-11
              -64.296931                   5.9045479e-11
              -63.976248                   6.2607954e-11
              -63.655566                   6.6365926e-11
              -63.334883                   7.0328862e-11
                -63.0142                    7.450661e-11
              -62.693517                   7.8909412e-11
              -62.372834                   8.3547911e-11
              -62.052151                   8.8433165e-11
              -61.731468                   9.3576658e-11
              -61.410785                   9.8990308e-11
              -61.090102                   1.0468648e-10
              -60.769419                   1.1067801e-10
              -60.448736                   1.1697817e-10
              -60.128053                   1.2360075e-10
               -59.80737                   1.3056002e-10
              -59.486687                   1.3787072e-10
              -59.166004                   1.4554815e-10
              -58.845321                    1.536081e-10
              -58.524638                   1.6206691e-10
              -58.203955                   1.7094144e-10
              -57.883272                   1.8024911e-10
              -57.562589                   1.9000792e-10
              -57.241907                   2.0023642e-10
              -56.921224                   2.1095373e-10
              -56.600541                   2.2217958e-10
              -56.279858                   2.3393428e-10
              -55.959175                   2.4623873e-10
              -55.638492                   2.5911446e-10
              -55.317809                   2.7258361e-10
              -54.997126                   2.8666891e-10
              -54.676443                   3.0139375e-10
               -54.35576                   3.1678213e-10
              -54.035077                   3.3285868e-10
              -53.714394                   3.4964868e-10
              -53.393711                   3.6717802e-10
              -53.073028                   3.8547325e-10
              -52.752345                   4.0456155e-10
              -52.431662                   4.2447074e-10
              -52.110979                   4.4522925e-10
              -51.790296                   4.6686617e-10
              -51.469613                    4.894112e-10
               -51.14893                   5.1289468e-10
              -50.828248                   5.3734754e-10
              -50.507565                   5.6280135e-10
              -50.186882                   5.8928824e-10
              -49.866199                   6.1684096e-10
              -49.545516                   6.4549283e-10
              -49.224833                   6.7527772e-10
               -48.90415                   7.0623008e-10
              -48.583467                   7.3838486e-10
              -48.262784                   7.7177755e-10
              -47.942101                   8.0644414e-10
              -47.621418                   8.4242107e-10
              -47.300735                   8.7974526e-10
              -46.980052                   9.1845406e-10
              -46.659369                   9.5858522e-10
              -46.338686                   1.0001769e-09
              -46.018003                   1.0432675e-09
               -45.69732                   1.0878958e-09
              -45.376637                    1.134101e-09
              -45.055954                   1.1819224e-09
              -44.735271                   1.2313994e-09
              -44.414589                    1.282572e-09
              -44.093906                   1.3354798e-09
              -43.773223                   1.3901628e-09
               -43.45254                   1.4466612e-09
              -43.131857                   1.5050147e-09
              -42.811174                   1.5652635e-09
              -42.490491                   1.6274474e-09
              -42.169808                   1.6916062e-09
              -41.849125                   1.7577792e-09
              -41.528442                    1.826006e-09
              -41.207759                   1.8963253e-09
              -40.887076                   1.9687758e-09
              -40.566393                   2.0433957e-09
               -40.24571                   2.1202227e-09
              -39.925027                   2.1992939e-09
              -39.604344                   2.2806458e-09
              -39.283661                   2.3643143e-09
              -38.962978                   2.4503344e-09
              -38.642295                   2.5387403e-09
              -38.321613                   2.6295655e-09
               -38.00093                   2.7228424e-09
              -37.680247                   2.8186022e-09
              -37.359564                   2.9168753e-09
              -37.038881                   3.0176906e-09
              -36.718198                   3.1210761e-09
              -36.397515                   3.2270582e-09
              -36.076832                   3.3356618e-09
              -35.756149                   3.4469105e-09
              -35.435466                   3.5608264e-09
              -35.114783                   3.6774296e-09
                -34.7941                   3.7967389e-09
              -34.473417                   3.9187709e-09
              -34.152734                   4.0435406e-09
              -33.832051                   4.1710608e-09
              -33.511368                   4.3013425e-09
              -33.190685                   4.4343943e-09
              -32.870002                   4.5702229e-09
              -32.549319                   4.7088325e-09
              -32.228636                    4.850225e-09
              -31.907954                   4.9943999e-09
              -31.587271                   5.1413543e-09
              -31.266588                   5.2910825e-09
              -30.945905                   5.4435764e-09
              -30.625222                    5.598825e-09
              -30.304539                   5.7568147e-09
              -29.983856                    5.917529e-09
              -29.663173                   6.0809485e-09
               -29.34249                   6.2470509e-09
              -29.021807                   6.4158107e-09
              -28.701124                   6.5871997e-09
              -28.380441                   6.7611863e-09
              -28.059758                   6.9377359e-09
              -27.739075                   7.1168106e-09
              -27.418392                   7.2983693e-09
              -27.097709                   7.4823678e-09
              -26.777026                   7.6687583e-09
              -26.456343                     7.85749e-09
               -26.13566                   8.0485086e-09
              -25.814977                   8.2417563e-09
              -25.494295                   8.4371722e-09
              -25.173612                   8.6346919e-09
              -24.852929                   8.8342475e-09
              -24.532246                   9.0357678e-09
              -24.211563                   9.2391783e-09
               -23.89088                   9.4444011e-09
              -23.570197                   9.6513548e-09
              -23.249514                   9.8599548e-09
              -22.928831                   1.0070113e-08
              -22.608148                   1.0281739e-08
              -22.287465                   1.0494737e-08
              -21.966782                   1.0709011e-08
              -21.646099                   1.0924459e-08
              -21.325416                   1.1140977e-08
              -21.004733                   1.1358459e-08
               -20.68405                   1.1576795e-08
              -20.363367                   1.1795873e-08
              -20.042684                   1.2015575e-08
              -19.722001                   1.2235786e-08
              -19.401318                   1.2456382e-08
              -19.080636                   1.2677242e-08
              -18.759953                    1.289824e-08
               -18.43927                   1.3119246e-08
              -18.118587                   1.3340131e-08
              -17.797904                   1.3560762e-08
              -17.477221                   1.3781004e-08
              -17.156538                   1.4000722e-08
              -16.835855                   1.4219777e-08
              -16.515172                    1.443803e-08
              -16.194489                   1.4655339e-08
              -15.873806                   1.4871562e-08
              -15.553123                   1.5086555e-08
               -15.23244                   1.5300174e-08
              -14.911757                   1.5512273e-08
              -14.591074                   1.5722706e-08
              -14.270391                   1.5931327e-08
              -13.949708                   1.6137988e-08
              -13.629025                   1.6342541e-08
              -13.308342                   1.6544841e-08
              -12.987659                   1.6744739e-08
              -12.666977                   1.6942089e-08
              -12.346294                   1.7136744e-08
              -12.025611                   1.7328559e-08
              -11.704928                   1.7517389e-08
              -11.384245                   1.7703091e-08
              -11.063562                   1.7885521e-08
              -10.742879                   1.8064539e-08
