        Frequency / GHz          Charge distribution spectrum/real
               1.1263444                   5.1161358e-10
               1.1358095                   5.1076963e-10
               1.1452745                   5.0992002e-10
               1.1547396                   5.0906479e-10
               1.1642047                   5.0820398e-10
               1.1736698                   5.0733762e-10
               1.1831348                   5.0646573e-10
               1.1925999                   5.0558836e-10
                1.202065                   5.0470553e-10
               1.2115301                   5.0381729e-10
               1.2209952                   5.0292366e-10
               1.2304602                   5.0202467e-10
               1.2399253                   5.0112038e-10
               1.2493904                    5.002108e-10
               1.2588555                   4.9929597e-10
               1.2683206                   4.9837594e-10
               1.2777856                   4.9745072e-10
               1.2872507                   4.9652036e-10
               1.2967158                    4.955849e-10
               1.3061809                   4.9464436e-10
               1.3156459                   4.9369879e-10
                1.325111                   4.9274822e-10
               1.3345761                   4.9179268e-10
               1.3440412                   4.9083222e-10
               1.3535063                   4.8986686e-10
               1.3629713                   4.8889665e-10
               1.3724364                   4.8792162e-10
               1.3819015                   4.8694181e-10
               1.3913666                   4.8595725e-10
               1.4008317                   4.8496798e-10
               1.4102967                   4.8397404e-10
               1.4197618                   4.8297546e-10
               1.4292269                   4.8197228e-10
                1.438692                   4.8096455e-10
               1.4481571                   4.7995229e-10
               1.4576221                   4.7893554e-10
               1.4670872                   4.7791434e-10
               1.4765523                   4.7688873e-10
               1.4860174                   4.7585875e-10
               1.4954824                   4.7482444e-10
               1.5049475                   4.7378583e-10
               1.5144126                   4.7274295e-10
               1.5238777                   4.7169586e-10
               1.5333428                   4.7064458e-10
               1.5428078                   4.6958916e-10
               1.5522729                   4.6852963e-10
                1.561738                   4.6746604e-10
               1.5712031                   4.6639841e-10
               1.5806682                    4.653268e-10
               1.5901332                   4.6425123e-10
               1.5995983                   4.6317175e-10
               1.6090634                    4.620884e-10
               1.6185285                   4.6100121e-10
               1.6279935                   4.5991022e-10
               1.6374586                   4.5881548e-10
               1.6469237                   4.5771702e-10
               1.6563888                   4.5661488e-10
               1.6658539                   4.5550911e-10
               1.6753189                   4.5439973e-10
                1.684784                   4.5328679e-10
               1.6942491                   4.5217033e-10
               1.7037142                   4.5105039e-10
               1.7131793                   4.4992701e-10
               1.7226443                   4.4880022e-10
               1.7321094                   4.4767007e-10
               1.7415745                    4.465366e-10
               1.7510396                   4.4539985e-10
               1.7605047                   4.4425985e-10
               1.7699697                   4.4311664e-10
               1.7794348                   4.4197028e-10
               1.7888999                   4.4082079e-10
                1.798365                   4.3966821e-10
                 1.80783                   4.3851259e-10
               1.8172951                   4.3735396e-10
               1.8267602                   4.3619237e-10
               1.8362253                   4.3502785e-10
               1.8456904                   4.3386045e-10
               1.8551554                    4.326902e-10
               1.8646205                   4.3151715e-10
               1.8740856                   4.3034134e-10
               1.8835507                   4.2916279e-10
               1.8930158                   4.2798157e-10
               1.9024808                   4.2679769e-10
               1.9119459                   4.2561122e-10
                1.921411                   4.2442217e-10
               1.9308761                    4.232306e-10
               1.9403411                   4.2203655e-10
               1.9498062                   4.2084005e-10
               1.9592713                   4.1964115e-10
               1.9687364                   4.1843987e-10
               1.9782015                   4.1723628e-10
               1.9876665                    4.160304e-10
               1.9971316                   4.1482227e-10
               2.0065967                   4.1361194e-10
               2.0160618                   4.1239944e-10
               2.0255269                   4.1118481e-10
               2.0349919                    4.099681e-10
                2.044457                   4.0874934e-10
               2.0539221                   4.0752857e-10
               2.0633872                   4.0630584e-10
               2.0728523                   4.0508118e-10
               2.0823173                   4.0385463e-10
               2.0917824                   4.0262623e-10
               2.1012475                   4.0139602e-10
               2.1107126                   4.0016404e-10
               2.1201776                   3.9893034e-10
               2.1296427                   3.9769494e-10
               2.1391078                   3.9645789e-10
               2.1485729                   3.9521923e-10
                2.158038                   3.9397899e-10
                2.167503                   3.9273722e-10
               2.1769681                   3.9149396e-10
               2.1864332                   3.9024924e-10
               2.1958983                    3.890031e-10
               2.2053634                   3.8775559e-10
               2.2148284                   3.8650673e-10
               2.2242935                   3.8525658e-10
               2.2337586                   3.8400516e-10
               2.2432237                   3.8275252e-10
               2.2526887                    3.814987e-10
               2.2621538                   3.8024373e-10
               2.2716189                   3.7898765e-10
                2.281084                   3.7773051e-10
               2.2905491                   3.7647233e-10
               2.3000141                   3.7521316e-10
               2.3094792                   3.7395304e-10
               2.3189443                   3.7269199e-10
               2.3284094                   3.7143007e-10
               2.3378745                   3.7016731e-10
               2.3473395                   3.6890374e-10
               2.3568046                   3.6763941e-10
               2.3662697                   3.6637435e-10
               2.3757348                    3.651086e-10
               2.3851999                    3.638422e-10
               2.3946649                   3.6257517e-10
                 2.40413                   3.6130757e-10
