        Time / ns                Charge distribution (time)/real
----------------------------------------------------------------------
                       0                   8.6105461e-16
            0.0010696832                   9.9657648e-16
            0.0021393664                   1.1530904e-15
            0.0032090496                   1.3337943e-15
            0.0042787329                    1.542365e-15
            0.0053484161                   1.7830283e-15
            0.0064180993                   2.0606399e-15
            0.0074877825                   2.3807772e-15
            0.0085574657                   2.7498448e-15
            0.0096271489                   3.1751951e-15
             0.010696832                   3.6652653e-15
             0.011766515                   4.2297355e-15
             0.012836199                   4.8797075e-15
             0.013905882                   5.6279101e-15
             0.014975565                   6.4889332e-15
             0.016045248                   7.4794944e-15
             0.017114931                   8.6187437e-15
             0.018184615                   9.9286104e-15
             0.019254298                   1.1434199e-14
             0.020323981                   1.3164242e-14
             0.021393664                   1.5151607e-14
             0.022463348                   1.7433892e-14
             0.023533031                   2.0054082e-14
             0.024602714                   2.3061312e-14
             0.025672397                   2.6511727e-14
              0.02674208                   3.0469464e-14
             0.027811764                   3.5007766e-14
             0.028881447                   4.0210249e-14
              0.02995113                   4.6172343e-14
             0.031020813                   5.3002926e-14
             0.032090496                   6.0826184e-14
              0.03316018                   6.9783713e-14
             0.034229863                    8.003692e-14
             0.035299546                   9.1769729e-14
             0.036369229                   1.0519166e-13
             0.037438913                   1.2054133e-13
             0.038508596                   1.3809037e-13
             0.039578279                   1.5814797e-13
             0.040647962                   1.8106588e-13
             0.041717645                   2.0724422e-13
             0.042787329                   2.3713792e-13
             0.043857012                   2.7126413e-13
             0.044926695                   3.1021051e-13
             0.045996378                   3.5464468e-13
             0.047066061                   4.0532479e-13
             0.048135745                   4.6311162e-13
             0.049205428                   5.2898209e-13
             0.050275111                   6.0404466e-13
             0.051344794                   6.8955659e-13
             0.052414478                   7.8694352e-13
             0.053484161                   8.9782149e-13
             0.054553844                   1.0240218e-12
             0.055623527                   1.1676192e-12
              0.05669321                   1.3309631e-12
             0.057762894                   1.5167137e-12
             0.058832577                   1.7278815e-12
              0.05990226                   1.9678732e-12
             0.060971943                   2.2405418e-12
             0.062041627                   2.5502442e-12
              0.06311131                   2.9019056e-12
             0.064180993                   3.3010915e-12
             0.065250676                   3.7540897e-12
             0.066320359                    4.268001e-12
             0.067390043                   4.8508423e-12
             0.068459726                   5.5116622e-12
             0.069529409                     6.26067e-12
             0.070599092                   7.1093816e-12
             0.071668775                    8.070782e-12
             0.072738459                    9.159509e-12
             0.073808142                   1.0392058e-11
             0.074877825                   1.1787011e-11
             0.075947508                   1.3365298e-11
             0.077017192                   1.5150479e-11
             0.078086875                   1.7169074e-11
             0.079156558                   1.9450921e-11
             0.080226241                   2.2029581e-11
             0.081295924                   2.4942794e-11
             0.082365608                   2.8232982e-11
             0.083435291                   3.1947817e-11
             0.084504974                   3.6140854e-11
             0.085574657                   4.0872238e-11
              0.08664434                   4.6209494e-11
             0.087714024                   5.2228408e-11
             0.088783707                   5.9014013e-11
              0.08985339                   6.6661687e-11
             0.090923073                   7.5278375e-11
             0.091992757                   8.4983958e-11
              0.09306244                   9.5912776e-11
             0.094132123                   1.0821532e-10
             0.095201806                   1.2206013e-10
             0.096271489                   1.3763589e-10
             0.097341173                   1.5515377e-10
             0.098410856                   1.7485006e-10
             0.099480539                   1.9698901e-10
              0.10055022                   2.2186613e-10
              0.10161991                   2.4981171e-10
              0.10268959                   2.8119486e-10
              0.10375927                   3.1642788e-10
              0.10482896                   3.5597122e-10
              0.10589864                   4.0033893e-10
              0.10696832                    4.501047e-10
                0.108038                   5.0590859e-10
              0.10910769                   5.6846449e-10
              0.11017737                    6.385684e-10
              0.11124705                   7.1710753e-10
              0.11231674                   8.0507054e-10
              0.11338642                   9.0355869e-10
               0.1144561                   1.0137984e-09
              0.11552579                   1.1371548e-09
              0.11659547                   1.2751474e-09
              0.11766515                   1.4294664e-09
              0.11873484                   1.6019919e-09
              0.11980452                   1.7948141e-09
               0.1208742                   2.0102562e-09
              0.12194389                   2.2508996e-09
              0.12301357                   2.5196118e-09
              0.12408325                   2.8195768e-09
              0.12515294                   3.1543291e-09
              0.12622262                   3.5277912e-09
               0.1272923                   3.9443143e-09
              0.12836199                   4.4087244e-09
              0.12943167                   4.9263717e-09
              0.13050135                   5.5031858e-09
              0.13157104                    6.145737e-09
              0.13264072                   6.8613022e-09
               0.1337104                   7.6579391e-09
              0.13478009                    8.544567e-09
              0.13584977                   9.5310554e-09
              0.13691945                   1.0628322e-08
              0.13798913                   1.1848441e-08
              0.13905882                    1.320476e-08
               0.1401285                    1.471203e-08
              0.14119818                   1.6386547e-08
              0.14226787                   1.8246312e-08
              0.14333755                   2.0311198e-08
