        s / mm                Z/real
              -55.188697                   -0.0054645247
              -54.608628                   -0.0059925842
              -54.028559                   -0.0065653459
              -53.448491                    -0.007185922
              -52.868422                   -0.0078575714
              -52.288353                    -0.008583678
              -51.708284                   -0.0093678196
              -51.128216                    -0.010213725
              -50.548147                    -0.011125227
              -49.968078                    -0.012106279
              -49.388009                    -0.013161069
              -48.807941                    -0.014293877
              -48.227872                    -0.015509058
              -47.647803                    -0.016811165
              -47.067734                    -0.018204796
              -46.487666                     -0.01969472
              -45.907597                    -0.021285739
              -45.327528                     -0.02298272
              -44.747459                    -0.024790687
              -44.167391                    -0.026714562
              -43.587322                    -0.028759369
              -43.007253                    -0.030930182
              -42.427184                    -0.033232034
              -41.847116                    -0.035669835
              -41.267047                    -0.038248386
              -40.686978                    -0.040972701
              -40.106909                    -0.043847412
              -39.526841                    -0.046876785
              -38.946772                    -0.050065354
              -38.366703                    -0.053417324
              -37.786635                    -0.056936335
              -37.206566                     -0.06062593
              -36.626497                    -0.064489384
              -36.046428                     -0.06852951
               -35.46636                    -0.072748693
              -34.886291                    -0.077148746
              -34.306222                    -0.081731301
              -33.726153                    -0.086497158
              -33.146085                     -0.09144626
              -32.566016                    -0.096578717
              -31.985947                     -0.10189341
              -31.405878                     -0.10738802
               -30.82581                     -0.11306042
              -30.245741                     -0.11890746
              -29.665672                     -0.12492417
              -29.085603                     -0.13110599
              -28.505535                     -0.13744677
              -27.925466                     -0.14393922
              -27.345397                     -0.15057575
              -26.765328                     -0.15734671
               -26.18526                     -0.16424176
              -25.605191                     -0.17125062
              -25.025122                     -0.17836065
              -24.445053                     -0.18555765
              -23.864985                     -0.19282766
              -23.284916                     -0.20015526
              -22.704847                     -0.20752333
              -22.124779                     -0.21491392
               -21.54471                     -0.22230751
              -20.964641                     -0.22968467
              -20.384572                     -0.23702455
              -19.804504                     -0.24430409
              -19.224435                     -0.25149992
              -18.644366                      -0.2585887
              -18.064297                     -0.26554532
              -17.484229                     -0.27234346
               -16.90416                     -0.27895628
              -16.324091                     -0.28535718
              -15.744022                     -0.29151763
              -15.163954                     -0.29740928
              -14.583885                     -0.30300365
              -14.003816                     -0.30827077
              -13.423747                     -0.31318138
              -12.843679                     -0.31770656
               -12.26361                     -0.32181653
              -11.683541                     -0.32548034
              -11.103472                      -0.3286699
              -10.523404                      -0.3313575
               -9.943335                     -0.33351281
              -9.3632662                     -0.33510826
              -8.7831975                     -0.33611817
              -8.2031287                     -0.33651556
                -7.62306                     -0.33627519
              -7.0429913                     -0.33537383
              -6.4629225                     -0.33378885
              -5.8828538                     -0.33149906
               -5.302785                      -0.3284846
              -4.7227163                     -0.32472828
              -4.1426476                      -0.3202138
              -3.5625788                     -0.31492721
              -2.9825101                     -0.30885634
              -2.4024413                     -0.30199274
              -1.8223726                     -0.29432814
              -1.2423039                     -0.28585603
             -0.66223512                     -0.27657639
            -0.082166381                     -0.26648889
              0.49790236                     -0.25559392
               1.0779711                      -0.2438982
               1.6580398                      -0.2314111
               2.2381086                     -0.21814152
               2.8181773                     -0.20410232
               3.3982461                     -0.18931252
               3.9783148                     -0.17379033
               4.5583835                     -0.15755596
               5.1384523                     -0.14063568
                5.718521                     -0.12305786
               6.2985898                     -0.10485096
               6.8786585                     -0.08604888
               7.4587272                     -0.06668591
                8.038796                    -0.046800831
               8.6188647                    -0.026434355
               9.1989335                   -0.0056271186
               9.7790022                     0.015574645
               10.359071                     0.037123803
                10.93914                     0.058972914
               11.519208                      0.08107246
               12.099277                      0.10336817
               12.679346                      0.12580749
               13.259415                      0.14833778
               13.839483                      0.17090064
               14.419552                      0.19344027
               14.999621                      0.21590054
                15.57969                      0.23822239
               16.159758                      0.26034821
               16.739827                      0.28221994
               17.319896                      0.30377937
               17.899965                      0.32496866
               18.480033                      0.34573055
               19.060102                      0.36600907
               19.640171                      0.38574746
                20.22024                       0.4048912
               20.800308                      0.42338822
               21.380377                      0.44118579
               21.960446                      0.45823282
               22.540514                      0.47448267
               23.120583                      0.48988921
               23.700652                       0.5044065
               24.280721                      0.51799298
               24.860789                      0.53061048
               25.440858                      0.54222211
               26.020927                      0.55279238
               26.600996                      0.56229001
               27.181064                      0.57068836
               27.761133                      0.57796169
               28.341202                      0.58408609
               28.921271                      0.58904342
               29.501339                      0.59281905
               30.081408                      0.59539859
               30.661477                      0.59677246
               31.241546                      0.59693645
               31.821614                      0.59588707
               32.401683                      0.59362347
               32.981752                      0.59015078
               33.561821                        0.585477
               34.141889                      0.57961064
               34.721958                      0.57256527
               35.302027                      0.56435886
               35.882096                      0.55501036
               36.462164                      0.54454135
               37.042233                      0.53297809
               37.622302                      0.52034886
                38.20237                       0.5066839
               38.782439                      0.49201677
               39.362508                      0.47638318
               39.942577                      0.45982109
               40.522645                      0.44237085
               41.102714                      0.42407408
               41.682783                      0.40497548
               42.262852                      0.38512134
                42.84292                      0.36455746
               43.422989                      0.34333276
               44.003058                      0.32149955
               44.583127                      0.29910841
               45.163195                      0.27620969
               45.743264                      0.25285786
               46.323333                      0.22910781
               46.903402                      0.20501255
                47.48347                      0.18062733
               48.063539                      0.15600841
               48.643608                      0.13120988
               49.223677                      0.10628684
               49.803745                     0.081296184
               50.383814                     0.056292678
               50.963883                     0.031329644
               51.543952                    0.0064621062
                52.12402                    -0.018254984
               52.704089                    -0.042769516
               53.284158                    -0.067029923
               53.864226                    -0.090983379
               54.444295                     -0.11457914
               55.024364                     -0.13776907
               55.604433                     -0.16050406
               56.184501                     -0.18273562
                56.76457                     -0.20441878
               57.344639                     -0.22550935
               57.924708                     -0.24596295
               58.504776                     -0.26573734
               59.084845                     -0.28479232
               59.664914                     -0.30308945
               60.244983                     -0.32059112
               60.825051                     -0.33726042
                61.40512                     -0.35306393
               61.985189                     -0.36797003
               62.565258                      -0.3819464
               63.145326                     -0.39496419
               63.725395                     -0.40699777
               64.305464                     -0.41802081
               64.885533                     -0.42800905
               65.465601                     -0.43694201
                66.04567                     -0.44480032
               66.625739                     -0.45156578
               67.205808                     -0.45722249
               67.785876                     -0.46175746
               68.365945                     -0.46515994
               68.946014                     -0.46741941
               69.526082                      -0.4685284
               70.106151                     -0.46848381
                70.68622                     -0.46728201
               71.266289                     -0.46492129
               71.846357                     -0.46140535
               72.426426                     -0.45673822
               73.006495                     -0.45092485
               73.586564                     -0.44397533
               74.166632                     -0.43590145
               74.746701                     -0.42671601
                75.32677                     -0.41643563
               75.906839                     -0.40507944
               76.486907                     -0.39266818
               77.066976                     -0.37922553
               77.647045                     -0.36477833
               78.227114                     -0.34935542
               78.807182                      -0.3329873
               79.387251                     -0.31570805
                79.96732                     -0.29755466
               80.547389                     -0.27856539
               81.127457                     -0.25878104
               81.707526                     -0.23824547
               82.287595                     -0.21700502
               82.867664                     -0.19510777
               83.447732                     -0.17260304
               84.027801                     -0.14954417
                84.60787                     -0.12598675
               85.187938                     -0.10198545
               85.768007                    -0.077599063
               86.348076                    -0.052889185
               86.928145                    -0.027915985
               87.508213                   -0.0027431946
               88.088282                      0.02256373
               88.668351                     0.047940783
                89.24842                     0.073319835
               89.828488                     0.098632469
               90.408557                       0.1238127
               90.988626                      0.14879008
               91.568695                       0.1734942
               92.148763                      0.19785802
               92.728832                      0.22181154
               93.308901                      0.24528471
                93.88897                      0.26821021
               94.469038                      0.29051975
               95.049107                      0.31214647
               95.629176                      0.33302524
               96.209245                      0.35309093
               96.789313                      0.37228121
               97.369382                      0.39053552
               97.949451                      0.40779428
                98.52952                      0.42400146
               99.109588                      0.43910279
               99.689657                      0.45304651
               100.26973                      0.46578503
               100.84979                      0.47727195
               101.42986                      0.48746459
               102.00993                      0.49632616
                  102.59                      0.50382083
               103.17007                      0.50991582
               103.75014                      0.51458556
               104.33021                      0.51780702
               104.91028                      0.51955965
               105.49034                      0.51982977
               106.07041                      0.51860798
               106.65048                       0.5158876
               107.23055                      0.51166741
               107.81062                      0.50595145
               108.39069                      0.49874845
               108.97076                      0.49007154
               109.55083                      0.47993739
               110.13089                      0.46836873
               110.71096                      0.45539451
               111.29103                      0.44104551
                111.8711                      0.42535647
               112.45117                      0.40837033
               113.03124                      0.39013374
               113.61131                       0.3706937
               114.19138                      0.35010371
               114.77144                      0.32842447
               115.35151                      0.30571674
               115.93158                      0.28204352
               116.51165                      0.25747535
               117.09172                      0.23208547
               117.67179                      0.20594715
               118.25186                      0.17913823
               118.83193                      0.15174016
               119.41199                      0.12383506
               119.99206                     0.095507143
               120.57213                     0.066843232
                121.1522                      0.03793145
               121.73227                    0.0088600603
               122.31234                    -0.020281842
               122.89241                    -0.049402969
               123.47248                    -0.078412822
               124.05254                     -0.10722246
               124.63261                     -0.13574111
               125.21268                     -0.16387944
               125.79275                      -0.1915512
               126.37282                     -0.21866854
               126.95289                      -0.2451455
               127.53296                     -0.27090145
               128.11303                     -0.29585583
               128.69309                     -0.31992907
               129.27316                      -0.3430465
               129.85323                     -0.36513668
                130.4333                     -0.38613122
               131.01337                     -0.40596496
               131.59344                     -0.42457621
               132.17351                     -0.44190867
               132.75358                     -0.45790959
               133.33364                     -0.47252979
               133.91371                     -0.48572666
               134.49378                     -0.49746146
               135.07385                     -0.50769869
               135.65392                     -0.51640987
               136.23399                     -0.52357189
               136.81406                     -0.52916525
               137.39413                     -0.53317611
               137.97419                     -0.53559605
               138.55426                     -0.53642199
