        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_55/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                               0
                0.067403                               0
               0.0693288                               0
               0.0712546                               0
               0.0731804                               0
               0.0751062                               0
                0.077032                               0
               0.0789578                               0
               0.0808836                               0
               0.0828094                               0
               0.0847352                               0
                0.086661                               0
               0.0885868                               0
               0.0905126                               0
               0.0924384                               0
               0.0943642                               0
                 0.09629                               0
               0.0982158                               0
               0.1001416                               0
               0.1020674                               0
               0.1039932                               0
                0.105919                               0
               0.1078448                               0
               0.1097706                               0
               0.1116964                               0
               0.1136222                               0
                0.115548                               0
               0.1174738                   -1.029447e-35
               0.1193996                   -7.629142e-34
               0.1213254                   -5.336265e-34
               0.1232512                   1.6149488e-34
                0.125177                  -1.7270003e-33
               0.1271028                  -3.1426162e-33
               0.1290286                  -1.2937399e-34
               0.1309544                   6.6327445e-33
               0.1328802                   1.3917539e-31
                0.134806                   7.2269402e-31
               0.1367318                   5.8838506e-30
               0.1386576                   5.5405935e-29
               0.1405834                   3.5255005e-28
               0.1425092                   2.2526963e-27
                0.144435                   3.1118236e-27
               0.1463608                  -8.0808125e-26
               0.1482866                  -1.2222656e-24
               0.1502124                  -1.1704111e-23
               0.1521382                  -8.7637095e-23
                0.154064                  -5.6622224e-22
               0.1559898                  -3.2327575e-21
               0.1579156                  -1.6668911e-20
               0.1598414                  -7.8661425e-20
               0.1617672                  -3.4115984e-19
                0.163693                  -1.3764503e-18
               0.1656188                  -5.1811268e-18
               0.1675446                  -1.8280071e-17
               0.1694704                  -6.0706375e-17
               0.1713962                  -1.9025713e-16
                0.173322                  -5.6435375e-16
               0.1752478                  -1.5877954e-15
               0.1771736                    -4.24492e-15
               0.1790994                  -1.0804166e-14
               0.1810252                  -2.6214109e-14
                0.182951                  -6.0713506e-14
               0.1848768                  -1.3437003e-13
               0.1868026                  -2.8442878e-13
               0.1887284                  -5.7635065e-13
               0.1906542                  -1.1187387e-12
                 0.19258                  -2.0812354e-12
               0.1945058                  -3.7127905e-12
               0.1964316                  -6.3542782e-12
               0.1983574                  -1.0437458e-11
               0.2002832                  -1.6462123e-11
                0.202209                  -2.4946394e-11
               0.2041348                  -3.6351755e-11
               0.2060606                  -3.6351755e-11
               0.2079864                  -5.1003108e-11
               0.2099122                  -6.9036832e-11
                0.211838                  -9.0424425e-11
               0.2137638                  -1.1512012e-10
               0.2156896                  -1.4334597e-10
               0.2176154                   -1.760128e-10
               0.2195412                  -2.1516854e-10
                0.221467                  -2.6435704e-10
               0.2233928                  -3.2872902e-10
               0.2253186                  -4.1485768e-10
               0.2272444                  -5.3027138e-10
               0.2291702                  -6.8294298e-10
                0.231096                  -8.8100599e-10
               0.2330218                  -1.1331077e-09
               0.2349476                   -1.449543e-09
               0.2368734                  -1.8440505e-09
               0.2387992                  -2.3359121e-09
                0.240725                  -2.9518148e-09
               0.2426508                  -3.7271302e-09
               0.2445766                  -4.7067572e-09
               0.2465024                  -5.9452705e-09
               0.2484282                  -7.5082074e-09
                0.250354                  -9.4749915e-09
               0.2522798                  -1.1943083e-08
               0.2542056                  -1.5034445e-08
               0.2561314                  -1.8903103e-08
               0.2580572                  -2.3742857e-08
                0.259983                  -2.9795077e-08
               0.2619088                  -3.7358816e-08
               0.2638346                  -4.6802075e-08
               0.2657604                  -5.8576681e-08
               0.2676862                  -7.3243243e-08
                0.269612                  -9.1489341e-08
               0.2715378                  -1.1417011e-07
               0.2734636                  -1.4233716e-07
               0.2753894                  -1.7729222e-07
               0.2773152                  -2.2061965e-07
                0.279241                   -2.742793e-07
               0.2811668                  -3.4066639e-07
               0.2830926                  -4.2271986e-07
