        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_27/real
----------------------------------------------------------------------
                       0                               0
               0.0019258                               0
               0.0038516                               0
               0.0057774                               0
               0.0077032                               0
                0.009629                               0
               0.0115548                               0
               0.0134806                               0
               0.0154064                               0
               0.0173322                               0
                0.019258                               0
               0.0211838                               0
               0.0231096                               0
               0.0250354                               0
               0.0269612                               0
                0.028887                               0
               0.0308128                               0
               0.0327386                               0
               0.0346644                               0
               0.0365902                               0
                0.038516                               0
               0.0404418                               0
               0.0423676                               0
               0.0442934                               0
               0.0462192                               0
                0.048145                               0
               0.0500708                               0
               0.0519966                               0
               0.0539224                               0
               0.0558482                               0
                0.057774                               0
               0.0596998                               0
               0.0616256                               0
               0.0635514                               0
               0.0654772                  -1.5141311e-28
                0.067403                  -1.6658762e-27
               0.0693288                   1.2542053e-26
               0.0712546                    2.007366e-25
               0.0731804                   1.5572706e-24
               0.0751062                   1.2479925e-23
                0.077032                   2.8028136e-23
               0.0789578                   7.7991333e-23
               0.0808836                  -3.3647706e-21
               0.0828094                  -1.5598263e-21
               0.0847352                   2.4050897e-34
                0.086661                  -3.5646961e-22
               0.0885868                  -5.7045025e-21
               0.0905126                  -1.1580156e-18
               0.0924384                  -6.6172298e-19
               0.0943642                   6.9366862e-18
                 0.09629                   1.1591563e-17
               0.0982158                  -1.2778097e-17
               0.1001416                  -2.1175135e-17
               0.1020674                  -9.4922665e-18
               0.1039932                  -7.2290133e-31
                0.105919                  -1.9860833e-16
               0.1078448                  -1.7524267e-16
               0.1097706                  -9.3462568e-17
               0.1116964                  -4.7315477e-16
               0.1136222                   9.3462568e-17
                0.115548                   1.8692514e-16
               0.1174738                   8.1779819e-16
               0.1193996                   4.4394791e-16
               0.1213254                   5.1404566e-16
               0.1232512                  -2.1496421e-15
                0.125177                  -2.9907808e-29
               0.1271028                  -5.1257963e-29
               0.1290286                   3.2711927e-15
               0.1309544                   3.2711927e-15
               0.1328802                   6.5423855e-15
                0.134806                   1.2150101e-15
               0.1367318                  -3.5515833e-15
               0.1386576                  -7.1031666e-15
               0.1405834                   1.3084771e-14
               0.1425092                  -2.6169542e-14
                0.144435                  -2.6169542e-14
               0.1463608                  -2.6169542e-14
               0.1482866                  -2.3926417e-14
               0.1502124                   1.6449461e-14
               0.1521382                  -7.6265505e-14
                0.154064                  -2.6917238e-13
               0.1559898                  -4.5310676e-13
               0.1579156                  -8.0602159e-13
               0.1598414                  -1.4684846e-12
               0.1617672                  -2.4135785e-12
                0.163693                  -4.2918035e-12
               0.1656188                  -7.6744028e-12
               0.1675446                  -1.1849565e-11
               0.1694704                  -1.7424423e-11
               0.1713962                  -2.5009102e-11
                0.173322                  -3.5315414e-11
               0.1752478                  -4.6955623e-11
               0.1771736                  -5.9337563e-11
               0.1790994                  -7.4267648e-11
               0.1810252                  -9.0417999e-11
                0.182951                  -1.0829104e-10
               0.1848768                  -1.3054262e-10
               0.1868026                  -1.5958933e-10
               0.1887284                  -1.9543112e-10
               0.1906542                  -2.5122754e-10
                 0.19258                  -3.2654796e-10
               0.1945058                  -4.2139237e-10
               0.1964316                  -5.4820237e-10
               0.1983574                  -7.0094874e-10
               0.2002832                  -8.8604363e-10
                0.202209                  -1.1402381e-09
               0.2041348                   -1.442094e-09
               0.2060606                   -1.442094e-09
               0.2079864                  -1.7866345e-09
               0.2099122                  -2.2536788e-09
                0.211838                  -2.8573903e-09
               0.2137638                  -3.6452399e-09
               0.2156896                  -4.5732023e-09
               0.2176154                  -5.7438752e-09
               0.2195412                  -7.2537287e-09
                0.221467                  -9.1755004e-09
               0.2233928                  -1.1409655e-08
               0.2253186                  -1.4433955e-08
               0.2272444                  -1.8014116e-08
               0.2291702                  -2.2341546e-08
                0.231096                  -2.8399338e-08
               0.2330218                  -3.5550471e-08
               0.2349476                  -4.4174705e-08
               0.2368734                     -5.4906e-08
               0.2387992                  -6.8565122e-08
                0.240725                  -8.5384826e-08
               0.2426508                  -1.0711692e-07
               0.2445766                   -1.323281e-07
               0.2465024                    -1.64326e-07
               0.2484282                  -2.0494809e-07
                0.250354                  -2.5333691e-07
               0.2522798                  -3.1311853e-07
               0.2542056                  -3.8975662e-07
               0.2561314                  -4.7889006e-07
               0.2580572                   -5.892411e-07
                0.259983                  -7.2737583e-07
               0.2619088                   -8.990765e-07
